k,gamma,mu_abs,z_score,sech2_coupling,E_sech2
1,14.134725142,0.6656591563,5.90301287679552,0.06792797879226163,0.00018170734326929987
2,21.022039639,0.4517631461,2.9050681101943128,0.42363678065015925,0.0011332283882391758
3,25.01085758,0.3829342431,1.9403691924968194,0.6623303852187153,0.0017717337804600635
4,30.424876126,0.3193541702,1.04923734467763,0.8813664477262841,0.00235765524766781
5,32.935061588,0.2976789998,0.7454403565752807,0.9376302045144685,0.0025081607970762034
6,37.586178159,0.2664253106,0.30739182127763354,0.9890124179528671,0.0026456082180239195
7,40.918719012,0.2477157867,0.04516103347958579,0.9997611239713724,0.002674361006623421
8,43.327073281,0.2385532458,-0.08326020969479703,0.9991883777870618,0.00267282891058039
9,48.005150881,0.2210857067,-0.32808346460863264,0.9874961807643237,0.0026415522835445656
10,49.773832478,0.2146414599,-0.41840537360862834,0.9797698418044959,0.0026208843268270264
11,52.970321478,0.2096045122,-0.48900272127649497,0.9725034011289682,0.0026014465980199897
12,56.446247697,0.2019190824,-0.5967209252132927,0.9594215015887672,0.002566452516749952
13,59.347044003,0.1937163744,-0.7116892478929172,0.942937587323138,0.002522358046089394
14,60.831778525,0.1947572,-0.6971011419364438,0.9451673184396988,0.0025283225768261944
15,65.112544048,0.1911202193,-0.7480766942415075,0.9372070064797273,0.0025070287423332705
16,67.079810529,0.1850093647,-0.8337258120085994,0.9227989343596783,0.0024684871494121395
17,69.546401711,0.1852424557,-0.830458832213425,0.9233714396912789,0.002470018601174171
18,72.067157674,0.1889519635,-0.7784667474369119,0.9322398490728427,0.002493741596269854
19,75.704690699,0.1821322195,-0.8740515870757765,0.915587820255338,0.002449197419183029
20,77.144840069,0.177045216,-0.9453505117553309,0.9022068279200167,0.0024134032646860445
21,79.33737502,0.1860424107,-0.8192467441360269,0.9253226911706265,0.002475238198881426
22,82.910380854,0.1866531594,-0.8106865523532936,0.9267982050861653,0.002479185198605492
23,84.735492981,0.1808045949,-0.8926594387035812,0.9121719174723454,0.0024400598792385236
24,87.425274613,0.1799390001,-0.9047915275547516,0.9099153806660956,0.0024340236432818054
25,88.809111208,0.1878864277,-0.7934011890482786,0.9297397267050385,0.0024870537689359777
26,92.491899271,0.1917476703,-0.7392824047174072,0.9386138700512183,0.002510792102387009
27,94.651344041,0.1772353737,-0.9426852807348417,0.9027210302011008,0.0024147787557879446
28,95.870634228,0.1813421451,-0.8851251896665443,0.9135616242350529,0.0024437773448287665
29,98.831194218,0.1986925599,-0.6419435370523424,0.9532387182349843,0.002549913571278583
30,101.317851006,0.1961161366,-0.6780544244950876,0.9480192062667313,0.002535951376763506
31,103.72553804,0.1849324042,-0.8348044825644189,0.9226095185925612,0.002467980462235101
32,105.446623052,0.1857413858,-0.8234658785777017,0.9245909014327479,0.0024732806613326007
33,107.168611184,0.2062781728,-0.5356243566536351,0.9671314998521892,0.0025870767621046058
34,111.029535543,0.2010398615,-0.6090439960988917,0.9577762641612997,0.0025620515066314764
35,111.874659177,0.19138283,-0.7443959693276471,0.9377975116689605,0.0025086083437144695
36,114.320220915,0.19606646,-0.6787506866780674,0.9479161463254506,0.0025356756914205803
37,116.226680321,0.2107180803,-0.4733950638240372,0.9742007579812371,0.002605987027599809
38,118.790782866,0.2209091686,-0.3305578046980331,0.9873084727837574,0.002641050164696551
39,121.370125002,0.2019075493,-0.5968825719721799,0.959400113902655,0.002566395304689602
40,122.946829294,0.1924244426,-0.7297968328590612,0.9401157646109902,0.002514809670334399
41,124.256818554,0.2154748531,-0.4067246191143071,0.9808693570528472,0.002623825530116366
42,127.51668388,0.2355366169,-0.1255409741423285,0.9981560434787325,0.0026700674163056093
43,129.5787042,0.2107605545,-0.4727997497483491,0.9742644860629683,0.00260615750021844
44,131.087688531,0.2050054241,-0.5534630732374355,0.9649580584636723,0.0025812628063903234
45,133.497737203,0.2181712024,-0.3689328610291258,0.9842235461666689,0.002632797985995839
46,134.756509753,0.2389948576,-0.07707062353355262,0.9993045109206106,0.002673139566712633
47,138.116042055,0.2409777328,-0.049278846009955996,0.9997155848693379,0.0026742391895254788
48,139.736208952,0.2099977922,-0.48349054871793967,0.9731086942495878,0.002603065757117647
49,141.123707404,0.2132810882,-0.437472205265909,0.977911932418949,0.0026159144192206885
50,143.111845808,0.2518776759,0.10349365003773256,0.9987463444274506,0.00267164647134343
51,146.000982487,0.2534500492,0.1255318746005514,0.9981563104500676,0.0026700681304539305
52,147.422765343,0.2396359041,-0.0680857808615176,0.9994571627570072,0.002673547910374994
53,150.053520421,0.2186701144,-0.3619401610811652,0.984809910146725,0.002634366509642489
54,150.925257612,0.2245066493,-0.2801358803833653,0.990863169789462,0.0026505589791868105
55,153.024693811,0.2785578818,0.4774407076521233,0.9737656979811662,0.0026048232420996195
56,156.112909294,0.2662967728,0.30559024852057226,0.9891399015711697,0.002645949236702879
57,157.597591818,0.2263255348,-0.2546425658485445,0.9924424563140517,0.002654783570640088
58,158.849988171,0.2294975,-0.21018462358823997,0.9948427361663899,0.0026612043192450925
59,161.188964138,0.2695292153,0.3508958344786889,0.9857140742184702,0.002636785148534408
60,163.030709687,0.2866553708,0.5909342915084187,0.9601837370742208,0.0025684914966735404
61,165.537069188,0.273050256,0.4002463835127016,0.9814664242815884,0.0026254226849532487
62,167.184439978,0.2419291933,-0.03594327222372382,0.9998486768392313,0.0026745952105449436
63,169.094515416,0.2512588321,0.09481999815512454,0.9989475317083224,0.0026721846473197622
64,169.911976479,0.2827409926,0.5360707640016876,0.9670779006023246,0.002586933384111218
65,173.41153652,0.3069374851,0.8752063467208474,0.9153774416315822,0.002448634656364482
66,174.754191523,0.2634281636,0.2653841131629143,0.9917949779849587,0.0026530515661097646
67,176.441434298,0.2495228036,0.07048799892157595,0.9994181971199727,0.002673443677295927
68,178.377407776,0.2687442126,0.3398933163202977,0.9865880069679938,0.002639122918639383
69,179.91648402,0.3005194693,0.7852520887541699,0.931108721777116,0.0024907158307537853
70,182.207078484,0.331883102,1.2248415809875663,0.8429708865152741,0.002254947121428358
71,184.874467848,0.2645070774,0.28050605946429463,0.9908391543707148,0.002650494737941662
72,185.598783678,0.2402568922,-0.059382074687775156,0.9995870427033087,0.0026738953392313504
73,187.228922584,0.2845958894,0.5620688092618388,0.963886490840305,0.0025783963629978156
74,189.416158656,0.3467278791,1.4329044699432507,0.7933796165660159,0.002122290474314092
75,192.026656361,0.3102266398,0.9213068051173671,0.9068068341096134,0.0024257082812432157
76,193.079726604,0.284775665,0.564588525822604,0.9635699157051496,0.002577549524511275
77,195.26539668,0.2700431671,0.35809933073677463,0.9851273982996241,0.0026352157904514944
78,196.876481841,0.2891317049,0.6256423388839149,0.9555132447018923,0.0025559979295775616
79,198.015309676,0.3442148154,1.397681624222538,0.8020298094341046,0.00214542974023623
80,201.264751944,0.3486259161,1.4595071638674844,0.7867879140253461,0.0021046576700178006
