k,gamma,z_pss,z_prime,mu_abs,C_proxy
61,165.537069188,0.4002463835127016,-0.4019093068627739,0.273050256,1.572985159631377
62,167.184439978,-0.03594327222372382,-0.525749150644728,0.2419291933,1.5131491697264796
63,169.094515416,0.09481999815512454,0.7298093932761692,0.2512588321,2.1198003577830176
64,169.911976479,0.5360707640016876,1.1784603954743471,0.2827409926,2.336576122500707
65,173.41153652,0.8752063467208474,-0.8626633582128,0.3069374851,1.3503615360602514
66,174.754191523,0.2653841131629143,-0.7131474868832615,0.2634281636,1.4226034728576546
67,176.441434298,0.07048799892157595,-0.467926008986225,0.2495228036,1.541087713694926
68,178.377407776,0.3398933163202977,-1.0541302762788636,0.2687442126,1.2578500128973624
69,179.91648402,0.7852520887541699,-1.1839201496758387,0.3005194693,1.195139133125799
70,182.207078484,1.2248415809875663,-1.9888802193817163,0.331883102,0.8062046744424372
71,184.874467848,0.28050605946429463,1.831742426641916,0.2645070774,2.6522239449480547
72,185.598783678,-0.059382074687775156,1.5918147039940571,0.2402568922,2.536297500341587
73,187.228922584,0.5620688092618388,0.023281606709662638,0.2845958894,1.7784256579008184
74,189.416158656,1.4329044699432507,-1.9812754423841321,0.3467278791,0.8098790925114524
75,192.026656361,0.9213068051173671,-0.25031927309253216,0.3102266398,1.6462292743956837
76,193.079726604,0.564588525822604,-0.6533017145842552,0.284775665,1.4515192960513523
77,195.26539668,0.35809933073677463,-0.11034441759875932,0.2700431671,1.7138612560300577
78,196.876481841,0.6256423388839149,0.025963337208782737,0.2891317049,1.7797213959619511
79,198.015309676,1.397681624222538,-0.30024053980506155,0.3442148154,1.6221086980139015
80,201.264751944,1.4595071638674844,-0.47168544533000384,0.3486259161,1.539271257954635
