sigma,T,h,c_fd,c_lower,d2_analytic
0.3,21.022,0.05,172.651067,27.817629,171.559872
0.35,21.022,0.05,132.441645,21.588388,131.631471
0.4,21.022,0.05,102.073595,16.655163,101.469671
0.45,21.022,0.05,79.039281,12.780035,78.587296
0.5,21.022,0.05,61.491956,9.762066,61.152321
0.55,21.022,0.05,48.066465,7.431243,47.81022
0.6,21.022,0.05,37.749845,5.644776,37.55573
0.65,21.022,0.05,29.787605,4.284358,29.639956
0.7,21.022,0.05,23.615626,3.253607,23.502863
