sigma,T,h,c_fd,c_lower,d2_analytic
0.3,14.134,0.05,159.803953,27.817629,159.154842
0.35,14.134,0.05,129.17669,21.588388,128.664771
0.4,14.134,0.05,104.739957,16.655163,104.335492
0.45,14.134,0.05,85.193823,12.780035,84.873636
0.5,14.134,0.05,69.518816,9.762066,69.264824
0.55,14.134,0.05,56.914263,7.431243,56.712345
0.6,14.134,0.05,46.750367,5.644776,46.58948
0.65,14.134,0.05,38.530927,4.284358,38.402427
0.7,14.134,0.05,31.864312,3.253607,31.761424
