zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
6601,6908.442281898,3.875571355e-34,True,1.191659155e-26,1.191444271e-26,1.191874078e-26
6701,6997.808697349,1.731307053e-34,True,5.323416050e-27,5.322456112e-27,5.324376160e-27
6801,7087.186239237,7.733368193e-35,True,2.377854046e-27,2.377425262e-27,2.378282906e-27
6901,7176.380745981,3.460033793e-35,True,1.063890055e-27,1.063698211e-27,1.064081934e-27
7001,7265.962856286,1.542672861e-35,True,4.743407513e-28,4.742552165e-28,4.744263016e-28
7101,7354.584625580,6.937906452e-36,True,2.133265207e-28,2.132880529e-28,2.133649954e-28
7201,7443.628394354,3.108354043e-36,True,9.557552673e-29,9.555829220e-29,9.559276436e-29
7301,7531.918476004,1.402114906e-36,True,4.311218282e-29,4.310440867e-29,4.311995836e-29
7401,7620.983924855,6.280591635e-37,True,1.931154242e-29,1.930806009e-29,1.931502537e-29
7501,7709.242640641,2.833847706e-37,True,8.713509401e-30,8.711938150e-30,8.715080936e-30
7601,7797.939994786,1.273606599e-37,True,3.916079723e-30,3.915373561e-30,3.916786012e-30
7701,7885.310055571,5.792833747e-38,True,1.781179412e-30,1.780858223e-30,1.781500659e-30
7801,7973.804869057,2.608212799e-38,True,8.019720682e-31,8.018274537e-31,8.021167088e-31
7901,8061.432878645,1.183556590e-38,True,3.639194348e-31,3.638538115e-31,3.639850699e-31
8001,8148.986653563,5.374347452e-39,True,1.652501876e-31,1.652203891e-31,1.652799915e-31
8101,8236.852837632,2.433541025e-39,True,7.482647204e-32,7.481297906e-32,7.483996745e-32
8201,8324.656429208,1.102547434e-39,True,3.390109231e-32,3.389497914e-32,3.390720658e-32
8301,8411.254384289,5.049835191e-40,True,1.552720989e-32,1.552440996e-32,1.553001031e-32
8401,8498.955065490,2.290016566e-40,True,7.041332391e-33,7.040062672e-33,7.042602339e-33
8501,8586.174833981,1.042997162e-40,True,3.207004265e-33,3.206425966e-33,3.207582667e-33
8601,8672.776806952,4.776912849e-41,True,1.468802947e-33,1.468538087e-33,1.469067855e-33
8701,8759.591981370,2.183615754e-41,True,6.714174582e-34,6.712963858e-34,6.715385525e-34
8801,8845.929067542,1.002484166e-41,True,3.082435036e-34,3.081879200e-34,3.082990972e-34
8901,8933.161556856,4.565332296e-42,True,1.403746895e-34,1.403493766e-34,1.404000069e-34
9001,9020.072493602,2.085098973e-42,True,6.411252697e-35,6.410096596e-35,6.412409006e-35
9101,9106.474161546,9.566980387e-43,True,2.941651995e-35,2.941121545e-35,2.942182540e-35
9201,9192.438691654,4.406917638e-43,True,1.355038195e-35,1.354793850e-35,1.355282584e-35
9301,9278.356214546,2.030857474e-43,True,6.244474011e-36,6.243347985e-36,6.245600241e-36
9401,9364.532422656,9.337077265e-44,True,2.870960178e-36,2.870442476e-36,2.871477974e-36
9501,9450.152313576,4.314402086e-44,True,1.326590950e-36,1.326351734e-36,1.326830208e-36
9601,9536.209876871,1.985714187e-44,True,6.105664731e-37,6.104563736e-37,6.106765925e-37
9701,9621.757407602,9.181422281e-45,True,2.823099462e-37,2.822590390e-37,2.823608625e-37
9801,9707.414647043,4.241051667e-45,True,1.304036606e-37,1.303801457e-37,1.304271797e-37
9901,9793.549999292,1.950583226e-45,True,5.997649493e-38,5.996567976e-38,5.998731206e-38
10001,9878.654772383,9.055068749e-46,True,2.784249565e-38,2.783747499e-38,2.784751722e-38
10101,9964.155267427,4.188600925e-46,True,1.287910192e-38,1.287677951e-38,1.288142474e-38
10201,10049.391328278,1.942147093e-46,True,5.971707560e-39,5.970630720e-39,5.972784595e-39
10301,10133.742002863,9.077416690e-47,True,2.791121124e-39,2.790617819e-39,2.791624520e-39
10401,10218.810787418,4.215317453e-47,True,1.296124425e-39,1.295890703e-39,1.296358189e-39
10501,10304.177623499,1.952231439e-47,True,6.002712271e-40,6.001629840e-40,6.003794897e-40
10601,10389.189774144,9.070280552e-48,True,2.788928099e-40,2.788425189e-40,2.789431099e-40
10701,10473.663616773,4.234663627e-48,True,1.302072420e-40,1.301837625e-40,1.302307257e-40
10801,10558.213143485,1.975695349e-48,True,6.074864293e-41,6.073768852e-41,6.075959933e-41
10901,10643.080447170,9.191309269e-49,True,2.826139512e-41,2.825629893e-41,2.826649224e-41
11001,10727.364126333,4.298525456e-49,True,1.321709784e-41,1.321471449e-41,1.321948163e-41
11101,10811.752776540,2.008405110e-49,True,6.175434833e-42,6.174321256e-42,6.176548611e-42
11201,10896.522608292,9.351684531e-50,True,2.875452929e-42,2.874934417e-42,2.875971534e-42
11301,10980.236506932,4.396060278e-50,True,1.351699175e-42,1.351455432e-42,1.351942962e-42
11401,11064.334109349,2.059372119e-50,True,6.332150654e-43,6.331008818e-43,6.333292696e-43
11501,11148.117256424,9.674694160e-51,True,2.974773103e-43,2.974236681e-43,2.975309622e-43
11601,11232.429901528,4.523415813e-51,True,1.390858416e-43,1.390607611e-43,1.391109265e-43
11701,11316.112646845,2.126974548e-51,True,6.540014423e-44,6.538835104e-44,6.541193955e-44
11801,11399.924121820,9.989739416e-52,True,3.071640465e-44,3.071086576e-44,3.072194455e-44
11901,11483.395605331,4.706270405e-52,True,1.447083100e-44,1.446822157e-44,1.447344090e-44
12001,11567.391551992,2.206715444e-52,True,6.785201492e-45,6.783977960e-45,6.786425245e-45
12101,11651.227695727,1.036194822e-52,True,3.186088386e-45,3.185513859e-45,3.186663017e-45
12201,11734.196293133,4.903814200e-53,True,1.507822530e-45,1.507550634e-45,1.508094475e-45
12301,11817.694115605,2.309690385e-53,True,7.101828417e-46,7.100547790e-46,7.103109276e-46
12401,11900.458452982,1.095080054e-53,True,3.367150070e-46,3.366542893e-46,3.367757356e-46
12501,11984.183258312,5.147274520e-54,True,1.582681580e-46,1.582396185e-46,1.582967027e-46
12601,12067.854959879,2.420562830e-54,True,7.442735394e-47,7.441393293e-47,7.444077737e-47
12701,12150.469534737,1.149198213e-54,True,3.533550896e-47,3.532913714e-47,3.534188194e-47
12801,12233.113907330,5.454523745e-55,True,1.677155900e-47,1.676853469e-47,1.677458386e-47
12901,12316.084278830,2.581324920e-55,True,7.937045971e-48,7.935614734e-48,7.938477466e-48
13001,12398.691913962,1.225598575e-55,True,3.768468105e-48,3.767788562e-48,3.769147772e-48
13101,12482.027675214,5.780998149e-56,True,1.777540186e-48,1.777219653e-48,1.777860776e-48
13201,12564.943429198,2.737172547e-56,True,8.416252821e-49,8.414735172e-49,8.417770744e-49
13301,12647.229806229,1.303365928e-56,True,4.007585328e-49,4.006862665e-49,4.008308120e-49
13401,12729.773830691,6.191861460e-57,True,1.903872354e-49,1.903529041e-49,1.904215729e-49
13501,12812.394719387,2.939514800e-57,True,9.038406596e-50,9.036776758e-50,9.040036728e-50
13601,12894.525112420,1.401683998e-57,True,4.309895274e-50,4.309118098e-50,4.310672590e-50
13701,12977.003068538,6.662912124e-58,True,2.048710025e-50,2.048340594e-50,2.049079523e-50
13801,13059.321205372,3.171786215e-58,True,9.752593554e-51,9.750834931e-51,9.754352495e-51
13901,13141.266174459,1.514972279e-58,True,4.658231781e-51,4.657391791e-51,4.659071921e-51
14001,13223.692426477,7.204786597e-59,True,2.215324467e-51,2.214924992e-51,2.215724015e-51
14101,13305.316393071,3.451270151e-59,True,1.061195424e-51,1.061004066e-51,1.061386817e-51
14201,13387.503245532,1.644874960e-59,True,5.057653993e-52,5.056741979e-52,5.058566172e-52
