T_star,retained_norm,spectral_gap,valid,norm_9D,norm_6D,v6_0,v6_1,v6_2,v6_3,v6_4,v6_5
3.6779661016949152,0.9999950304213722,1282.100908130161,1,4.236411801686668,4.236390748505119,3.76934803410265,1.7528932621159492,0.7482237564890275,0.30095062409332246,0.11685301903593177,0.04786022544020222
3.7966101694915255,0.9999951055367203,2494.498270381916,1,5.2200574824296275,5.220031933049962,4.660228694358969,2.1343996709537176,0.9055211636930803,0.363461503983856,0.1410695724679341,0.05764838980681217
4.093220338983051,0.9999951103912548,398.0557524414091,1,6.713561159545679,6.7135283328583215,5.9796796565685515,2.7657085078990273,1.1823849707575025,0.477269021358556,0.18339588994346306,0.07869737180633185
4.211864406779661,0.9999944609543564,335.5818105201789,1,7.815955178677015,7.815911885744532,6.970048760660788,3.2058670643429386,1.3680036806636906,0.5513522577015705,0.21528163899086425,0.08643790396957879
4.330508474576272,0.9999944228245448,2430.597085857741,1,8.79265093135403,8.79260189319707,7.840008259960841,3.6075418146518947,1.5409908073477847,0.6218664103189478,0.24188520559079696,0.09890749434274959
4.627118644067797,0.9999941341537654,1293.3825152696807,1,12.101989613194421,12.101918624784217,10.7982336782868,4.9520582401145585,2.114887902697875,0.854138473112007,0.33335463063217635,0.13461662321658405
4.864406779661017,0.9999937209977036,370.76116913477665,1,14.59268199563558,14.592590368151818,12.993206623450032,6.013241227883811,2.5827978003071204,1.0465976916378232,0.4094466174116032,0.16475076784871007
4.983050847457627,0.9999936274926692,6927.119833284653,1,16.182445446731418,16.182342323979178,14.398905582365833,6.683161344268614,2.875906745499264,1.167086802276479,0.4554312359259578,0.18564613046732087
5.220338983050848,0.9999935668583235,3925.720843814423,1,21.34632988837785,21.346192564413403,19.024205260350666,8.766928584019688,3.760652825457868,1.5246693831391172,0.5956459477614384,0.24124801072088056
5.4576271186440675,0.9999933810614705,8016.559311627932,1,26.74574884325043,26.74557181478291,23.8236360319956,11.003335938370268,4.727372220948241,1.9192393610748741,0.7492736017287178,0.3050324106429389
5.576271186440678,0.9999932470514994,6947.788213926777,1,30.082655314417572,30.082452167795473,26.794750861057352,12.3776017267971,5.319205441863941,2.1598159862899853,0.8454316704812257,0.3406587431951818
5.694915254237288,0.9999932791779534,744.1625122002946,1,34.42400102750398,34.42376966991894,30.681635932393515,14.132087685984276,6.064571928893118,2.461741609659136,0.96163556124686,0.3903873564828399
5.872881355932203,0.9999930391794756,167.47425003853422,1,40.37112599144624,40.370844975283845,35.954081728412966,16.617063920498854,7.144962412891081,2.903012022081925,1.1379430641291248,0.45646257636381354
6.110169491525424,0.9999930045865181,6262.620256273848,1,51.83305358747415,51.83269099383227,46.18583134106889,21.29676732290175,9.147215729529881,3.716527195634016,1.453582227925644,0.588037457819154
6.40677966101695,0.999992750897458,2373.6639243733102,1,68.25218629465382,68.25169152755666,60.761479966336736,28.12743256732693,12.107533308146724,4.925717872817201,1.9286379511773302,0.7784967564633325
6.703389830508474,0.9999968524392253,874.6245736902239,1,91.46989678748012,91.46960888042094,81.41756485941092,37.716554526155704,16.237232174802656,6.634820783254193,2.503962011365527,1.1492606996746726
6.9406779661016955,0.9999929260520477,13515.39334749162,1,118.70924923900394,118.70840949595336,105.76589411297242,48.78743833939352,20.961016365583063,8.533330793109707,3.30519747973696,1.3896447011947457
