T,S_score,norm_T_phi,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8
3.2,0.5156886241182833,2.992702636640694,2.6812363307162976,1.209901850029916,0.5057372305890729,0.2011295486448905,0.07809832881697028,0.030023675483842535,0.011496549831016938,0.0043954759246394234,0.0016795342106498139
3.264406779661017,1.0618096044225869,3.0903358179013534,2.7646562811419515,1.2558280993640734,0.5270806354903944,0.21003779012357507,0.08162671784627168,0.03139072861587151,0.012021595275569659,0.004596448552163348,0.0017563608388678346
3.3288135593220343,2.2574402790387835,2.99944105446993,2.6728733121138446,1.235622629761863,0.5234130660602175,0.2094488014174046,0.08153739307851846,0.03137749798318401,0.012019653693831582,0.004596164647329778,0.0017563193824019802
3.393220338983051,1.8046510257095125,3.463698372084308,3.095269366420935,1.4126248905564838,0.5953311905770242,0.23778998318461994,0.09250888829908926,0.03559077903909949,0.01363234483180101,0.005212652309312204,0.0019918690868501103
3.457627118644068,0.6499024352170821,4.047948849516142,3.6282486448530653,1.6328702085985833,0.6840616689076005,0.27261867086257324,0.105970014538963,0.04075684782213331,0.01560924423003084,0.0059682958504719405,0.0022805775725677543
3.522033898305085,0.502585338340191,3.9364232887551025,3.51587352453468,1.60789245868555,0.679468541982699,0.27187531560722716,0.10585688675765982,0.040740067907874544,0.01560678043905812,0.0059679355099736655,0.0022805249505056966
3.586440677966102,0.42145490760665627,4.418575684365385,3.953015850155439,1.7940509228326866,0.7558683591256499,0.30214502944929167,0.11760324772734082,0.04525535011267653,0.017335732518445827,0.006628964757137026,0.0025331076441161477
3.650847457627119,1.3040563170053068,4.292097576849731,3.8255424924051296,1.7655026683963564,0.7505719684726602,0.30128327733788335,0.1174717847768285,0.04523583142125611,0.017332865490836263,0.0066285453792831635,0.0025330463970955255
3.7152542372881356,1.1774642136958362,4.776018490083805,4.263270355067773,1.9540354869099361,0.8285520379856144,0.3323123865467536,0.12953631666465565,0.04987711693135846,0.019110621702002673,0.00730831594956948,0.002792802273673561
3.7796610169491527,1.0690296926419396,5.259412933239593,4.699855793458614,2.1433435196201183,0.9072001524956135,0.3636826492351437,0.14174671928763508,0.05457660113872359,0.020910982647690833,0.007996776184463192,0.0030558854348841998
3.8440677966101697,0.6220904401196882,5.747505336232246,5.139985813573014,2.3355683853603106,0.9873965790861675,0.3957414751783306,0.15423755947801668,0.05938597453690856,0.02275373586117463,0.008701490665039922,0.003325186233414566
3.9084745762711863,1.275335069841818,5.907776108267563,5.275474886958101,2.4130385495036024,1.0242132200208638,0.41133277152340886,0.1604567630019354,0.0618027283105314,0.023683032718562022,0.009057361378118819,0.0034612501773956536
3.972881355932204,0.21583609090229025,6.3937471473168,5.7119238430737935,2.607260665342335,1.1061180233046588,0.4442565264304005,0.17331624883982957,0.06675901217777191,0.025582822449824245,0.009783998178271996,0.0037389445476049736
4.03728813559322,0.8905460333490489,6.206571566080476,5.523361853744904,2.5645583716431215,1.0980345314600612,0.4429229547774227,0.1731114657383743,0.06672852442477052,0.025578339405540353,0.009783342143412727,0.0037388487233264997
4.101694915254237,0.8211549010798451,7.371383161029956,6.587374550363766,3.002014192331202,1.2738655912748267,0.5119565450282838,0.19980614412446604,0.07697618234717933,0.029500283726018997,0.011282525638873622,0.00431165202654859
4.1661016949152545,0.821734027014917,7.2747850594147625,6.480964578629057,2.9943457350631553,1.2802327800569957,0.5163885643744691,0.20184857370345435,0.07781126675887937,0.029827512708795384,0.011408734121200045,0.004360037874691964
4.230508474576271,1.2459706638921115,7.749082037667401,6.902712577644283,3.190522158092719,1.365061806292575,0.5509272421932258,0.21541574443713785,0.08305242839729604,0.03183832241851073,0.012178103392323399,0.004654102515127245
4.294915254237289,1.072605065159642,8.932919021862332,7.981128909795179,3.6397226932431663,1.547168996684117,0.6227675276849266,0.24325738262661661,0.09375021723152523,0.03593402528480171,0.013743926821480774,0.005252399636879636
4.359322033898305,0.6552597566484776,9.403006839052676,8.396531493147265,3.8383115161154535,1.6342656812646255,0.6584771488257899,0.2573275051688037,0.0991924385417456,0.038022989944761866,0.014543349596318332,0.005557973184518687
4.423728813559322,1.0495208940796577,10.046977361695381,8.971754739031056,4.100602153295749,1.7464324704933276,0.7039298093229103,0.2751497464047749,0.1060727682341442,0.04066201071437664,0.015552985860158526,0.005943857393612654
4.488135593220339,0.4514452638892101,10.50042573883044,9.368844334395096,4.297843161781812,1.8345620925174402,0.7403824094211258,0.28956739835156436,0.1116579902434699,0.04280715307514357,0.016374097162302412,0.00625774905723716
4.552542372881356,1.3787565349025475,10.187013231115692,9.053172415535906,4.225813653048391,1.8206717143625435,0.7380554979782817,0.2892072691151233,0.1116041955155279,0.04279923235294192,0.016372937470014882,0.006257579632223845
4.616949152542373,1.652254523842638,11.384517873185093,10.137290387443187,4.6912317337642735,2.01289625565826,0.8146498569878411,0.31902810471493714,0.12308429049656075,0.0471977460076734,0.01805501652613173,0.006900369370335857
4.68135593220339,1.4792992888044498,12.580740884898956,11.218495047569338,5.158633780937587,2.206780823514203,0.8920860036301511,0.3492089705827968,0.13470813984833663,0.05165211767647467,0.019758572148317555,0.007551383084835863
4.745762711864407,0.5736304534264273,13.770767694656739,12.291900748744357,5.626947530981873,2.402060308336022,0.9702885599864686,0.37972542111265073,0.1464670865252479,0.05615914294231668,0.021482395459783518,0.00821016123940032
4.810169491525424,0.618907972010323,13.76447084061613,12.253928912954594,5.675055399922166,2.4379732491850565,0.987870551596394,0.3871330163249932,0.1494066818938181,0.05729860742454782,0.02192009277422094,0.008377707604209066
4.874576271186441,1.0328331728104632,15.334519841487616,13.675530375473402,6.284656270723756,2.6894827787079687,1.0880588374420253,0.42614073445227607,0.16442412210361557,0.0630525662147858,0.024120543357891835,0.00921859124870004
4.938983050847458,1.1124362009406943,16.5152142013447,14.733849759660803,6.759820397620332,2.89085283630657,1.169369599797276,0.45798856970424007,0.17671494947876432,0.06776630319699725,0.025923850258668234,0.009907806772181726
5.003389830508475,0.7686094982590983,16.857199758920427,15.01208351782411,6.941776409721582,2.981539717602231,1.2086982537731161,0.47385516110890236,0.1829103193354354,0.07015312794911266,0.02683855538129956,0.01025763592967751
5.067796610169491,1.441902774131865,18.011637938947473,16.041172887175243,7.415323810355208,3.1849625688144547,1.2913966175062277,0.5063447232929396,0.1954643947490575,0.07497017899766859,0.02868173464267701,0.01096214153523368
5.132203389830509,1.0482198274812113,19.582058697999713,17.453331189729504,8.040361404386658,3.447706534716069,1.3970835474100205,0.5476763217710561,0.2114057709010136,0.08108257971841679,0.031019918462411603,0.011855755104860642
5.196610169491525,0.9381585997398235,21.57548174882553,19.25469998699123,8.819754886667447,3.770988244418431,1.5262490767819803,0.5980417105284371,0.2308084322821786,0.08851870261507602,0.03386396093929861,0.012942624998130233
5.261016949152543,0.994373377023754,22.691658108699343,20.23956186183515,9.29354535083506,3.9792536007474353,1.6118651571227276,0.6318434279021387,0.24389582232298457,0.09354435780451059,0.03578754662988151,0.013677949863172624
5.3254237288135595,0.9362768550081482,23.774774662772412,21.19029267091927,9.761046565359715,4.186952242997666,1.6976740159883632,0.6657943656539854,0.2570524881004316,0.09859834611912781,0.03772223252258032,0.014417555446672784
5.389830508474576,0.6925848440399891,23.941594163216255,21.287403548030742,9.909767236503619,4.274856829951792,1.738163526358096,0.682515689120004,0.2636411604161945,0.10114558695955245,0.03869972340633392,0.014791588741806739
5.454237288135593,1.0657387503999332,26.78761860455224,23.865772236586317,11.01299642742827,4.729305735423694,1.9191060466996763,0.7529683774923062,0.2907669449084716,0.11153937750462221,0.042674637220420746,0.01631058091509937
5.51864406779661,1.242597914350899,27.975446905158755,24.90236358000581,11.534954379973449,4.963876658168251,2.0165467936557553,0.7916161586047357,0.3057589922978746,0.11730073090755892,0.044880449922896574,0.017153885430423545
