T,spectral_gap,eff_rank,trailing_frac,sing_score,lam_0,lam_1,lam_2,lam_3,lam_4,lam_5,lam_6,lam_7,lam_8
3.0,930.1268583641806,1,-2.079800926505934e-21,0.4435041090128468,0.8528094649213304,0.00018905057127126173,1.849406241542785e-07,7.216018716815307e-11,1.0067909873969593e-15,1.8692854847358945e-20,2.0097102539576348e-23,4.775585088870208e-25,-1.794642148667925e-21
3.2105263157894735,150.89645478417,1,-2.887927256215638e-20,0.5133766464907311,1.293390801368367,0.00020381088263302842,1.6352887000241318e-07,1.1505664868742034e-10,3.99267208727531e-15,1.5410706480570203e-21,1.0212769082356786e-23,-2.2517420254628115e-23,-3.734577146687903e-20
3.4210526315789473,380.3949607138769,1,-3.3393849053671127e-22,0.6757098242697909,1.8685644650126199,0.00022640705375295402,1.2654806997674814e-07,1.7352313432511835e-10,4.943497706517881e-15,6.108371383426034e-20,1.605797135683033e-22,1.408390906555863e-23,-7.987248678977099e-22
3.6315789473684212,21.749769521712242,1,3.078025785796125e-22,1.3007531569783246,2.7316196903899925,0.00024323389007766585,7.836873509001961e-08,2.91159158500701e-10,1.7337010481867054e-14,4.458254217015045e-20,2.049793774855629e-21,-3.012098618139013e-23,-1.178798312043069e-21
3.8421052631578947,11784.06688695758,1,-8.138662189260343e-22,0.6224522306441661,4.41435213340276,0.0003326528631560973,5.08434506687728e-08,3.668407469477693e-10,3.227017017622227e-14,6.299432498834063e-19,5.345720250286576e-23,-1.1149864637114077e-22,-3.5349214125586055e-21
4.052631578947368,140.49383935533348,1,1.2246931817634842e-21,0.8898466830199527,6.090714259508635,0.0005916350167196886,2.6763418944341277e-08,7.412626358329894e-10,7.673768501759794e-14,1.1923050785917103e-18,8.486529260376765e-21,1.410628075376622e-23,-1.0406547103847193e-21
4.2631578947368425,11440.64891423544,1,-1.0371777296712136e-21,1.1432352246665172,9.683751519102172,0.0007946587539764075,1.411931626666831e-08,9.014060861191178e-10,1.5658621592959987e-13,1.3912712961558863e-18,1.2160772580170227e-22,1.3455511053813365e-23,-1.0179658870079705e-20
4.473684210526316,1598.8734357821,1,-1.950958225311268e-23,0.4730374473844567,14.811286309041414,0.0008211007712677575,1.0406652591906159e-08,1.4911680193440795e-09,2.5192265785657576e-13,3.778310796427235e-18,2.3631081184227996e-21,-9.493472866953192e-23,-2.5571514178390745e-21
4.684210526315789,1893.003302471322,1,9.739905946052363e-23,1.3932033642597448,23.584501430212413,0.0007836844687691628,1.2742337180657553e-08,5.980075906326087e-10,1.114661845066541e-12,7.344946239938522e-18,3.8800493535059715e-21,-1.1693256568889642e-22,-1.4659321992393943e-21
4.894736842105263,1535.6134990133626,1,2.2727047915815694e-22,1.0331705902979886,34.400122767970785,0.0012711976124699718,2.029915982657126e-08,8.196528907543859e-10,8.500957126106974e-13,1.1812866369333665e-17,7.692603885628431e-21,6.558426955363536e-22,-5.300252860982726e-22
5.105263157894736,8342.298218505275,1,-1.0407422921965771e-21,1.1119429735488342,55.577791121289856,0.0015658302333053636,2.382071317144013e-08,2.505826122780186e-10,2.738759502222602e-12,1.0758813831257358e-17,1.289670250266486e-21,3.6248146488838554e-22,-5.949593909274971e-20
5.315789473684211,63244.71280596897,1,-3.3677850332610045e-22,0.7012884700017962,80.80240675984297,0.00274963442531471,2.809096087927584e-08,3.321732597584264e-10,2.0623120748141173e-12,2.7442126488106997e-17,4.339038833538198e-22,-1.8016132588833913e-21,-2.584573026553657e-20
5.526315789473684,1183.6361660457044,1,-2.160178639913861e-22,1.2037481539716943,124.66770941266485,0.0024327369048434714,2.8666388968158865e-08,1.830219891739866e-10,5.532569772670042e-12,2.998730231114361e-17,2.5334898654985587e-20,2.193047253401488e-22,-5.248518119721143e-20
5.7368421052631575,13210.226888912497,1,-9.95267055705837e-22,0.6284109015397766,184.68630075090184,0.0033244303281047423,3.074262993736315e-08,2.9018905794321154e-10,4.287206431796065e-12,4.838820454281153e-17,3.662935159987626e-21,-3.8963074230539295e-22,-1.8708880392210977e-19
5.947368421052632,1303.6595629603382,1,-1.3771658199944635e-22,0.8698663158185724,288.07945778958276,0.00460652929416357,3.100624643732132e-08,1.364580571099624e-10,8.667096820173372e-12,1.687130156469472e-17,1.2941493349984348e-20,1.0749387410923184e-21,-5.3690384761871114e-20
6.157894736842105,19341.363894070455,1,-1.024968629603031e-21,1.078228737416895,433.56380321456777,0.00502814300919581,3.0094036334219636e-08,1.6903515781105629e-10,7.648115301453406e-12,5.352627116244303e-17,2.76745070593769e-21,-1.5586043690587424e-21,-4.456032972830689e-19
6.368421052631579,245.3193162996298,1,4.165130124396742e-22,1.180972733124437,669.5332604683608,0.005903471486723895,2.9100397554133828e-08,8.827520126571177e-11,1.8428142501769968e-11,7.531684094756727e-17,3.070155342173556e-19,1.4897611589207293e-21,-2.963352124518439e-20
6.578947368421052,377.1322364339222,1,4.1411371321396786e-22,0.8872981978321689,1026.2303414324858,0.005364535727353914,2.3956519872449074e-08,1.0990782146260908e-10,1.690549571550735e-11,1.537888466658272e-16,4.0778494068823195e-19,1.8832459738301885e-20,-1.639121585306217e-21
6.789473684210526,187.47154449399002,1,-9.344435034075742e-22,0.9860670996268369,1552.616841445757,0.006742125615846734,2.429043690227593e-08,9.907436892894895e-11,2.1266968807658884e-11,2.636275057884891e-17,1.4062267769759611e-19,7.251365231414656e-22,-1.5921868351492041e-18
7.0,2263.8897239908756,1,-4.920441236215885e-24,0.9827650430857616,2367.2605783302047,0.009865967706653699,1.9656952120102952e-08,1.2951643610668256e-10,1.5443739509242752e-11,2.6340578377858393e-16,1.163509781360912e-19,-2.603598343292918e-20,-1.01963009814658e-19
