plateau_id,start_index,end_index,length,gamma_start,gamma_end,stability,mean_phi_move,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5
0,5,14,9,37.586178,65.112544,1.86e-03,8.90e-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00006413,3.33019068
1,15,4999,4984,67.079811,5447.861998,5.52e-09,1.06e-10,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
