t,partial_sum_magnitude,mean_phi_move,convergence_rate,spectral_6d_concentration,phase_variance
14.134725,3.162359646384888,0.573910978479124,0.5994283954688264,0.2585,196.2506621618117
21.02204,2.127029653433713,0.8535560151348743,0.598020307452541,0.2585,434.09633593069015
25.010858,1.7879554624891116,1.0155136366206223,0.5969542849757267,0.2585,614.4599552456422
30.424876,1.4698940019671158,1.235338526590791,0.5952120587844794,0.2585,909.272460566373
32.935062,1.3578938629322932,1.3372593848617937,0.5942900001487963,0.2585,1065.4998049684893
37.586178,1.189896472818308,1.5261082329702575,0.5923878232208748,0.2585,1387.6908867322961
40.918719,1.0930056508324582,1.6614190979592687,0.5908732145531366,0.2585,1644.676406605503
43.327073,1.0322614640685788,1.7592052806168097,0.5897002014247514,0.2585,1843.9753264244032
48.00515,0.9316820151400919,1.9491488238035846,0.5872300710570674,0.2585,2263.664530933821
49.773832,0.8985817155968366,2.020962461298366,0.5862318998855995,0.2585,2433.5403920768285
52.970321,0.8443637716213752,2.150749219066044,0.5843372809126357,0.2585,2756.1421535532622
56.446257,0.792379003045116,2.291882338450455,0.582124055280583,0.2585,3129.72876486233
59.347044,0.7536517292814146,2.4096627342862087,0.5802100900901539,0.2585,3459.6693035841445
60.831778,0.7352597803204772,2.4699472564627083,0.579184938060156,0.2585,3634.9414884719986
65.112544,0.6869276882399241,2.6437588165532064,0.5760857980743569,0.2585,4164.527475782375
67.07981,0.6667843732543913,2.7236355424880023,0.574595137554855,0.2585,4419.9774283352735
69.546401,0.6431389345227805,2.823786316862305,0.5726572799434942,0.2585,4751.007593566655
72.067158,0.6206474190218749,2.926136388503465,0.5706149469195769,0.2585,5101.656285610851
75.70469,0.5908316595462015,3.073830775862902,0.5675481987080563,0.2585,5629.657511673265
77.14484,0.5798027099483968,3.132305057863911,0.5662872723460868,0.2585,5845.883673968382
