t,dominant_dim_response,coherent_dim_response,collapse_efficiency,energy_champion,coherence_champion
14.134725,0.9501470225006174,0.8727125590029162,0.7707229608929688,0,2
21.02204,0.6392730407173204,1.8062168834116175,0.7707229608929688,0,2
25.010858,0.5374905623362137,1.5859380380936736,0.7707229608929688,0,2
30.424876,0.4420438961321744,0.21885237248542033,0.7707229608929688,0,2
32.935062,0.4084440403043239,0.49773485501591147,0.7707229608929688,0,2
37.586178,0.35806075073828486,1.0913430495247287,0.7707229608929688,0,2
40.918719,0.32901419540997956,0.9385961313329741,0.7707229608929688,0,2
43.327073,0.3108085536597567,0.5960580522246491,0.7707229608929688,0,2
48.00515,0.28067907246906615,0.27065309578760405,0.7707229608929688,0,2
49.773832,0.2707650079490792,0.5212470362455143,0.7707229608929688,0,2
52.970321,0.2545336505296486,0.7694073649032748,0.7707229608929688,0,2
56.446257,0.23896190007980367,0.6797967693374096,0.7707229608929688,0,2
59.347044,0.2273956772723369,0.376355551169902,0.7707229608929688,0,2
60.831778,0.22189754083915442,0.1834340832817347,0.7707229608929688,0,2
65.112544,0.20745247978432374,0.3804428796198907,0.7707229608929688,0,2
67.07981,0.20143686650712014,0.5372031569697018,0.7707229608929688,0,2
69.546401,0.19437743618361694,0.6070634840034795,0.7707229608929688,0,2
72.067158,0.18766275043169328,0.5272747756571385,0.7707229608929688,0,2
75.70469,0.1787710545854282,0.21247679329286964,0.7707229608929688,0,2
77.14484,0.17548220774458648,0.07228096590319275,0.7707229608929688,0,2
