T_peak,gue_score,is_gue_type,ef_consistent,raw_precision,gue_precision,biimplication_pct
3.030201342281879,0.5,1,0,0.0265,0.0,0.0
3.151006711409396,0.4999999999999999,1,0,0.0265,0.0,0.0
3.3322147651006713,0.5,1,0,0.0265,0.0,0.0
3.3926174496644297,0.5,1,0,0.0265,0.0,0.0
3.5134228187919465,0.5,1,0,0.0265,0.0,0.0
3.6644295302013425,0.5,1,0,0.0265,0.0,0.0
3.75503355704698,0.5,1,0,0.0265,0.0,0.0
3.815436241610738,0.5,1,0,0.0265,0.0,0.0
3.9060402684563758,0.49999999999999994,1,0,0.0265,0.0,0.0
4.026845637583893,0.4999999999999999,1,0,0.0265,0.0,0.0
4.117449664429531,0.4999999999999999,1,0,0.0265,0.0,0.0
4.208053691275168,0.5,1,0,0.0265,0.0,0.0
4.328859060402685,0.5,1,0,0.0265,0.0,0.0
4.419463087248323,0.5,1,0,0.0265,0.0,0.0
4.5402684563758395,0.4999999999999999,1,0,0.0265,0.0,0.0
4.6610738255033555,0.5,1,0,0.0265,0.0,0.0
4.781879194630872,0.5,1,0,0.0265,0.0,0.0
4.87248322147651,0.5,1,0,0.0265,0.0,0.0
4.932885906040268,0.4999999999999999,1,0,0.0265,0.0,0.0
4.993288590604027,0.4999999999999999,1,0,0.0265,0.0,0.0
5.114093959731544,0.5,1,0,0.0265,0.0,0.0
5.23489932885906,0.5,1,0,0.0265,0.0,0.0
5.325503355704698,0.5,1,0,0.0265,0.0,0.0
5.416107382550336,0.5,1,0,0.0265,0.0,0.0
5.476510067114094,0.5,1,0,0.0265,0.0,0.0
5.597315436241611,0.5,1,0,0.0265,0.0,0.0
5.657718120805369,0.5,1,0,0.0265,0.0,0.0
5.808724832214765,0.5,1,0,0.0265,0.0,0.0
5.869127516778524,0.5,1,0,0.0265,0.0,0.0
5.929530201342282,0.5,1,0,0.0265,0.0,0.0
5.989932885906041,0.5,1,0,0.0265,0.0,0.0
6.140939597315437,0.5,1,0,0.0265,0.0,0.0
6.201342281879195,0.5,1,0,0.0265,0.0,0.0
6.2617449664429525,0.4999999999999999,1,0,0.0265,0.0,0.0
6.412751677852349,0.49999999999999994,1,0,0.0265,0.0,0.0
6.473154362416107,0.49999999999999994,1,0,0.0265,0.0,0.0
6.533557046979865,0.49999999999999994,1,0,0.0265,0.0,0.0
6.654362416107382,0.4999999999999999,1,0,0.0265,0.0,0.0
6.775167785234899,0.4999999999999999,1,0,0.0265,0.0,0.0
6.926174496644295,0.5,1,0,0.0265,0.0,0.0
7.10738255033557,0.49999999999999994,1,0,0.0265,0.0,0.0
7.228187919463087,0.4999999999999999,1,0,0.0265,0.0,0.0
7.318791946308725,0.5,1,0,0.0265,0.0,0.0
7.469798657718121,0.5,1,0,0.0265,0.0,0.0
