Lambda,T,C_phi,T_phi_norm,bitsize_TnormT,Lambda_star,cov_rank_6,bridge_structural
-0.5,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.5,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.5,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.5,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.5,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.4473684210526316,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.4473684210526316,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.4473684210526316,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.4473684210526316,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.4473684210526316,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.39473684210526316,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.39473684210526316,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.39473684210526316,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.39473684210526316,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.39473684210526316,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.34210526315789475,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.34210526315789475,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.34210526315789475,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.34210526315789475,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.34210526315789475,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.2894736842105263,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.2894736842105263,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.2894736842105263,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.2894736842105263,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.2894736842105263,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.2368421052631579,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.2368421052631579,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.2368421052631579,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.2368421052631579,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.2368421052631579,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.1842105263157895,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.1842105263157895,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.1842105263157895,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.1842105263157895,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.1842105263157895,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.13157894736842107,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.13157894736842107,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
