x,log_x,psi_x,Tr_E_x,Tr_6D_x_over_x,psi_x_over_x,residual,Tr_perturbed_delta30,perturb_delta,stability_error
20.085536923187668,3.0,19.265658314547977,20.544745332393006,1.0265584910741459,0.9591806476583066,1.279087017845029,19.89362423059345,0.3,0.08415643339659079
23.056115170208905,3.1379310344827585,22.401152530477127,23.727528316399873,1.0324702555385912,0.97159267140641,1.326375785922746,23.05508399743782,0.3,0.08791010737637454
26.466031193233967,3.2758620689655173,24.01059044291123,26.37219456497797,0.9992470405888858,0.9072229329590427,2.3616041220667405,25.736919416603726,0.3,0.09267018962267362
30.380261459931212,3.413793103448276,28.476498561565815,33.88234405838724,1.1190529766817099,0.9373355327808391,5.405845496821424,32.87144554999279,0.3,0.08623591465725607
34.87339222247032,3.5517241379310347,32.6036329466109,33.751325835449926,0.9697792017116564,0.9349142962239009,1.1476928888390248,33.183692369551245,0.3,0.10081078056718787
40.031040769884356,3.689655172413793,36.21455085925513,41.39592530364318,1.03627112989958,0.9046617365616834,5.181374444388055,40.659652140543685,0.3,0.09972694812510173
45.951486878514764,3.8275862068965516,43.689323041653,44.844201833699,0.9774217302803881,0.9507706063387588,1.1548787920460057,44.27615544152487,0.3,0.10545841011228214
52.74754554807482,3.9655172413793105,49.485380792418376,55.28234964902743,1.0501201478531244,0.9381551364758146,5.796968856609055,54.355123800946,0.3,0.10086179247343828
60.548716708601894,4.103448275862069,57.53321014987621,58.351239498645924,0.9645704492406693,0.9501970194803934,0.8180293487697128,57.96188946624284,0.3,0.11217019365499323
69.50365286129092,4.241379310344827,66.54192381400043,67.33199652745091,0.9694988473751992,0.9573874332446779,0.7900727134504848,66.95425687937906,0.3,0.11335972000060522
79.78299167448006,4.379310344827586,79.46451098465715,80.94726802952128,1.0157515088701696,0.9960081631042074,1.4827570448641296,80.19385694000803,0.3,0.10922004372870774
91.58260751033467,4.517241379310345,89.470600250854,90.3963437015664,0.9877248007239159,0.9769387734538751,0.925743450712389,89.93288178644686,0.3,0.11390062719204158
105.12734384056502,4.655172413793103,103.2951607344283,104.11679264806413,0.9909372992639671,0.9825717740104288,0.8216319136358408,103.69776777889909,0.3,0.11513495617528345
120.67529767292608,4.793103448275862,117.38672526983167,117.91256313143042,0.9774603495284294,0.9727485867736773,0.5258378615987453,117.63796986119232,0.3,0.11703361929377504
138.52273762889595,4.931034482758621,136.72657097111195,143.65919564630815,1.0380114481388147,0.9870334164013135,6.932624675196195,142.57914637742613,0.3,0.1112234123000935
159.00974938725133,5.068965517241379,156.73851685235132,157.14944423232396,0.9885585261737561,0.9857163944748528,0.41092737997263384,156.89491816655405,0.3,0.11782760576867062
182.52671606832448,5.206896551724138,185.05438465464076,186.68202185904067,1.023386176925164,1.0138482115975291,1.6276372043999174,185.74951243744056,0.3,0.11404822182981166
209.52175704364618,5.344827586206897,206.14585682505475,206.1490059176476,0.9840169747546045,0.9838875911207247,0.003149092592849456,206.05137353512856,0.3,0.11911076185711444
240.5092669186246,5.482758620689655,238.6910607565238,238.9096994325848,0.9935162015516309,0.992440182511903,0.21863867606100484,238.65612862998802,0.3,0.11845267528970996
276.079717399871,5.620689655172414,273.8111304159288,273.6270729024926,0.9911948156281808,0.9917828553096626,0.18405751343618704,273.53939396047224,0.3,0.11928225589842283
316.9109088232404,5.758620689655173,316.44517929247303,323.8908957825913,1.022446509741958,0.9985304086486113,7.445716490118286,322.74632056729314,0.3,0.11568440447661268
363.78088574216656,5.896551724137931,362.17081864787235,361.83615096351764,0.9947205305770358,0.9955740745118881,0.33466768435471295,361.70423784703,0.3,0.11923284208431334
417.5827626847869,6.0344827586206895,409.83852231748875,407.6301420157474,0.9759843881552335,0.9814545976047773,2.208380301741329,408.419628837742,0.3,0.12180951487742732
479.3417425869083,6.172413793103448,483.05480230311895,483.3103919047901,1.0084309765283779,1.0077461639292502,0.2555896016711472,482.6880161904464,0.3,0.1181992240539819
550.2346521896422,6.310344827586206,543.0469958199737,540.1338245818695,0.9814626469253701,0.9869371070304906,2.913171238104269,541.096451297406,0.3,0.12163644968217707
631.6123666516785,6.448275862068965,634.0426401483687,633.1902398853965,1.0025440088664743,1.0038477294381896,0.8524002629721963,632.9236773239636,0.3,0.11916967475253085
725.0255506805829,6.586206896551724,718.6984911848417,714.986663096846,0.9859852933314689,0.9912733289333018,3.711828087995741,716.0998916886145,0.3,0.12138429724485425
832.2542066842938,6.724137931034482,832.9845959584222,830.4736661666841,0.9978127774851986,1.0008776035834512,2.5109297917381355,830.7733831912687,0.3,0.1200451022086408
955.3415929873295,6.862068965517241,951.9158390024636,947.6964846926096,0.9918704456824325,0.9964141056874184,4.219354309853998,948.7107237374488,0.3,0.12083928168551461
1096.6331584284585,7.0,1101.6971765163457,1107.6462683300053,1.0101134725137768,1.0046177867675863,5.9490918136596065,1106.7362824818788,0.3,0.11872118487487127
