x_bin_center,R2_empirical,R2_GUE,R2_Poisson,diff_GUE,diff_Poisson
0.07894736842105263,0.32689075630252107,0.020337277828818112,1.0,0.30655347847370296,0.6731092436974789
0.23684210526315788,0.5033613445378151,0.17144575486675484,1.0,0.3319155896710603,0.4966386554621849
0.39473684210526316,0.1,0.41829957230814496,1.0,0.318299572308145,0.9
0.5526315789473684,0.32969187675070033,0.6772242417453034,1.0,0.34753236499460305,0.6703081232492997
0.7105263157894737,0.1,0.8750176762148372,1.0,0.7750176762148372,0.9
0.868421052631579,0.17843137254901964,0.978321294865504,1.0,0.7998899223164844,0.8215686274509804
1.026315789473684,0.1,0.999344034337134,1.0,0.8993440343371341,0.9
1.1842105263157894,0.1476190476190476,0.9783860198333272,1.0,0.8307669722142796,0.8523809523809525
1.3421052631578947,0.1,0.9564916253382839,1.0,0.8564916253382839,0.9
1.5,0.11400560224089636,0.9549683628256277,1.0,0.8409627605847313,0.8859943977591036
1.6578947368421053,0.1,0.971487709121914,1.0,0.871487709121914,0.9
1.8157894736842104,0.1,0.9908069082466893,1.0,0.8908069082466893,0.9
1.9736842105263155,0.1,0.9998226268847611,1.0,0.8998226268847611,0.9
2.131578947368421,0.1,0.9964017512739726,1.0,0.8964017512739726,0.9
2.289473684210526,0.1,0.9879624634642115,1.0,0.8879624634642115,0.9
2.4473684210526314,0.1,0.9835421309526742,1.0,0.8835421309526742,0.9
2.6052631578947367,0.1,0.9866459956911879,1.0,0.886645995691188,0.9
2.763157894736842,0.1,0.993912662688817,1.0,0.893912662688817,0.9
2.9210526315789473,0.1,0.9992843953819056,1.0,0.8992843953819056,0.9
