Lambda,T,C_phi,is_nonneg,sing_score,L0_broadened
0.0,3.0,0.2790187411906855,1,0.4435041090128468,1.0
0.0,3.1875,0.5394855725819756,1,0.5184431051578688,1.0
0.0,3.375,0.746701673217836,1,1.7985687842063591,1.0
0.0,3.5625,1.469676231298104,1,0.4932917220427189,1.0
0.0,3.75,0.20523881902371066,1,1.7950058914386917,1.0
0.0,3.9375,1.0126535376489176,1,0.5920116491944936,1.0
0.0,4.125,0.48574866790734816,1,1.4197259950700774,1.0
0.0,4.3125,1.3508769303937598,1,1.202091077518135,1.0
0.0,4.5,1.6447391673554073,1,0.44872556295445976,1.0
0.0,4.6875,0.1520255755151041,1,1.0328106662374592,1.0
0.0,4.875,1.6995302649235207,1,1.032840255455627,1.0
0.0,5.0625,2.4819877012081406,1,1.1433704808705032,1.0
0.0,5.25,4.534141741436322,1,1.0343228907725088,1.0
0.0,5.4375,3.3481244319099304,1,0.8817118040195874,1.0
0.0,5.625,3.620873180663537,1,1.0883220839020007,1.0
0.0,5.8125,7.551631527256774,1,1.1232364620460051,1.0
0.0,6.0,7.611260091858597,1,0.8907510365425203,1.0
0.0,6.1875,6.221887937743091,1,0.932339734091145,1.0
0.0,6.375,11.576285941201292,1,1.063389162232094,1.0
0.0,6.5625,12.658907649012008,1,0.8961869331695104,1.0
0.0,6.75,13.663120551736085,1,0.9495918982338332,1.0
0.0,6.9375,18.859644882903865,1,1.1080703965086407,1.0
0.0,7.125,21.021355038204888,1,1.019404314130745,1.0
0.0,7.3125,20.92356789284588,1,1.1314896878361071,1.0
0.0,7.5,30.571334326215776,1,0.8621480375097101,1.0
0.5,3.0,0.25781642199212396,1,0.3295487702499362,1.224744871391589
0.5,3.1875,0.4804431983937336,1,0.5581073936315937,1.224744871391589
0.5,3.375,0.6593237818919722,1,1.7456375129822872,1.224744871391589
0.5,3.5625,1.2703807723938692,1,0.5366851522507686,1.224744871391589
0.5,3.75,0.2253155462919878,1,1.740867096750036,1.224744871391589
0.5,3.9375,0.9102160316885044,1,0.6250118541347777,1.224744871391589
0.5,4.125,0.48463946532461044,1,1.3893130384151935,1.224744871391589
0.5,4.3125,1.2227801147000363,1,1.1877294917790537,1.224744871391589
0.5,4.5,1.4879409540956239,1,0.49038251194045446,1.224744871391589
0.5,4.6875,0.26739233925492556,1,1.030503994949652,1.224744871391589
0.5,4.875,1.5865079975271037,1,1.0308176979150268,1.224744871391589
0.5,5.0625,2.274608829215282,1,1.1323623798335025,1.224744871391589
0.5,5.25,4.029117623315713,1,1.0319376381387328,1.224744871391589
0.5,5.4375,3.090037431200763,1,0.8909874468089967,1.224744871391589
0.5,5.625,3.3797922199629937,1,1.0816450367141968,1.224744871391589
0.5,5.8125,6.732031625027645,1,1.113697158699662,1.224744871391589
0.5,6.0,6.871718575492196,1,0.8991534643045354,1.224744871391589
0.5,6.1875,5.820674692148188,1,0.9377302635119732,1.224744871391589
0.5,6.375,10.415850639098068,1,1.0583839365621281,1.224744871391589
0.5,6.5625,11.476564395030891,1,0.9042921364594216,1.224744871391589
0.5,6.75,12.503520750353346,1,0.9536081669518299,1.224744871391589
0.5,6.9375,17.06628973856661,1,1.0997145003344062,1.224744871391589
0.5,7.125,19.1445646242704,1,1.0180708548412691,1.224744871391589
0.5,7.3125,19.394045521166674,1,1.1213539881510226,1.224744871391589
0.5,7.5,27.84326704878299,1,0.8729459090054453,1.224744871391589
1.0,3.0,0.24177263692837547,1,0.2635481144033644,1.4142135623730951
1.0,3.1875,0.44043287508636997,1,0.583023054421049,1.4142135623730951
1.0,3.375,0.6010789291252481,1,1.7182282542481895,1.4142135623730951
1.0,3.5625,1.1428312752292262,1,0.5630316265399844,1.4142135623730951
1.0,3.75,0.22921679214154977,1,1.7113396303840567,1.4142135623730951
1.0,3.9375,0.8379673334923474,1,0.6448495307134521,1.4142135623730951
1.0,4.125,0.47165036357370305,1,1.3726962555961562,1.4142135623730951
1.0,4.3125,1.130223369607755,1,1.1800300604659386,1.4142135623730951
1.0,4.5,1.37490581893573,1,0.51485315338895,1.4142135623730951
1.0,4.6875,0.3156398549116659,1,1.0294611663888815,1.4142135623730951
1.0,4.875,1.4920314523243121,1,1.0297994141176756,1.4142135623730951
1.0,5.0625,2.1174567410108196,1,1.1261957041476633,1.4142135623730951
1.0,5.25,3.684847815132116,1,1.0306351699200027,1.4142135623730951
1.0,5.4375,2.888015571611085,1,0.8963681184203706,1.4142135623730951
1.0,5.625,3.1784817856666265,1,1.0778543422478029,1.4142135623730951
1.0,5.8125,6.168683971409386,1,1.1082511974939633,1.4142135623730951
1.0,6.0,6.343128072108456,1,0.9040115846227463,1.4142135623730951
1.0,6.1875,5.480833947939843,1,0.9408207874162877,1.4142135623730951
1.0,6.375,9.595946804844345,1,1.055545031785976,1.4142135623730951
1.0,6.5625,10.619177432390813,1,0.9089458465107572,1.4142135623730951
1.0,6.75,11.631004426946191,1,0.9559139836789032,1.4142135623730951
1.0,6.9375,15.774487188769314,1,1.0949369023136235,1.4142135623730951
1.0,7.125,17.76014363285924,1,1.0172944118302512,1.4142135623730951
1.0,7.3125,18.169840579322226,1,1.115554426923819,1.4142135623730951
1.0,7.5,25.830497810163877,1,0.8791379570995984,1.4142135623730951
2.0,3.0,0.21822377481728505,1,0.18914116419712634,1.7320508075688772
2.0,3.1875,0.3868703451240023,1,0.6134228325764874,1.7320508075688772
2.0,3.375,0.5243046077545426,1,1.6911058794493508,1.7320508075688772
2.0,3.5625,0.9805010909231289,1,0.5947436018878084,1.7320508075688772
2.0,3.75,0.2243465857135991,1,1.680460392079373,1.7320508075688772
2.0,3.9375,0.7385746040442918,1,0.6688015905265181,1.7320508075688772
2.0,4.125,0.4413898095094897,1,1.3554563952614171,1.7320508075688772
2.0,4.3125,1.0003537028565557,1,1.1724416607592245,1.7320508075688772
2.0,4.5,1.2164027064363339,1,0.5434754967672111,1.7320508075688772
2.0,4.6875,0.34797531143947324,1,1.0289147915564192,1.7320508075688772
2.0,4.875,1.3461068579361175,1,1.029085233528326,1.7320508075688772
2.0,5.0625,1.8889326463037364,1,1.1195710245949329,1.7320508075688772
2.0,5.25,3.221540181103123,1,1.0293905155676983,1.7320508075688772
2.0,5.4375,2.587848190488117,1,0.9026506407982281,1.7320508075688772
2.0,5.625,2.8675899397909888,1,1.0736737667022445,1.7320508075688772
2.0,5.8125,5.405373729920065,1,1.1021571592262844,1.7320508075688772
2.0,6.0,5.605246496772253,1,0.9096020674565175,1.7320508075688772
2.0,6.1875,4.9517419300676835,1,0.9443595714165753,1.7320508075688772
2.0,6.375,8.46112094107825,1,1.0523681505765041,1.7320508075688772
2.0,6.5625,9.409641582601623,1,0.9142486778614283,1.7320508075688772
2.0,6.75,10.368020696233259,1,0.9585436353073676,1.7320508075688772
2.0,6.9375,13.960957953773118,1,1.08952985239492,1.7320508075688772
2.0,7.125,15.783327858410615,1,1.0164080167106833,1.7320508075688772
2.0,7.3125,16.325873612924653,1,1.1089818267899114,1.7320508075688772
2.0,7.5,22.95611267072485,1,0.8861708335234216,1.7320508075688772
5.0,3.0,0.17655876049209862,1,0.10343642134564483,2.449489742783178
5.0,3.1875,0.30283519512192303,1,0.6521206161639707,2.449489742783178
5.0,3.375,0.4068143925710297,1,1.6657903424847436,2.449489742783178
5.0,3.5625,0.7443612780035442,1,0.6352818638350147,2.449489742783178
5.0,3.75,0.19803919486059218,1,1.6492588924554261,2.449489742783178
5.0,3.9375,0.580038138125393,1,0.7002155100205814,2.449489742783178
5.0,4.125,0.3712917066080763,1,1.3388625324326047,2.449489742783178
5.0,4.3125,0.789077002948666,1,1.1664626401676597,2.449489742783178
5.0,4.5,0.9587103745900016,1,0.5796556318403998,2.449489742783178
5.0,4.6875,0.33943723949907323,1,1.0302692238041438,2.449489742783178
5.0,4.875,1.0852505067539013,1,1.0298730207089337,2.449489742783178
5.0,5.0625,1.50270229058275,1,1.1130984309953362,2.449489742783178
5.0,5.25,2.5010381247955706,1,1.0289689606509274,2.449489742783178
5.0,5.4375,2.06920388964566,1,0.9109870193329997,2.449489742783178
5.0,5.625,2.3108557509386074,1,1.0693295048224924,2.449489742783178
5.0,5.8125,4.207943796831906,1,1.0953876910588387,2.449489742783178
5.0,6.0,4.408256207500706,1,0.9166845676831373,2.449489742783178
5.0,6.1875,3.996784859749809,1,0.948863159784565,2.449489742783178
5.0,6.375,6.636890374445784,1,1.0487997591251754,2.449489742783178
5.0,6.5625,7.424702291321651,1,0.9207543597395048,2.449489742783178
5.0,6.75,8.239191765945549,1,0.9618056162863762,2.449489742783178
5.0,6.9375,11.000225027542001,1,1.0831429322458919,2.449489742783178
5.0,7.125,12.497526864587599,1,1.015391469630311,2.449489742783178
5.0,7.3125,13.094976403515972,1,1.1011551869822198,2.449489742783178
5.0,7.5,18.177860422386658,1,0.8946299603719343,2.449489742783178
