T,det_modulus,det_phase,H_hermitian_err,nearest_singularity,sing_dist,eig0_re,eig1_re,eig2_re,eig3_re,eig4_re,eig5_re,eig6_re,eig7_re,eig8_re,eig0_im,eig1_im,eig2_im,eig3_im,eig4_im,eig5_im,eig6_im,eig7_im,eig8_im
3.0,1.9347749396119367,-0.22222820602172022,0.6676274466011043,3.170886075949367,0.1708860759493671,-3.0936218207736443,0.09442845997071075,0.0312830800169014,-0.00011034379943658095,-4.756074369668327e-09,-6.5545621893592715e-15,9.766702775502927e-18,1.0732514015385604e-16,-1.4373296280868988e-17,1.028868290366,0.22150307341408831,-0.02457494999253067,0.00013390482636102573,4.2318966061385516e-08,1.5524483595984975e-13,9.761114182507752e-16,6.973523565257191e-19,5.029073031137398e-16
3.1551724137931036,1.463847615380302,-0.693965158839754,1.7354035602087141,3.170886075949367,0.015713662156263464,1.9060845377622226,0.3181536814242247,-0.0043005973648900945,4.730627090541343e-05,2.5766342195574607e-08,7.211735020806392e-14,3.793773680082426e-16,4.880963805349303e-16,5.832516723786343e-17,3.3990244489939574,0.05631334050834863,-0.028038922802179008,0.00015426016059726926,1.9431581780820356e-08,4.142998720377861e-14,-1.4109463930271595e-15,6.650361927173512e-16,7.474219286484343e-16
3.310344827586207,0.6816978332846995,-1.1179772636841256,0.7924556974012544,3.3987341772151898,0.08838934962898293,1.7882758891215718,0.3044547148071611,-0.018974666531799106,0.00014957771939507234,2.0712788455946298e-08,3.694095745999667e-14,-2.280631242433786e-16,1.5838594410860597e-16,-4.549669025588637e-17,0.7110612566904294,-0.29727830558685664,-0.006831679205090975,3.842558962132345e-05,-9.060105622743715e-09,-2.530811090573865e-14,-9.740821577045982e-16,-1.5390155210001908e-15,-2.4841082759202307e-15
3.4655172413793105,0.32569391798474184,1.5329113890579888,0.8031409057913674,3.5126582278481013,0.047140986468790835,1.6295723297083913,-0.054713091131116755,-0.009938869143681129,0.0001154182087313697,1.4481664346373927e-09,-3.424648230572401e-15,1.5926782938315716e-16,1.0387298755563294e-17,7.809476655241504e-17,-0.3718975282148005,-0.5838663178068475,0.00861419122266622,-0.00012208924380018848,-1.3348512524060005e-08,-2.334930663741946e-14,1.9973837058360275e-15,-1.9840833054024625e-15,1.7184287204545065e-16
3.6206896551724137,1.587056772124492,0.9436331040485005,1.4544934540895276,3.6835443037974684,0.06285464862505474,1.47562464058334,-0.7018980390116865,0.0013078861829145612,-3.932814319412156e-05,4.4161518449521637e-10,-3.463949098311863e-14,-2.6750347734284034e-17,-8.480396938756408e-17,-1.8147337503434772e-16,-1.665897202243737,-0.49120146801085457,0.007185859551293023,-0.00021706246494212632,-6.4575201858658994e-09,-5.2166916864457824e-14,1.2732781184998348e-15,-5.187670237908437e-16,1.7150548725241736e-16
3.7758620689655173,2.5369969404231023,0.15805142719142332,0.8310816064654564,3.7974683544303796,0.021606285464862207,-3.72006559198491,-1.1862439826569169,0.0031180245142143994,-0.00021654129947105838,-2.0327167646738666e-09,-8.310058683225911e-14,-5.892934964001386e-18,-1.5917516737119488e-16,7.337701752588709e-17,-1.678469759836838,0.37803172586567774,0.0016595775697337157,-0.00016266012826668343,-3.222097044964541e-08,3.551894741527638e-14,1.797339913660458e-15,1.5421829462930535e-17,-3.3211167070501286e-16
3.931034482758621,2.1901257954382154,-0.7400073763796465,1.91416031301691,4.025316455696203,0.09428197293758167,-2.035475122037891,-0.34811110573390147,0.0024582481489872324,-8.533723036289346e-05,-1.6646130217238537e-07,-1.268768078987904e-13,-6.538771270962715e-17,3.291261020429637e-17,-1.7403092913278898e-16,8.23108589212369,1.1038498872118327,0.0009087728529095139,4.695981679074414e-05,-8.580968022034195e-08,1.7710865497727273e-14,7.209490009359261e-16,-3.536898583266438e-16,1.9020248096103146e-16
4.086206896551724,0.7921982925097342,-1.4661006771858278,1.121669581392955,4.139240506329114,0.05303360977738958,1.6597070408592787,0.29367444432905593,0.0036034875630251238,-4.453188830504469e-05,8.503508498237463e-09,-3.3653150084311115e-13,-1.9457950818622555e-16,1.8232126076654844e-16,-7.404779260503877e-17,0.7809223499006965,0.7316645969950624,-0.002161259629896189,-4.1959136256999684e-05,1.429685188801622e-07,3.7668007873871845e-13,-9.8477783840434e-16,7.131887427292233e-16,8.567215499056606e-17
4.241379310344827,0.04529563708776878,1.6195243049047106,0.6560253736578734,4.310126582278481,0.06874727193365349,1.6183447357734242,0.6352025874439076,-0.0005007182470122889,-5.6611432593644456e-05,-9.341000892427399e-08,1.1847058501220047e-13,6.861768069279128e-16,-3.5194217080093904e-17,-6.118830214076024e-18,-0.18329398138975983,0.3323593404907587,-0.003080251008920467,-5.697501934298772e-06,2.043778393812981e-07,1.4084795586195179e-12,-6.155084965791243e-16,8.194335835203194e-16,3.530819654015881e-16
4.396551724137931,1.1153183501868087,1.2272975248546634,1.1786757009471496,4.424050632911392,0.027498908773461395,1.7929419135388627,0.6634378276391081,-0.0018493193230292833,-7.33807172525421e-05,-1.597437933654164e-07,3.97919236040885e-12,-4.9805547649247284e-17,-2.0069551599412937e-16,-7.459005920259695e-18,-1.263314257178339,-0.45845158687337206,0.00035826821877162974,3.9992700985625936e-05,5.3366333778476555e-08,1.5220685354806368e-12,-1.2475753240410726e-15,-2.2637422354396447e-16,7.365992890838467e-16
