T,det_modulus,det_phase,H_hermitian_err,sing_score,eig_real_max,eig_imag_max,trace_norm_bound
4.0,1.2902808105859103,-0.8418755308167774,0.06935358601122256,6.12669012141581,3.033567292538356,0.05696900668152629,1.9338288708410085
5.17948717948718,0.010790266996831015,-1.3369803217285754,0.11456884354839987,6.1219869223538765,1.099009179851174,0.0037163567904309174,1.9338288708410085
6.3589743589743595,1.3121975228263,0.8551867733071039,0.02044423756931234,6.073220177996588,2.975435361884278,0.000683132754259988,1.9338288708410085
7.538461538461538,1.9716017634291223,0.16327675444737388,0.14488099344639152,6.041156200361098,2.652209377489907,0.004900839980206588,1.9338288708410085
8.717948717948719,1.764728444516469,-0.4835366600009861,0.2277936071956075,6.020561324066076,6.753576726315272,0.11565667395907105,1.9338288708410085
9.897435897435898,0.9223025314220659,-1.0872014646074373,0.16497072849980404,5.999533824373953,1.716142026322753,0.03625757936657675,1.9338288708410085
11.076923076923077,0.2714406178341601,1.4184961204400066,0.18940761567021908,6.0022194902541735,1.1836512331971554,0.004640601184925694,1.9338288708410085
12.256410256410257,1.3806291761334455,0.7952437286648539,0.0814710276269449,6.060303165207941,4.163124545151196,0.04928932210609606,1.9338288708410085
13.435897435897436,1.9421781725787022,0.04800488484329329,0.14625900381068996,6.245278248069408,2.648542334766456,0.019415882945520317,1.9338288708410085
14.615384615384615,1.5507088632142094,-0.6863881266457258,0.07017817184450141,5.850600897758405,20.767760641260267,0.16618677732582365,1.9338288708410085
15.794871794871796,0.7019953390035151,-1.2152282402419108,0.12118586577029979,5.8723756514854575,1.4931033483360572,0.021095635938688805,1.9338288708410085
16.974358974358974,0.4328407373815654,1.3492303154253567,0.1155714480569061,5.936238716184152,1.273687814690369,0.002825398845020411,1.9338288708410085
18.153846153846153,1.4779133671158993,0.7372557951987601,0.04409801144234007,5.98989197840863,6.428210356642378,0.03221817798884847,1.9338288708410085
19.333333333333336,1.990512388821052,0.05476239137496115,0.13013760958332365,6.155635960625744,2.579511688770864,0.018566427191012844,1.9338288708410085
20.512820512820515,1.3778730714567218,-0.7871694910778383,0.2052130343563604,6.1332103743236255,3.6005308163017795,0.11040712896507109,1.9338288708410085
21.692307692307693,0.29399274451532875,-1.3251868006362229,0.1599355082755617,5.662806639739252,1.2689330897719446,0.022147962312466855,1.9338288708410085
22.871794871794872,0.7674052748950957,0.9717900199578553,0.09237506033573496,5.072304038061146,1.5519101772872568,0.05657284203656918,1.9338288708410085
24.05128205128205,1.3287623222052471,0.2997702569385972,1.689357633799909,2.8870169523544744,1.4352074679372544,2.265093836651808,1.9338288708410085
25.23076923076923,1.1334513372862745,-0.027634537410494518,0.4512885758259669,0.8161652266125217,0.4690710898300452,0.10831618924140872,1.9338288708410085
26.410256410256412,1.006154759596475,-0.01998847161759726,1.8299530823114787,0.12789709909901958,0.03032770800153778,0.06877428079286461,1.9338288708410085
27.58974358974359,0.9982757349791224,-0.0016190963053123533,1.590850837403659,0.014614591460404714,0.00534994215712719,0.0070216526337022215,1.9338288708410085
28.76923076923077,0.9997865637431311,8.208429459707744e-05,0.3821885785266916,0.001421041010628037,0.0008594310299859347,0.0001673131334302246,1.9338288708410085
29.94871794871795,0.9999984896166646,1.769314502466221e-05,1.9237295219570976,0.000112530642086716,1.9301871604784506e-05,6.789110792438825e-05,1.9338288708410085
31.128205128205128,1.0000010310937852,3.379465620970012e-07,1.077041647408029,7.166075082407689e-06,3.6669430750966177e-06,2.343493578292123e-06,1.9338288708410085
32.30769230769231,1.0000000276733914,-7.583876920532653e-08,1.6662803254092182,5.188492548245492e-07,1.707986986660225e-07,2.5729792876729296e-07,1.9338288708410085
33.48717948717949,0.9999999951974885,-3.806892467719804e-09,1.5287405753191596,3.881033768423969e-08,1.5753012999451255e-08,1.8674908292816382e-08,1.9338288708410085
34.66666666666667,0.9999999996928696,1.630711185749427e-10,0.542677267892348,2.242257435071388e-09,1.4004260336780247e-09,3.9480104078560083e-10,1.9338288708410085
35.84615384615385,1.000000000002668,1.5470215636017222e-11,1.994480204643853,1.0368303054710716e-10,5.01365999443691e-12,6.734661420316533e-11,1.9338288708410085
37.02564102564103,1.0000000000006606,-1.6454293507519383e-14,0.4932793562930011,4.413102921709098e-12,2.729040767163763e-12,6.945458453095611e-13,1.9338288708410085
38.205128205128204,1.0000000000000042,-3.0652914644690384e-14,1.8554604904474974,2.0251183592202034e-13,4.8695396548713324e-14,1.2103469677520478e-13,1.9338288708410085
39.38461538461539,0.9999999999999988,-6.256521208713184e-16,1.3503220801356077,8.725615625161987e-15,4.448053252462121e-15,4.07113032430536e-15,1.9338288708410085
40.56410256410256,1.0,2.7558554680317714e-17,0.006576068843825778,3.0848152505655754e-16,1.9745269297617603e-16,5.413738895836229e-21,1.9338288708410085
41.743589743589745,1.0,1.2834928110511465e-18,0.1381638930783867,8.671896983798312e-18,4.920280422042441e-19,1.8767229854145848e-22,1.9338288708410085
42.92307692307693,1.0,7.146018130522389e-21,0.003983110409513095,1.987490231245941e-19,1.2601557290928557e-19,9.47721730454591e-25,1.9338288708410085
44.1025641025641,1.0,-5.096007996919382e-22,0.004733326322828027,4.084861187890486e-21,2.151764526364944e-21,1.2670217927920505e-26,1.9338288708410085
45.282051282051285,1.0,-8.567541960951416e-24,0.006148268325003494,8.109730912828459e-23,2.754938907382946e-23,1.3015831530853707e-28,1.9338288708410085
46.46153846153846,1.0,8.816737989666351e-26,0.0002562186393848359,1.4936391505077057e-24,1.1011170209858455e-24,1.4078080466446762e-31,1.9338288708410085
47.64102564102564,1.0,3.472043403897519e-27,0.0051006723610586835,2.4079251710898592e-26,4.279827622836577e-27,7.252054016306405e-33,1.9338288708410085
48.820512820512825,1.0,1.832926673739567e-29,0.0005783828680622657,3.3422947364042723e-28,2.0785970131056447e-28,2.2431843761432392e-35,1.9338288708410085
50.0,1.0,-3.8248119211712894e-31,0.00017455812462163897,4.001596154665867e-30,2.8436001520900735e-30,7.581183189481915e-38,1.9338288708410085
