T,F_0,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,norm,kappa,psi_DP_abs
2.5,1.5904975246293933,0.6840317129148636,0.27685426539267066,0.10837007681498761,0.041798509694124054,0.0160259935245058,0.006130269859239257,0.002342855261225787,0.0008950810608458705,1.7572768524541023,-0.44300220956793046,6.397462752166812
2.6875,1.463351038330792,0.6580983063215772,0.2724310840469311,0.10768177023055148,0.04169550742458968,0.01601081772828924,0.006128047402590456,0.0023425305425449515,0.00089503365898246,1.6316685951765422,0.5696192489839449,6.2792994306850725
2.875,1.8513000423779946,0.8333248089449,0.346186165356049,0.13713384892925617,0.05315216738952025,0.0204183076278812,0.007816216748459087,0.00298803750032365,0.0011416953466010622,2.0648743358817536,-0.0037406456268742616,6.2492161032030875
3.0625,2.114757971300657,0.9661095538219738,0.40529876901965334,0.16132815362861885,0.06265792050104949,0.024089535304425064,0.009224492195675331,0.0035268308499383583,0.0013476248125460252,2.3665308954427946,0.7644376275192251,6.000528063488473
3.25,2.6148814468737975,1.1953810567910503,0.5031167880686177,0.20071006110369338,0.07803479874267329,0.030014270778595056,0.011495170000684972,0.004395274177953126,0.001679504752059356,2.926960274341669,0.4452963968973611,5.484569392506575
3.4375,3.6616036214039944,1.6402889070306965,0.685423501953753,0.27283878409282997,0.1060034918126347,0.040761812137300145,0.015609973065850937,0.00596840244183596,0.002280593138327499,4.0810927357436615,-0.6872069114812538,4.884687797695795
3.625,3.8777460518579145,1.7771996146070193,0.7527442801927384,0.3016369673002011,0.11752575854604201,0.04524384612061295,0.01733404280092752,0.006628717595146143,0.002533071548135697,4.3438660038249095,0.6010473115741757,4.477126765901056
3.8125,4.622418425633449,2.1258645953423714,0.9039224531589772,0.3631456706269411,0.1416645399204252,0.054564383729777705,0.02090918715466406,0.007996513494433926,0.003055847068034579,5.182524437874398,0.3260580243933511,4.387316531206251
4.0,5.63404357660094,2.5896285105656847,1.1027829350565637,0.4437066576217787,0.1732318365283766,0.0667464466129788,0.025580974850425323,0.009783727811539192,0.003738905056557758,6.316395894019031,0.42919396260585785,4.455299459291003
4.1875,6.40691791058683,2.977492827056547,1.2770172289565234,0.5158549913058044,0.2017664044636631,0.07779901889649565,0.029825710879262578,0.011408470398642439,0.004359999351122686,7.201301349645805,0.5678198727966404,4.429655309171881
4.375,8.330875517945737,3.8233312835272955,1.6313882316221138,0.6579969919554728,0.25725334861302834,0.09918137142273975,0.038021361021145686,0.01454311113558889,0.0055579383485541275,9.337742813403446,-0.5831458309760649,4.192015204011992
4.5625,9.002641503028386,4.214270634888686,1.8184427300680364,0.737681694689641,0.2891493840767308,0.11159554677383943,0.042797958791013516,0.01637275099768069,0.006257552389190991,10.136899875353276,3.0047725875363938,3.809612315289132
4.75,12.265872774312315,5.620996053505099,2.400905987528996,0.9700941059194057,0.37969523372685,0.14646257119614142,0.05615847774747293,0.021482298046499648,0.008210147006674266,13.744888726722037,-1.6279332149455321,3.478326965017596
4.9375,14.74485787463566,6.762340450879097,2.8913434679800103,1.1694525895491859,0.4580014835079367,0.17671688310906628,0.06776658817895624,0.02592389199927233,0.00990781287115028,16.526158817611304,-1.297173937239485,3.367344925382962
5.125,17.517819988262872,8.055148432210837,3.45059507046953,1.3975739674685606,0.5477528036426993,0.21141723425953626,0.08108426989696235,0.03102016605813743,0.011855791284770925,19.64616147218534,-0.49971946161098657,3.440654599677491
5.3125,21.33104085435871,9.793263841746668,4.193254083079503,1.6987468527258245,0.6659619779025656,0.25707763160101493,0.09860205461455138,0.03772277585775244,0.014417634845694204,23.914668903941795,-0.9785573440415476,3.5054428533901163
5.5,25.146949081752247,11.591039471978902,4.974873826343849,2.0184245118511153,0.7919100725437649,0.30580312103733026,0.11730724195361407,0.04488140399825732,0.01715402485967532,28.21845775305831,1.6549613583863874,3.413743997232707
5.6875,30.79863576005283,14.158889491117309,6.069877346309824,2.4621284773402263,0.966034574241551,0.3730611474679091,0.14311120019503246,0.054754487924224854,0.020927680551710157,34.540294124341415,-2.3379592027753944,3.161440006101005
5.875,35.914052233647546,16.607888556455983,7.14311848042005,2.90279070652693,1.1399733563327064,0.44040731195020294,0.16897312193096187,0.06465332160769084,0.024711702115185787,40.33135611587791,0.9309707010816339,2.879227143958763
6.0625,42.60187198997484,19.75788056889566,8.512151969885279,3.4627179456913066,1.3606337170995757,0.5257899519645614,0.20175347553381776,0.07719908752917701,0.029507397568345077,47.87395745487304,3.798027065096406,2.7407232464052824
6.25,52.233595831765086,24.15613040157835,10.392191907381875,4.225461130150576,1.66017703329782,0.6415340847307097,0.24616619301055712,0.09419326874419376,0.036003007622631845,58.6596783492996,2.205361627768056,2.7922304546182657
6.4375,63.972211176519295,29.50680192695265,12.677068850653,5.152001731206591,2.0239852471425284,0.7821029967649712,0.3001036302069327,0.11483188734680436,0.04389159745022895,71.79944105390996,-1.752145425035053,2.898115068555622
6.625,76.4574184534471,35.32172962341147,15.188934000556541,6.176313511526702,2.427191053339489,0.9380559209446191,0.35996857743254584,0.13774224723350864,0.05264903723344335,85.84366320448814,2.0836287459236758,2.897558255171429
6.8125,91.54118726428297,42.345530498212305,18.22249946134403,7.413252123834416,2.914088508783284,1.126380972660753,0.4322605393421886,0.16540851899310405,0.06322442811137945,102.81015302494546,4.102177193328032,2.736328629339662
7.0,113.18058428672036,52.13145638813946,22.38302310044903,9.096698150177232,3.574512927703784,1.3814743815632982,0.5301303172255609,0.20285573907109913,0.07753743926794858,126.98935726972718,-4.967966106648646,2.4917068700412037
