T,norm_T_phi,Tr_Ls_abs_at_s2,F_0_q4_a1,F_0_q4_a3,ergodic_norm
3.0,2.434224062676754,0.10456212936794741,1.0091649239717178,0.9630710770496783,2.434224062676754
3.2105263157894735,2.979159087867392,0.10456212936794741,1.1480021817280068,1.3410982361171013,2.979159087867392
3.4210526315789473,3.992085039983496,0.10456212936794741,1.5336962913124945,1.9012339036540498,3.992085039983496
3.6315789473684212,4.330814286638736,0.10456212936794741,1.9229491202277125,1.7199360002598452,4.330814286638736
3.8421052631578947,5.752319992112036,0.10456212936794741,2.2833773936531263,2.672689755707651,5.752319992112036
4.052631578947368,6.160276361639292,0.10456212936794741,2.9233136188452122,2.3973659538336616,6.160276361639292
4.2631578947368425,8.338898750556586,0.10456212936794741,3.2096527004989723,3.9990429437216903,8.338898750556586
4.473684210526316,9.820542482583695,0.10456212936794741,3.6124192554450794,4.932878183817583,9.820542482583695
4.684210526315789,13.345956429860893,0.10456212936794741,5.932038430734409,5.8290195272021315,13.345956429860893
4.894736842105263,15.193549063825301,0.10456212936794741,6.627707477763905,6.665281687179343,15.193549063825301
5.105263157894736,18.540024190478576,0.10456212936794741,8.119872372159644,8.177727019009733,18.540024190478576
5.315789473684211,23.879236740263497,0.10456212936794741,10.724911381342272,10.395387286590175,23.879236740263497
5.526315789473684,28.79419512475692,0.10456212936794741,11.994851573953545,13.515946521413513,28.79419512475692
5.7368421052631575,35.65958040112251,0.10456212936794741,15.235618096551615,16.320608011236963,35.65958040112251
5.947368421052632,44.339417492728,0.10456212936794741,19.186882139640367,20.14762245953905,44.339417492728
6.157894736842105,54.75703061288786,0.10456212936794741,25.21702725796527,23.436221109405476,54.75703061288786
6.368421052631579,65.1999566298555,0.10456212936794741,28.585692486050693,29.213001804665602,65.1999566298555
6.578947368421052,81.9553245198851,0.10456212936794741,36.22095531687157,36.57812979807319,81.9553245198851
6.789473684210526,102.7697364666685,0.10456212936794741,45.896971077430976,45.531680829668815,102.7697364666685
7.0,126.98935726972718,0.10456212936794741,56.952898208092904,55.990906822181664,126.98935726972718
