T,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,kappa_ms_0,dom_branch
3.0,0.14834212616039208,0.23284313935035705,0.14060812947220835,0.06476516137419298,0.026640308087678515,0.010472025754679821,0.004044305407877422,0.0015513208992132613,0.0005935086784156951,0.4492497614438856,0.415890891168856,0.39651804891717074,0.38778077450343634,0.384225749109576,0.38283487000896255,0.38229872352684974,0.38209321847274225,1.531748584915049,0
3.2105263157894735,-3.2283731731730825,-1.0431566660589544,-0.33982277100140174,-0.11675238011564658,-0.04230517979219645,-0.015799311153160626,-0.0059807682329415645,-0.002276479344335535,-0.0008683698656522753,0.4524391600245695,0.41858706647736543,0.39794908573967264,0.3884001048229967,0.38447376043411113,0.3829313190851868,0.3823358169386593,0.3821074239735986,2.9959479928034765,0
3.4210526315789473,-43.64821120319533,-16.40970532014815,-6.1929957219169385,-2.3489286859212797,-0.8942831368333015,-0.34112412936755904,-0.13022839593374363,-0.0497325724895648,-0.018994650395297356,0.44825993990106,0.41791450768201654,0.39804936782151906,0.38851127246127126,0.38452819875846656,0.38295393829069974,0.38234472748665344,0.38211086725427007,2.5005568179027433,0
3.6315789473684212,24.6075890284493,9.672621394682274,3.7783434093255734,1.4624500319601275,0.5620741287500657,0.21524483972384564,0.0822994672324008,0.03144790563773922,0.01201383557740855,0.45910520963170603,0.42395164121212825,0.40088942995578675,0.38969649471057277,0.38499695187258776,0.383135404483856,0.3824143986216089,0.3821375316204612,2.819650493065267,0
3.8421052631578947,-14.218546157958578,-5.036378180658622,-1.813590505907767,-0.6679781843236945,-0.2506885948385563,-0.09504460748903192,-0.03619657496969137,-0.013810004487319177,-0.005272626885885132,0.45417714047182534,0.4226549591951895,0.40074347327805393,0.3897230187909206,0.38502133417069456,0.383146932758794,0.3824191329900757,0.3821393887128674,1.4036557838991157,0
4.052631578947368,59.57794330738465,23.197649157578404,8.988673648516412,3.4627134700978264,1.3279946689552335,0.5081076560937087,0.19420993947057832,0.07420085250384695,0.02834502886208397,0.4663364977101493,0.42914602020151216,0.4038143509974876,0.39101654781275663,0.38553532979178196,0.3833463026424467,0.3824957368652011,0.3821687150708654,10.686721001594899,0
4.2631578947368425,30.615343395223643,12.272491251082013,4.8494023923974225,1.888982007899603,0.7282328670671998,0.27923807372753046,0.10682290996001562,0.040826929571152984,0.015598051889816365,0.45891900517486794,0.42637997897665086,0.4030248665084548,0.39079485025157945,0.38546564456792426,0.38332208592373923,0.38248684958784407,0.3821653740532155,5.075801791812772,0
4.473684210526316,21.375609673058253,8.866345179849095,3.5836021148801778,1.413559721782424,0.5481597495095988,0.21070580519012932,0.08068409647630566,0.030848467100887355,0.011787452457613144,0.46302715683895396,0.4288933533133318,0.40442586825417776,0.3914393135739337,0.3857314001314902,0.3834266845823945,0.382527266841584,0.38218088054557886,13.970452754329596,0
4.684210526315789,-105.10186058174469,-39.23610906844278,-14.738192201200365,-5.573625488502984,-2.1186636462081707,-0.8075978019385964,-0.30822257011408805,-0.11769313239415571,-0.04494928387477326,0.4554196662793382,0.42561108450411017,0.4033030411949477,0.3910723293905415,0.3856043759955306,0.38338036481671306,0.3825099119271677,0.38217430178522255,0.4433392344937558,0
4.894736842105263,30.38256155526216,12.674671807272139,5.140165132893672,2.0309471891438453,0.7882514658503561,0.3031121215777705,0.11608720719876546,0.044387165154943016,0.016961113559919166,0.4619730730587772,0.4291565929099859,0.40511513860093423,0.3918841003384714,0.3859366401066858,0.38351083146678666,0.3825602828221671,0.38219362117826783,23.696399113521235,0
