T,F_0_phi,F_1_phi,F_2_phi,F_3_phi,F_4_phi,F_5_phi,F_6_phi,F_7_phi,F_8_phi,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,psi_match
3.0,2.1831906796902523,0.9807978920373603,0.40790490937595325,0.16174165880948832,0.06272030572261393,0.024098756450652965,0.009225844293163376,0.00352702849673383,0.001347653669962107,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,3.9977398813327416
3.2857142857142856,2.7349584876867024,1.2493002777418432,0.5258977107012254,0.20984799723628217,0.08159794611375693,0.031386467702985144,0.012020970031436012,0.004596357129068501,0.0017563474891752436,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,5.400431675696455
3.571428571428571,3.424294859193921,1.5875022159125505,0.675706627809152,0.27126519904234625,0.10576394588569805,0.04072627678880054,0.015604755177235325,0.005967639288561691,0.00228048169103257,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,6.6862603541159915
3.857142857142857,5.107433336300668,2.328207370616863,0.986012152283228,0.39551421396389114,0.15420274645166224,0.059380796941554896,0.022752974834872087,0.00870137931627496,0.00332516997014423,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,9.02557175793356
4.142857142857142,6.45262411222185,2.9713638890694147,1.2680293338261384,0.5109897063857787,0.19965737731996083,0.07695401554881103,0.02949702314392453,0.011282048433887356,0.004311582319757502,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,11.774936245105149
4.428571428571429,8.95018512552481,4.095682448045041,1.7454861258926566,0.7037716616724226,0.27512530228709314,0.10606911893564389,0.040661473514787834,0.01555290721441542,0.005943845904269691,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,15.71897483060304
4.714285714285714,11.75147985469786,5.391492838410403,2.303969969022901,0.9310250883170975,0.36440689738848514,0.14056483217886964,0.05389696580353347,0.020617179687760178,0.007879510895503193,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,20.755005207617273
5.0,15.038867761549792,6.947911428516341,2.9827355658449273,1.2089007920026957,0.47388670138124567,0.18291504358116575,0.07015382431335378,0.026838657381567703,0.010257650833855587,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,28.226649798648033
5.285714285714286,20.799210808941172,9.546454294080378,4.0867949535847075,1.6553742917868226,0.6489035905294344,0.25048301164104336,0.09607117159654913,0.03675429288773653,0.014047447285739045,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,36.51337890013104
5.571428571428571,26.86245771566391,12.393133859458857,5.322246146760103,2.160245960237611,0.8477469874368755,0.3273991662552797,0.1255969287835266,0.04805381883301456,0.018366665491007163,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,49.184560763135295
5.857142857142857,35.34294285255369,16.338650060469778,7.026041196937728,2.8548949226151517,1.1210969065362022,0.43310311874913465,0.16616886497674982,0.06358006950831493,0.024301444845204925,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,63.78055903472506
6.142857142857142,48.231192680344584,22.19939121492592,9.525833690268822,3.8680101779636056,1.5187662910651383,0.586729661438072,0.22511236840397772,0.08613355659999233,0.03292184763909027,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,85.29257569356632
6.428571428571429,64.0184621477117,29.479509360211512,12.654127644958201,5.140445132765404,2.0190563887828765,0.7801367807281318,0.2993398606879768,0.1145382617020152,0.04377916458274388,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,113.32385720825836
6.7142857142857135,83.01554469966766,38.39874116196976,16.523135884402013,6.721367717567269,2.6419177608986293,1.021136697852856,0.3918647506366213,0.1499495808377557,0.057315361125624166,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,149.74746009034953
7.0,113.18058428672036,52.13145638813946,22.38302310044903,9.096698150177232,3.574512927703784,1.3814743815632982,0.5301303172255609,0.20285573907109913,0.07753743926794858,0.3870579982236676,0.23921499851972297,0.1478429997039446,0.09137199881577839,0.05647100088816618,0.0349009979276122,0.02157000296055398,0.013330994967058217,0.008239007993495763,201.62720130813156
