T,norm_T_phi,H_phi,eps_PNT,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8
2.5,1.7572768524541023,1.43991795317058,0.160277896602945,1.1123053463198398,1.0876720387806031,1.0751137909542445,1.0697359660894776,1.0675903201985617,1.0667570502777164,1.066436750521063,1.0663141112774221,1.066267224065135
2.736842105263158,1.7090584603652765,1.4080386318284803,0.17121845133151592,0.8887999266856198,0.8970620675332682,0.898827226277449,0.8991352656164935,0.899187575533762,0.89919730337775,0.8991994822225104,0.8992000879382243,0.899200286122134
2.973684210526316,2.4613340563486563,1.412627450135517,0.015242697431022245,1.0410289870109717,1.0284560483332255,1.0204320129573596,1.0166028563162508,1.015007364569058,1.0143772826883275,1.014133526911169,1.0140399662357487,1.0140041627384657
3.2105263157894735,2.979159087867392,1.4020851298177817,0.09644103299943518,1.0187347521621024,1.0113815651458948,1.0056146678568725,1.002596508417979,1.0012927712537574,1.0007707619666821,1.0005677505579993,1.000489672154248,1.0004597704429796
3.4473684210526314,4.064947907503639,1.4051604074152177,0.015688027163636598,1.0889425486366435,1.0713635251674543,1.0606231691872912,1.0553830049929986,1.0531661367604348,1.052284758283638,1.0519428651834417,1.051811499060317,1.0517612080631606
3.6842105263157894,4.223398706867172,1.3799247153267573,0.09039926710179869,0.908004408003273,0.9215646549286346,0.9264374406663146,0.9278886480735734,0.9283371959147836,0.9284896509676664,0.9285449162981732,0.9285655804772264,0.9285734078233184
3.9210526315789473,5.874417085948318,1.3879328077862574,0.019188847604772463,0.9947160728249971,0.9942853951433337,0.9924513978064214,0.9909736825660316,0.9902284793721173,0.9899123442239863,0.9897866775072249,0.9897379416449542,0.9897192178530383
4.157894736842105,7.302576137861915,1.3836758135919236,0.0358587523813384,0.9921761693613559,0.9927541562875456,0.9916816982640737,0.990544510207127,0.9899259201793613,0.9896564198543416,0.9895482269153065,0.9895061106506744,0.989489907020006
4.394736842105263,9.437028463224568,1.3844502918136896,0.005679634459798244,0.9982214218245091,0.9980010234048438,0.9968263263681306,0.995684899769234,0.9950601640840125,0.9947863876976792,0.9946761849356115,0.9946332401452515,0.9946167108262683
4.631578947368421,12.077983242993493,1.384425919086867,0.03910964909001724,1.0238842748642996,1.0195272855123032,1.0163899385586281,1.0143808498725062,1.0133905811451605,1.012970304844052,1.012803001831244,1.0127380714818282,1.0127131183695683
4.868421052631579,15.376988410964383,1.3841343594813635,0.02446996195065443,1.024708924501998,1.020321959877715,1.0173688838784434,1.0154934199463246,1.014557661643082,1.0141574859509315,1.0139976506126318,1.0139355351803274,1.0139116513989095
5.105263157894736,18.540024190478576,1.3776733038518039,0.018528936492599457,0.9831461945854434,0.9859689752508821,0.9869965044381378,0.9870418701468453,0.9869180686244667,0.986840184944367,0.986805240278742,0.9867910892807362,0.9867855642516075
5.342105263157895,23.591520844088283,1.3776825139878108,0.013430299885208052,0.9889677840863316,0.9908245284243152,0.991473974745697,0.9914080276971705,0.991245956397622,0.9911532808139949,0.9911125762884638,0.9910962032830097,0.9910898259636544
5.578947368421053,30.045337057305595,1.3779208353207295,0.00822692387240398,0.9940108948098336,0.9950047760993359,0.9952999499805052,0.995128872509008,0.9949323115960291,0.9948266747203369,0.9947809744877267,0.9947626811850133,0.9947555682690695
5.815789473684211,37.193691741648834,1.3748149229709514,0.0224999781226638,0.9698240508722359,0.9750512099594448,0.9776634853124542,0.978654490148478,0.9789676427037604,0.9790679650390826,0.9791026546092183,0.9791153219777448,0.9791200722901584
6.052631578947368,48.096486949899344,1.3770608556543862,0.007787682312074828,0.9902194746751587,0.9918940918813595,0.9926764729272717,0.9928444182600846,0.9928164013870275,0.9927811421086236,0.9927631473114016,0.9927555513075187,0.9927525407739437
6.289473684210526,60.16205642457973,1.3753249586815863,0.015626248893798378,0.979574107213183,0.9831321546869699,0.9849455802276967,0.9856505861780682,0.9858665566821776,0.9859314649945028,0.9859528062150092,0.9859603945176761,0.9859632072204358
6.526315789473684,79.53843677664082,1.3802807753422064,0.004483856522751406,1.0241477023418732,1.0199344721046755,1.01764390506293,1.0164085762849389,1.0157940696732446,1.0155247219988888,1.015415576765131,1.0153728920385958,1.015356437906349
6.763157894736842,99.47132133604099,1.3786149082811525,0.005468002437590158,1.0095479630055695,1.0079039429716523,1.0069894225543399,1.0064440811920312,1.0061389095041566,1.0059963527773186,1.0059370073094334,1.0059135498435492,1.005904470135334
7.0,126.98935726972718,1.3794389556787734,0.004617786767586729,1.0181448350890143,1.0149801768577662,1.013275357921985,1.0123721507071186,1.0119200710620153,1.0117194305131003,1.0116375435226406,1.0116054185449803,1.0115930194062432
