k,gamma,F2_prime,F2_norm,mu_abs_pss,mu_abs_norm
1,14.134725141734693,69.28575055908937,1.1251456297960134,0.6656591563,2.410006161604944
2,21.022039638771552,61.15270441142684,0.48924123463130487,0.4517631461,0.8100764789180455
3,25.01085758014569,33.082506911696896,-1.7055037156785913,0.3829342431,0.2952402983202396
4,30.424876125859512,46.2711460258447,-0.6743139957803271,0.3193541702,-0.18033493922155389
5,32.93506158773919,37.14189569237192,-1.3881093322647637,0.2976789998,-0.3424639497993138
6,37.586178158825675,64.90802304526255,0.7828610642921002,0.2664253106,-0.5762397224179605
7,40.91871901106195,52.664460037377125,-0.17443530263286028,0.2477157867,-0.7161858701210465
8,43.32707328091498,59.29443998020645,0.3439477618368693,0.2385532458,-0.7847211417281964
9,48.00515088116715,70.25803903104588,1.2011666558002523,0.2210857067,-0.9153773155551546
