k,w_theoretical,w_hat,w_hat_lower,w_hat_upper
0,0.3870579982236676,0.25048532739344853,5.9608609865491405e-06,0.39770542602736253
1,0.23921499851972303,0.6093822883214007,0.6093822883214007,0.6093822883214008
2,0.1478429997039446,0.38496534666415994,5.9608609865491405e-06,0.6232910069570388
3,0.0913719988157784,0.3721606211538531,0.1121391959930443,0.43071722843827237
4,0.05647100088816619,0.09552053311590211,0.02066496704095709,0.38055673697760417
5,0.034900997927612205,5.9608609865491405e-06,5.9608609865491405e-06,5.9608609865491405e-06
6,0.021570002960553985,5.9608609865491405e-06,5.9608609865491405e-06,0.4303541433482789
7,0.013330994967058219,5.9608609865491405e-06,5.9608609865491405e-06,0.3149122522840636
8,0.008239007993495764,5.9608609865491405e-06,5.9608609865491405e-06,5.9608609865491405e-06
