k,ks_statistic,mean_Vk,var_Vk,p_value
0,0.003175149986936056,0.4991335665183644,0.0832752768233503,0.26510931063272936
1,0.9999999999997764,1.1848515859495224e-13,3.9591438226012265e-27,0.0
2,0.0031751499869872024,0.5008664334818725,0.08327527682335041,0.2651093106156205
3,0.0016357898606872423,0.4998078477134323,0.08329780908304507,0.951401589891614
4,0.0007010759925335508,0.500059275045127,0.08333453539285711,0.999999999840559
5,0.0028178255973572153,0.499620695476752,0.08318191334260525,0.40443708945360857
6,0.0008933864431898142,0.4999321234084451,0.08333017594607385,0.9999981842187484
7,0.0012703617571916126,0.4997335462401009,0.08333056133293323,0.9969575609764728
8,0.0023214073547306313,0.5008849825718797,0.08327342299653744,0.6531007579877373
