perturbation_id,eps_norm,J_value
0,0.0,2.8357369359690174e-08
1,0.253335462369618,2.8022300383533356e-08
2,0.29767945270962093,2.92277387946695e-08
3,0.294722254974372,2.783847647337053e-08
4,0.2768747069506856,2.835803448332289e-08
5,0.2924299700219984,2.7965659160188665e-08
6,0.24819237175872003,2.8037092421097266e-08
7,0.22977421650151014,2.9381063494142177e-08
8,0.2825930399934234,2.7503027864501817e-08
9,0.3753940592002426,2.9242995099081448e-08
10,0.22306622139300855,2.909735962728972e-08
11,0.19998565512123923,2.892395190259148e-08
12,0.2602651503188328,2.8144581592235885e-08
13,0.31550892524132795,2.8528910462323865e-08
14,0.37101870692795785,2.75410633599803e-08
15,0.24844821009248386,2.817814749331498e-08
16,0.3110433320535222,2.9196357353782375e-08
17,0.22267169428803218,2.9059345128897612e-08
18,0.2788464911281258,2.7821932180645364e-08
19,0.296774675849106,2.8530767652576733e-08
20,0.3336309276338949,2.7322082307055397e-08
21,0.20029525464262096,2.8406956332029987e-08
22,0.24100942594564378,2.7450427855628808e-08
23,0.26605467889983553,2.773703924602315e-08
24,0.4358678040560341,2.8216056951953453e-08
25,0.3610328490421882,2.7422836038723115e-08
26,0.20813315857893544,2.9493653505195703e-08
27,0.3345920939263354,3.098903961393578e-08
28,0.29440931529796976,2.883856783603776e-08
29,0.34459531051229825,3.0751219546148086e-08
30,0.42544428651474536,2.805774010489764e-08
31,0.265963901440314,2.9313299771158256e-08
32,0.3657463648614408,2.7584945931463425e-08
33,0.17997539150337677,2.8615601079023143e-08
34,0.17600704556846694,2.8962438106246998e-08
35,0.257384194869724,2.899396544642303e-08
36,0.24688007646279306,2.831057707554311e-08
37,0.24595895841223198,2.69965692572321e-08
38,0.18545874004518167,2.846934674618757e-08
39,0.23084653125066937,2.8872593962037313e-08
40,0.21943992166053852,2.972942648231984e-08
41,0.18679945611257004,2.870133289853507e-08
42,0.3145113674067623,2.679236577396938e-08
43,0.34664155184392315,3.0797323610056715e-08
44,0.3537475856293905,3.024125100378269e-08
45,0.3069096364908435,2.744590348510876e-08
46,0.27539654336486186,2.847639213944099e-08
47,0.3446056440934471,2.7924332015441707e-08
48,0.37957017820073086,2.9373202999512476e-08
49,0.3234066458908172,2.8191502153037226e-08
50,0.2972741318360958,2.8392889838003195e-08
