k,mean_Re_Sk,std_Re_Sk,mean_Im_Sk,std_Im_Sk
0,3.211021517589007e-08,1.616703498214072e-05,-9.721397956133607e-09,1.0616901991096907e-05
1,1.1612422864024474e-07,9.641638357008614e-06,6.467830274059832e-22,3.544342025956097e-21
2,7.980472203871049e-09,4.018053836987673e-06,2.416095493185768e-09,2.638658469495092e-06
3,4.350488625474626e-09,1.1884665494930164e-06,5.310066728633414e-09,2.0809745727847965e-06
4,8.999805708401982e-10,4.2570469755714153e-07,6.388755551055632e-10,1.1162851094982412e-06
5,-1.8889083615769694e-09,3.524706858930082e-07,2.142117209939761e-09,4.800968575302736e-07
6,-1.088410538374844e-09,2.529235695769487e-07,-9.738199203678139e-12,1.5553949351601124e-07
7,-3.352915434370462e-10,1.3632629135284547e-07,-9.426622257287565e-11,5.767809966628092e-08
8,-3.0400070643953676e-10,5.772917129286985e-08,2.7401414664359443e-11,4.5968000628586775e-08
