T,z80_abs,is_zero
14.134725,0.6351812889593095,True
21.02204,0.427893269540398,True
25.010858,0.3601063273256971,True
30.424876,0.2966190033191554,True
32.935062,0.2742988764483092,True
37.586178,0.2408706754017965,True
40.918719,0.22163059590626547,True
43.327073,0.20958766805503365,True
48.00515,0.1896897717182829,True
49.773832,0.18315335285106105,True
52.970321,0.17246751190068146,True
56.446247,0.16224944361267682,True
59.347044,0.15465500875451726,True
60.831778,0.1510559055612995,True
65.112544,0.14162020940175457,True
67.07981,0.13769912029121484,True
69.546401,0.1331089954737219,True
72.067157,0.12875281005412936,True
75.70469,0.12299586483143327,True
77.14484,0.12087308902584495,True
79.337375,0.11779671170916453,True
82.910381,0.11314878071233189,True
84.735493,0.11093373592633675,True
87.425274,0.1078465772953714,True
88.809111,0.10633709416578503,True
92.491899,0.10255299243088956,True
94.651344,0.10047929562540926,True
95.870634,0.0993530483182744,True
98.831194,0.09674338131478881,True
101.317851,0.09468036285985293,True
103.725538,0.09278504299859958,True
105.446623,0.0914883469561097,True
107.168611,0.09023634764932033,True
111.029535,0.08758768628253773,True
111.874659,0.08703451248262922,True
114.32022,0.08548521095347168,True
116.22668,0.08433102182368762,True
118.790782,0.08283991757388322,True
121.370125,0.08141882156748988,True
122.946829,0.0805818064769136,True
124.256818,0.07990443087120057,True
127.516683,0.07828944122124945,True
129.578704,0.07732237179788305,True
131.087688,0.07663544025155827,True
133.497737,0.07557493513762932,True
134.756509,0.07504028703836899,True
138.116042,0.0736698440839197,True
139.736208,0.07303966769343156,True
141.123707,0.07251170371287771,True
143.111846,0.07177951731279264,True
146.000982,0.07075851186332809,True
147.422765,0.07027563020150193,True
150.05352,0.06941477423600624,True
150.925257,0.06913833802723456,True
153.024693,0.06848404430815642,True
156.112909,0.06757338259949809,True
157.597591,0.06715067470984902,True
158.849988,0.06680437730382668,True
161.188964,0.06617651249973198,True
163.030709,0.06569672048182446,True
165.537069,0.06507503442934272,True
167.184439,0.06467905763511557,True
169.094515,0.06423368469721431,True
169.911976,0.06404784533724704,True
173.411536,0.0632826546544335,True
174.754191,0.0630025451226864,True
176.441434,0.06266085351063953,True
178.377407,0.06228210986613654,True
179.916484,0.06198739167359547,True
182.207078,0.06156682560763341,True
184.874467,0.0610988743808405,True
185.598783,0.06097737789990213,True
187.228922,0.060705849479648424,True
189.416158,0.060360114064655974,True
192.026656,0.0599607665655501,True
193.079726,0.059806435851337145,True
195.265396,0.059499249752462326,True
196.876481,0.05928118773521557,True
198.01531,0.05912808677380132,True
201.264751,0.058722810590668396,True
202.493594,0.058574667440210317,True
204.189671,0.05837921409098139,True
205.394697,0.058243868404194064,True
207.906258,0.05797361091740611,True
209.576509,0.0578085612296735,True
211.690862,0.057602774485872046,True
213.347919,0.05745039178791085,True
214.547044,0.057343928900440336,True
216.169538,0.05720686444668399,True
219.067596,0.056978742031231655,True
220.714918,0.05685706933332298,True
221.430705,0.056807313748931665,True
224.007,0.05663590320855631,True
224.983324,0.05657461004070195,True
227.421444,0.056430487496361426,True
229.337413,0.056326838221889594,True
