T,phase_velocity,is_zero
14.134725,9.320068548923643,True
21.02204,9.442729737219047,True
25.010858,9.546357618317458,True
30.424876,9.25035116918771,True
32.935062,8.883210381256667,True
37.586178,8.975838980823658,True
40.918719,9.393920571409975,True
43.327073,9.742568103943139,True
48.00515,8.460327693693426,True
49.773832,9.0351777794484,True
52.970321,10.408241187676026,True
56.446247,10.445492135846557,True
59.347044,9.575256175242686,True
60.831778,8.349925735084973,True
65.112544,7.890349155237341,True
67.07981,8.208481347038443,True
69.546401,9.311743901185832,True
72.067157,11.236334856690176,True
75.70469,10.43869496483163,True
77.14484,8.334624433514737,True
79.337375,8.156754016580559,True
82.910381,8.237051835191522,True
84.735493,7.400457781482627,True
87.425274,8.22241739113494,True
88.809111,7.616506574115166,True
92.491899,8.552605394185342,True
94.651344,10.408021574903614,True
95.870634,10.70780668575022,True
98.831194,11.57246028511416,True
101.317851,8.778082371774243,True
103.725538,9.59274387158926,True
105.446623,10.4748568036106,True
107.168611,6.01461321255714,True
111.029535,9.539348037157502,True
111.874659,8.51678242957954,True
114.32022,10.88633747376999,True
116.22668,8.109406385892193,True
118.790782,6.222921808807235,True
121.370125,11.919129900084256,True
122.946829,7.314657595638984,True
124.256818,6.743013633286886,True
127.516683,13.500519518427899,True
129.578704,11.496439715952265,True
131.087688,6.254817208789508,True
133.497737,11.797646936018145,True
134.756509,12.815835161661402,True
138.116042,5.068958047915739,True
139.736208,11.691915970546416,True
141.123707,9.784184934336082,True
143.111846,12.665777597664627,True
146.000982,11.92920290793431,True
147.422765,6.173762330391463,True
150.05352,11.380382921455377,True
150.925257,7.597376519868914,True
153.024693,6.344793767876221,True
156.112909,13.401999295226117,True
157.597591,9.837958963798688,True
158.849988,9.685206253662315,True
161.188964,3.749327102119115,True
163.030709,8.073359576810102,True
165.537069,10.952591352175743,True
167.184439,8.301608487459866,True
169.094515,11.438940463470713,True
169.911976,6.166246748273706,True
173.411536,8.130045309795442,True
174.754191,6.00913222589261,True
176.441434,13.29268058902766,True
178.377407,8.93381102102797,True
179.916484,14.5989574720895,True
182.207078,4.7068038489694874,True
184.874467,11.936511486942967,True
185.598783,7.423375881054905,True
187.228922,12.122583126572549,True
189.416158,18.41950161984851,True
192.026656,4.463760039019604,True
193.079726,6.952914221025618,True
195.265396,4.055230853455132,True
196.876481,11.928061777211061,True
198.01531,7.885529076694097,True
201.264751,15.070988320864396,True
202.493594,13.536429189553443,True
204.189671,5.308469457337983,True
205.394697,3.460554028289486,True
207.906258,18.525374456945798,True
209.576509,0.8187950299984313,True
211.690862,2.3191549092527186,True
213.347919,13.300396764903686,True
214.547044,12.157471263718465,True
216.169538,7.491493229316858,True
219.067596,11.48632874131139,True
220.714918,7.434280214768662,True
221.430705,12.793878726768957,True
224.007,3.566376504926527,True
224.983324,11.099084719701223,True
227.421444,0.9801563652600541,True
229.337413,4.5320125355630125,True
