T,is_zero_true,is_zero_predicted,criterion_score,darg_dt,z80_abs,rho4
14.134725,True,True,23030327.446592636,9.320068548923643,0.6351812889593095,0.9999989433210029
21.02204,True,True,28319444.331014592,9.442729737219047,0.427893269540398,0.9999989465442742
25.010858,True,True,22912836.700199056,9.546357618317458,0.3601063273256971,0.9999989494854131
30.424876,True,True,16633905.128299037,9.25035116918771,0.2966190033191554,0.9999989390557906
32.935062,True,True,6048754.965633531,8.883210381256667,0.2742988764483092,0.9999989392804063
37.586178,True,True,9338560.422533555,8.975838980823658,0.2408706754017965,0.9999989237549001
40.918719,True,True,3057930.3766264804,9.393920571409975,0.22163059590626547,0.999998979639963
43.327073,True,True,2767988.6597519293,9.742568103943139,0.20958766805503365,0.9999989546714382
48.00515,True,True,5679504.987801457,8.460327693693426,0.1896897717182829,0.99999889096703
49.773832,True,True,3418473.3579740995,9.0351777794484,0.18315335285106105,0.9999989172452053
52.970321,True,True,6522248.571402266,10.408241187676026,0.17246751190068146,0.9999989605782391
56.446247,True,True,219712.7679314499,10.445492135846557,0.16224944361267682,0.9999989739734597
59.347044,True,True,900018.584802716,9.575256175242686,0.15465500875451726,0.9999990145909258
60.831778,True,True,2565908.382548291,8.349925735084973,0.1510559055612995,0.9999989307321556
65.112544,True,True,1226996.0556435857,7.890349155237341,0.14162020940175457,0.9999988629512172
67.07981,True,True,2565914.0561388265,8.208481347038443,0.13769912029121484,0.9999989014336079
69.546401,True,True,2790172.590628069,9.311743901185832,0.1331089954737219,0.9999989585378997
72.067157,True,True,4202760.035181262,11.236334856690176,0.12875281005412936,0.9999989364390914
75.70469,True,True,1414905.700956322,10.43869496483163,0.12299586483143327,0.9999990517632653
77.14484,True,True,1705199.1679655197,8.334624433514737,0.12087308902584495,0.9999988481928036
79.337375,True,True,1779202.950893715,8.156754016580559,0.11779671170916453,0.9999989414316659
82.910381,True,True,1540323.5320054549,8.237051835191522,0.11314878071233189,0.9999988303404737
84.735493,True,True,715872.7522803064,7.400457781482627,0.11093373592633675,0.9999988085842311
87.425274,True,True,1646918.5237042953,8.22241739113494,0.1078465772953714,0.9999989097275718
88.809111,True,True,702011.8187489666,7.616506574115166,0.10633709416578503,0.9999988367554044
92.491899,True,True,1716395.7451883433,8.552605394185342,0.10255299243088956,0.9999989181361816
94.651344,True,True,263194.04761645966,10.408021574903614,0.10047929562540926,0.9999990144431912
95.870634,True,True,1228847.7548226975,10.70780668575022,0.0993530483182744,0.9999989598747552
98.831194,True,True,2395549.342944813,11.57246028511416,0.09674338131478881,0.9999989570634408
101.317851,True,True,1265593.3003140006,8.778082371774243,0.09468036285985293,0.9999987895750917
103.725538,True,True,284748.6888016326,9.59274387158926,0.09278504299859958,0.999999274282574
105.446623,True,True,1722336.6150671043,10.4748568036106,0.0914883469561097,0.9999991990599713
107.168611,True,True,536666.3398459445,6.01461321255714,0.09023634764932033,0.9999988977590025
111.029535,True,True,599488.2125830107,9.539348037157502,0.08758768628253773,0.9999988615882267
111.874659,True,True,392722.3600499679,8.51678242957954,0.08703451248262922,0.9999992021210493
114.32022,True,True,1725796.442070586,10.88633747376999,0.08548521095347168,0.9999989835969519
116.22668,True,True,728245.8415040052,8.109406385892193,0.08433102182368762,0.9999986022155598
118.790782,True,True,400102.6625801068,6.222921808807235,0.08283991757388322,0.9999987600720244
121.370125,True,True,1637887.677955235,11.919129900084256,0.08141882156748988,0.9999990828311828
122.946829,True,True,238609.85621668864,7.314657595638984,0.0805818064769136,0.9999987077204013
124.256818,True,True,431198.80107247113,6.743013633286886,0.07990443087120057,0.9999992157533634
127.516683,True,True,2066619.9888014575,13.500519518427899,0.07828944122124945,0.9999987521993731
129.578704,True,True,1252873.870387111,11.496439715952265,0.07732237179788305,0.9999990792665734
131.087688,True,True,412020.2518189695,6.254817208789508,0.07663544025155827,0.9999989184747051
133.497737,True,True,635347.2944109305,11.797646936018145,0.07557493513762932,0.9999985837602563
134.756509,True,True,1017994.2300704112,12.815835161661402,0.07504028703836899,0.9999990653210424
138.116042,True,True,13060.956392759641,5.068958047915739,0.0736698440839197,0.9999987465384046
139.736208,True,True,1094558.994222356,11.691915970546416,0.07303966769343156,0.9999991062198752
141.123707,True,True,781176.9722041541,9.784184934336082,0.07251170371287771,0.9999992193137258
143.111846,True,True,287520.4437004975,12.665777597664627,0.07177951731279264,0.9999993876935507
146.000982,True,True,491644.36062561435,11.92920290793431,0.07075851186332809,0.9999986484500912
147.422765,True,True,169208.40386567084,6.173762330391463,0.07027563020150193,0.9999988499262727
150.05352,True,True,669887.4354457268,11.380382921455377,0.06941477423600624,0.9999990147840041
150.925257,True,True,150392.13285674245,7.597376519868914,0.06913833802723456,0.99999833321097
153.024693,True,True,424718.1844125279,6.344793767876221,0.06848404430815642,0.9999988567208651
156.112909,True,True,1392017.7566638568,13.401999295226117,0.06757338259949809,0.9999987803254445
157.597591,True,True,213684.60790461203,9.837958963798688,0.06715067470984902,0.9999986373019183
158.849988,True,True,465172.3287832123,9.685206253662315,0.06680437730382668,0.9999982920923538
161.188964,True,True,121494.33857179713,3.749327102119115,0.06617651249973198,0.9999985373282627
163.030709,True,True,748999.2375001722,8.073359576810102,0.06569672048182446,0.9999994144221762
165.537069,True,True,244511.29920423735,10.952591352175743,0.06507503442934272,0.9999994967631842
167.184439,True,True,7267.370126171911,8.301608487459866,0.06467905763511557,0.9999995100772546
169.094515,True,True,820043.0594008091,11.438940463470713,0.06423368469721431,0.9999991358775854
169.911976,True,True,246872.28884189637,6.166246748273706,0.06404784533724704,0.9999979297003516
173.411536,True,True,587527.8932705696,8.130045309795442,0.0632826546544335,0.9999991231062703
174.754191,True,True,246919.49401674655,6.00913222589261,0.0630025451226864,0.9999995660168315
176.441434,True,True,905839.440591392,13.29268058902766,0.06266085351063953,0.999999857132822
178.377407,True,True,423011.68468848086,8.93381102102797,0.06228210986613654,0.9999996990345077
179.916484,True,True,728967.9420910055,14.5989574720895,0.06198739167359547,0.9999992425636652
182.207078,True,True,363967.13505708013,4.7068038489694874,0.06156682560763341,0.9999983152008288
184.874467,True,True,16436.15507011243,11.936511486942967,0.0610988743808405,0.9999992312657057
185.598783,True,True,130494.6022823474,7.423375881054905,0.06097737789990213,0.9999994187902781
187.228922,True,True,122536.77391231107,12.122583126572549,0.060705849479648424,0.9999990430539445
189.416158,True,True,1307185.6197627205,18.41950161984851,0.060360114064655974,0.999999487784654
192.026656,True,True,94062.1898442509,4.463760039019604,0.0599607665655501,0.9999979509497382
193.079726,True,True,190080.28230848865,6.952914221025618,0.059806435851337145,0.9999988169010332
195.265396,True,True,89367.92828497918,4.055230853455132,0.059499249752462326,0.999998372113921
196.876481,True,True,709900.1410928866,11.928061777211061,0.05928118773521557,0.9999992827171444
198.01531,True,True,464136.07034720975,7.885529076694097,0.05912808677380132,0.9999992104757899
201.264751,True,True,76531.55096554673,15.070988320864396,0.058722810590668396,0.9999987822556987
202.493594,True,True,609967.1492276302,13.536429189553443,0.058574667440210317,0.9999992211808935
204.189671,True,True,134119.18405718156,5.308469457337983,0.05837921409098139,0.9999990670325156
205.394697,True,True,42268.90863826433,3.460554028289486,0.058243868404194064,0.9999998457573587
207.906258,True,True,469811.54925698537,18.525374456945798,0.05797361091740611,0.9999982836473237
209.576509,True,True,5174.778800358289,0.8187950299984313,0.0578085612296735,0.9999973876973741
211.690862,True,True,4656.359167644394,2.3191549092527186,0.057602774485872046,0.9999988673114177
213.347919,True,True,121525.99732073903,13.300396764903686,0.05745039178791085,0.9999997854122492
214.547044,True,True,361700.49545282905,12.157471263718465,0.057343928900440336,0.9999990480989537
216.169538,True,True,97736.18167974344,7.491493229316858,0.05720686444668399,0.9999996506808143
219.067596,True,True,229821.06575735108,11.48632874131139,0.056978742031231655,0.9999981544051474
220.714918,True,True,221560.66582931756,7.434280214768662,0.05685706933332298,0.9999999609447325
221.430705,True,True,552040.7906429092,12.793878726768957,0.056807313748931665,0.9999987182006379
224.007,True,True,37583.877998660304,3.566376504926527,0.05663590320855631,0.9999998937214117
224.983324,True,True,231486.13984051577,11.099084719701223,0.05657461004070195,0.9999985379948184
227.421444,True,True,114027.58597916554,0.9801563652600541,0.056430487496361426,0.9999971994629369
229.337413,True,True,65306.71817000245,4.5320125355630125,0.056326838221889594,0.9999997489074498
231.250188,True,True,247669.03089980973,11.999928898687171,0.05623394911895728,0.9999993083421879
231.987235,True,True,65382.296683667264,5.880094920296396,0.05619881431525737,0.9999974380575739
233.693404,True,True,1036044.2177681967,19.20179359914398,0.056124917198631774,0.999999426090467
236.52423,True,True,550982.6408625045,12.759129519457344,0.05601614376064011,0.9999985814303293
17.5783825,False,True,14772215.320791563,14.372390714534331,2.8036095189875327,0.9999989413331252
23.016449,False,True,2075117.1451303435,13.509712096126945,1.7056120289696635,0.9999989350227112
27.717867,False,True,18419314.123487264,8.225253994020854,3.1098147089201897,0.9999989204052211
31.679969,False,True,11024035.40310391,7.99757258056477,1.1527833690916405,0.9999989724284875
35.26062,False,True,7119994.695025007,2.161953605506195,2.718690460860376,0.9999989175482246
39.2524485,False,True,3819638.840710149,6.488063998577597,1.9740402356943534,0.9999989637847948
42.122896,False,True,188039.29083445756,15.804189893886543,1.2019362648143994,0.9999989084748899
45.6661115,False,True,2330816.7833317155,2.0200247085988554,3.5344156711727126,0.9999989251714517
48.889491,False,True,5427955.316338486,11.240629271158651,0.8496688430242867,0.9999990019605868
51.3720765,False,True,3562514.1140701976,4.989369253379643,1.981283603620816,0.9999989602549882
54.708284,False,True,3718063.6687830864,4.186501460383407,3.0743315328065535,0.9999989763920057
57.8966455,False,True,3566848.583333117,2.4030280983078356,1.9135383364152,0.9999988592734277
60.089411,False,True,4166227.9934660066,7.296656378719123,0.63582126101541,0.9999989562764033
62.972161,False,True,3005342.639072539,3.266548895750976,4.163198638977356,0.9999990379661287
66.096177,False,True,2852412.121646312,11.570617848788432,1.2234330808984297,0.999998846606866
68.3131055,False,True,4021675.8484969935,5.093412948137255,1.4133084995271876,0.9999989677681012
70.806779,False,True,1736717.435140662,0.6934128150670736,1.997762731717678,0.9999988267644231
73.88592349999999,False,True,3603536.6385989394,3.4044993467957636,3.5765937931118232,0.9999990318962179
76.42476500000001,False,True,1276879.1086839908,7.926408117492344,0.7412155002130173,0.9999988652152273
78.2411075,False,True,1051922.7377315576,4.754848184873595,1.2293503282094176,0.9999990356453335
81.12387799999999,False,True,146672.18080758024,0.8050229113765183,3.9004210497513068,0.9999989230000942
83.822937,False,True,1647936.2290646324,3.838748041978812,1.244284564600319,0.9999985936197839
86.08038350000001,False,True,1758005.9318179933,4.187035463885241,2.0191326645444896,0.9999992332939354
88.1171925,False,True,2005454.659267534,6.106650651152567,0.6820230498067408,0.9999989079375338
90.65050500000001,False,True,282536.3427295241,0.5779136425687614,4.556356731151399,0.9999988520560238
93.57162149999999,False,True,1231324.0334319551,4.293071563349349,1.577272792734617,0.9999989876214712
95.260989,False,True,1471445.8425963738,13.38696810846418,0.4873089475571742,0.9999990160191761
97.35091399999999,False,True,34457.34531410449,2.60182006612264,2.9280892429508096,0.9999989161524975
100.0745225,False,True,633281.8471200417,1.9356813482335198,2.6309441622973018,0.9999989963338161
102.5216945,False,True,1384307.0955153771,3.851766204912565,2.090559545977997,0.9999991891218067
104.58608050000001,False,True,1248718.6743236573,5.180195200807369,1.0409370656076216,0.9999989346896505
106.307617,False,True,1277421.1173847774,3.985784328031094,1.2629905264905246,0.9999990510687524
109.099073,False,True,635737.8452524907,0.6198538746497728,5.237555482002941,0.9999991690348428
111.452097,False,True,1391479.0002836077,7.2087897904749,0.23525293530352806,0.9999989904414842
113.09743950000001,False,True,620559.8523563466,1.8832668798984817,1.8033105248766497,0.9999988225690293
115.27345,False,True,342601.6159951737,3.4830377553585197,1.5829903563057799,0.9999988635957511
117.508731,False,True,352618.9409011544,3.116011709761168,3.1459772323843924,0.9999991195665422
120.0804535,False,True,887941.2058095265,1.3984473460806888,2.7064409198957713,0.9999992209881686
122.158477,False,True,975627.9508803173,4.961333114786304,0.9645627287659226,0.9999991427162553
123.6018235,False,True,1015694.378905276,5.63856426969711,0.7338389309088063,0.9999992795838715
125.8867505,False,True,733277.8140049706,0.9230576284185997,4.543948500451722,0.9999990461457148
128.54769349999998,False,True,1607506.4582240747,3.551078951302688,1.9261147726272445,0.9999992039251527
130.333196,False,True,916018.710512503,4.541785804232368,1.0130142195687268,0.9999990166408329
132.2927125,False,True,9872.798117000606,1.4438723265369766,2.1407440760426675,0.9999989001534216
134.12712299999998,False,True,555484.3078822134,0.4649234032261251,0.7926470608047355,0.9999985646813059
136.4362755,False,True,1959591.25562656,1.7080212076400756,5.121173290788048,0.9999989336689864
138.926125,False,True,823484.5292148358,3.4101162827759874,1.1166692515666248,0.9999990855322927
140.4299575,False,True,618910.585986478,4.641570371466397,0.8019282448193931,0.999998951782895
142.1177765,False,True,280371.5462161521,3.172373892146307,1.8270476930195816,0.9999996472897025
144.55641400000002,False,True,503491.6278297031,0.8900567694904159,4.170034004165901,0.9999990716545782
146.7118735,False,True,786845.636907039,3.5672704517486493,1.2341085071764366,0.9999989282223136
148.73814249999998,False,True,764993.3911978846,1.8085492001572443,2.437149423306038,0.9999984225058476
150.4893885,False,True,545595.2395178307,9.571676757569314,0.41332785810996286,0.999998782176214
151.974975,False,True,609411.1858468995,0.9653440778634169,2.0040835794805676,0.999998585657663
154.568801,False,True,1308238.9416851155,1.4377201983356567,5.011505326005936,0.9999988298332012
156.85525,False,True,213780.76365336982,4.434526402510852,1.0463091140359144,0.9999990204513253
158.2237895,False,True,243714.20087142196,5.168047681425314,0.6667698128183611,0.9999990143626453
160.019476,False,True,95101.40773182514,0.05186104667376234,2.365156440176024,0.9999986260634931
162.1098365,False,True,87205.32946449265,0.527694087897653,2.216172412099396,0.9999990881224632
164.283889,False,True,12518.3370909877,0.11739506470959114,3.445051659399811,0.9999986511281664
166.360754,False,True,189532.80371218442,3.174586141416191,1.4666002630228185,0.9999988018394276
168.139477,False,True,673527.3313094499,3.525167875406687,1.3708974428669074,0.9999992480592513
169.5032455,False,True,243619.79191612027,8.03546904346586,0.38210636927948904,0.9999993469276864
171.66175600000003,False,True,78732.58529868201,0.9445491619033962,5.91986793701412,0.9999989907574094
174.0828635,False,True,176631.1426140259,3.876738371946797,1.0927970945167957,0.9999993474950902
175.59781249999997,False,True,801180.7018999276,3.5818699423595386,1.275298672326881,0.9999981437161461
177.4094205,False,True,926676.698147488,3.043947994704754,1.7388858462290016,0.9999991013108926
179.14694550000002,False,True,115778.03041664918,1.2645118955632166,1.4721751397958616,0.9999989582330516
181.061781,False,True,675217.6357783056,2.119010426551715,3.376507466152865,0.9999996492096224
183.5407725,False,False,-296.9912157335982,1.2635089957468981,3.425097896796491,0.999999084701265
185.236625,False,True,135407.80704086254,7.516407877738994,0.3154125514794695,0.9999990587561295
186.41385250000002,False,True,240212.81173618982,4.042907827145337,1.0828158188599326,0.9999993050691192
188.32254,False,True,1562845.6044949414,2.753495853741183,2.83603222775363,0.999999469305525
190.721407,False,True,1093448.8377235327,1.7582407102978423,4.112717091448905,0.9999987285359134
192.553191,False,True,178932.58809041744,4.806821191027932,0.7585289546206664,0.9999989689618405
194.172561,False,True,17124.097343766494,0.3995401891720984,2.1374580344382923,0.9999992718284407
196.0709385,False,True,734264.062166303,3.5862861476332326,1.2342428785419515,0.9999988464657659
197.4458955,False,True,333479.33266435214,3.1642017531158944,0.8255967719130888,0.9999989229869404
199.6400305,False,True,604503.140846843,1.2108882024224747,6.0859566110451375,0.999998490428332
201.87917249999998,False,True,91354.61959345493,3.347270772835475,0.9044101285382256,0.999999257824916
203.3416325,False,True,564712.158314803,3.2931527354132513,1.2184221251696925,0.9999983960623005
204.79218400000002,False,True,437542.0550134593,4.52466805800078,0.8516484835833554,0.9999995117482577
206.65047750000002,False,True,937100.4181905969,1.8262172864158541,3.718466809772198,0.9999992602269813
208.74138349999998,False,True,484749.6625374336,1.8127308687582164,2.1036515475511237,0.999999567117251
210.6336855,False,True,3097.96014896404,0.25911433983172305,2.768054426067762,1.0000000412698145
212.5193905,False,True,258705.34362240264,3.0300700735008674,1.4361344331653103,0.9999986751930441
213.94748149999998,False,True,179051.2750934981,0.1815971609198108,0.7514095165513399,0.9999986813409876
215.358291,False,True,76641.29666400723,0.589699691161405,1.567511635020198,0.9999983123036785
217.61856699999998,False,True,1328260.390764386,1.798727006289101,5.713947381312644,0.999999900527926
219.891257,False,True,733971.1126791765,3.521810843959416,1.401380233879825,0.9999999228140201
221.0728115,False,True,312376.1360979446,6.611648462390151,0.3215003299798138,0.9999980944376937
222.7188525,False,True,412878.41778990923,1.7450701601681715,2.761884344004374,0.9999990942945993
224.495162,False,True,473083.9630657426,4.5025095970208096,0.672939291157555,0.9999989443977221
226.202384,False,True,45429.10786015339,1.0990658476123238,3.8925577047818942,0.9999988289124224
228.37942850000002,False,True,15805.365401125868,0.4494507045427198,2.7457579079630623,0.9999983345060841
230.2938005,False,True,27611.476224874903,2.616479768308144,1.6286353932363014,0.9999991029600096
231.61871150000002,False,True,16017.42129391083,7.294995221840405,0.23000245408714787,0.9999985164996873
232.8403195,False,True,173083.63815274055,2.5065900722820444,1.428357140750286,0.9999994636208432
235.108817,False,True,587687.6357812576,1.3544664432606905,5.5987766596928505,0.9999987478855343
