T,rho2,rho4,is_zero
14.134725,0.9999997902147558,0.9999989433210029,True
21.02204,0.9999997909962076,0.9999989465442742,True
25.010858,0.9999997926420889,0.9999989494854131,True
30.424876,0.9999997874290484,0.9999989390557906,True
32.935062,0.9999997901826551,0.9999989392804063,True
37.586178,0.9999997708607603,0.9999989237549001,True
40.918719,0.999999817054596,0.999998979639963,True
43.327073,0.9999997896540466,0.9999989546714382,True
48.00515,0.9999997517938329,0.99999889096703,True
49.773832,0.9999997764698093,0.9999989172452053,True
52.970321,0.9999997879213846,0.9999989605782391,True
56.446247,0.999999799514836,0.9999989739734597,True
59.347044,0.999999831359318,0.9999990145909258,True
60.831778,0.9999997956978748,0.9999989307321556,True
65.112544,0.9999997702875506,0.9999988629512172,True
67.07981,0.9999997748000554,0.9999989014336079,True
69.546401,0.9999998208755608,0.9999989585378997,True
72.067157,0.9999997474871193,0.9999989364390914,True
75.70469,0.9999998416396398,0.9999990517632653,True
77.14484,0.999999724522044,0.9999988481928036,True
79.337375,0.9999997802745452,0.9999989414316659,True
82.910381,0.9999997188622696,0.9999988303404737,True
84.735493,0.9999996924704371,0.9999988085842311,True
87.425274,0.9999997851371741,0.9999989097275718,True
88.809111,0.9999997131778937,0.9999988367554044,True
92.491899,0.9999997796325722,0.9999989181361816,True
94.651344,0.9999998525732287,0.9999990144431912,True
95.870634,0.9999997560292262,0.9999989598747552,True
98.831194,0.9999997332631728,0.9999989570634408,True
101.317851,0.9999996538521904,0.9999987895750917,True
103.725538,1.000000003841524,0.999999274282574,True
105.446623,0.9999999741481138,0.9999991990599713,True
107.168611,0.999999795197907,0.9999988977590025,True
111.029535,0.9999996991506698,0.9999988615882267,True
111.874659,1.000000052250212,0.9999992021210493,True
114.32022,0.9999997860026343,0.9999989835969519,True
116.22668,0.9999995365089887,0.9999986022155598,True
118.790782,0.9999996928441551,0.9999987600720244,True
121.370125,0.9999998131833139,0.9999990828311828,True
122.946829,0.9999996681370313,0.9999987077204013,True
124.256818,1.0000000750318492,0.9999992157533634,True
127.516683,0.9999995299345009,0.9999987521993731,True
129.578704,0.9999998964096986,0.9999990792665734,True
131.087688,0.9999999141785466,0.9999989184747051,True
133.497737,0.9999994881578393,0.9999985837602563,True
134.756509,0.9999998029094289,0.9999990653210424,True
138.116042,0.9999997154132055,0.9999987465384046,True
139.736208,0.9999998990302581,0.9999991062198752,True
141.123707,1.0000000913987197,0.9999992193137258,True
143.111846,1.000000136770218,0.9999993876935507,True
146.000982,0.9999995506201804,0.9999986484500912,True
147.422765,0.9999997006445815,0.9999988499262727,True
150.05352,0.9999998392141161,0.9999990147840041,True
150.925257,0.9999992998991227,0.99999833321097,True
153.024693,0.9999997858218009,0.9999988567208651,True
156.112909,0.9999995597798161,0.9999987803254445,True
157.597591,0.9999994532840404,0.9999986373019183,True
158.849988,0.9999990467205999,0.9999982920923538,True
161.188964,0.9999996328975116,0.9999985373282627,True
163.030709,1.0000004162103133,0.9999994144221762,True
165.537069,1.0000001354509984,0.9999994967631842,True
167.184439,1.0000003421484538,0.9999995100772546,True
169.094515,0.9999997820835375,0.9999991358775854,True
169.911976,0.9999988507215377,0.9999979297003516,True
173.411536,0.9999998236665149,0.9999991231062703,True
174.754191,1.000000424307018,0.9999995660168315,True
176.441434,1.000000501838403,0.999999857132822,True
178.377407,1.0000005803119103,0.9999996990345077,True
179.916484,0.9999999852203446,0.9999992425636652,True
182.207078,0.9999992484239985,0.9999983152008288,True
184.874467,0.9999999582856498,0.9999992312657057,True
185.598783,1.0000002515794197,0.9999994187902781,True
187.228922,0.9999996319364617,0.9999990430539445,True
189.416158,1.0000000022154492,0.999999487784654,True
192.026656,0.9999991548447726,0.9999979509497382,True
193.079726,0.9999997863594114,0.9999988169010332,True
195.265396,0.9999993191088478,0.999998372113921,True
196.876481,1.00000003609587,0.9999992827171444,True
198.01531,0.9999999840916941,0.9999992104757899,True
201.264751,0.9999996376316218,0.9999987822556987,True
202.493594,0.9999999633926181,0.9999992211808935,True
204.189671,1.000000289502464,0.9999990670325156,True
205.394697,1.000000748706598,0.9999998457573587,True
207.906258,0.9999989961545401,0.9999982836473237,True
209.576509,0.9999987139843537,0.9999973876973741,True
211.690862,0.9999998465173561,0.9999988673114177,True
