T,sigma,abs_psi,is_zero
14.134725,0.1,281.4693471020344,True
14.134725,0.11,256.73644562179044,True
14.134725,0.12000000000000001,234.17778966323644,True
14.134725,0.13,213.60218387522968,True
14.134725,0.14,194.83524560675016,True
14.134725,0.15000000000000002,177.7179265615825,True
14.134725,0.16,162.1051644375014,True
14.134725,0.17,147.864653121583,True
14.134725,0.18,134.87572101801032,True
14.134725,0.19,123.02830800115025,True
14.134725,0.2,112.2220323225336,True
14.134725,0.21000000000000002,102.36533956273604,True
14.134725,0.22,93.374726414501,True
14.134725,0.23,85.1740327176658,True
14.134725,0.24000000000000002,77.69379574490627,True
14.134725,0.25,70.8706612649219,True
14.134725,0.26,64.64684639090106,True
14.134725,0.27,58.969649661021265,True
14.134725,0.28,53.79100419806178,True
14.134725,0.29000000000000004,49.06707016033946,True
14.134725,0.30000000000000004,44.75786302920494,True
14.134725,0.31,40.82691458208939,True
14.134725,0.32,37.240963677135184,True
14.134725,0.33,33.969674228133066,True
14.134725,0.33999999999999997,30.985377978959946,True
14.134725,0.35,28.262839896920674,True
14.134725,0.36,25.7790441961254,True
14.134725,0.37,23.512999176904327,True
14.134725,0.38,21.44555922675889,True
14.134725,0.39,19.55926247382111,True
14.134725,0.4,17.838182716476638,True
14.134725,0.41000000000000003,16.26779437382404,True
14.134725,0.42000000000000004,14.834849312020442,True
14.134725,0.43000000000000005,13.52726450223643,True
14.134725,0.44000000000000006,12.33401955776471,True
14.134725,0.45000000000000007,11.245063281574591,True
14.134725,0.45999999999999996,10.251228431989901,True
14.134725,0.47,9.34415398383596,True
14.134725,0.48,8.516214225945113,True
14.134725,0.49,7.760454093865915,True
14.134725,0.5,7.070530189482263,True
14.134725,0.51,6.4406569874610335,True
14.134725,0.52,5.865557772421258,True
14.134725,0.53,5.34041989082473,True
14.134725,0.54,4.8608539381700595,True
14.134725,0.55,4.422856535436675,True
14.134725,0.56,4.022776379157865,True
14.134725,0.5700000000000001,3.6572832772581223,True
14.134725,0.58,3.323339908107624,True
14.134725,0.59,3.018176063338412,True
14.134725,0.6,2.739265156030313,True
14.134725,0.61,2.4843027950879764,True
