T,k,curvature,is_zero
14.134725,0,2400.467549959782,True
14.134725,1,65.8996898379753,True
14.134725,2,813306.7437926077,True
14.134725,3,890.1153551052453,True
14.134725,4,0.027693758397617785,True
14.134725,5,14.123674230148708,True
14.134725,6,12573083.101786867,True
14.134725,7,8838.087730880789,True
14.134725,8,9318646.16750951,True
21.02204,0,1618.7865377661496,True
21.02204,1,44.90666626046917,True
21.02204,2,546809.3974351364,True
21.02204,3,1010.561578412738,True
21.02204,4,0.9099141440316316,True
21.02204,5,19.364419046041803,True
21.02204,6,15455685.900327943,True
21.02204,7,5944.558398468076,True
21.02204,8,4271239.033967618,True
25.010858,0,1363.950662413998,True
25.010858,1,38.164529099821536,True
25.010858,2,460011.7215663225,True
25.010858,3,894.9312735298424,True
25.010858,4,1.2801634419190577,True
25.010858,5,23.33498136941614,True
25.010858,6,12505142.632527025,True
25.010858,7,4996.914405947439,True
25.010858,8,3051115.5936540486,True
30.424876,0,1113.606147551569,True
30.424876,1,30.433026719328446,True
30.424876,2,377904.2829444221,True
30.424876,3,773.882530156233,True
30.424876,4,6.663805862672234,True
30.424876,5,2.8445142685740166,True
30.424876,6,9078760.08217732,True
30.424876,7,4107.995184465637,True
30.424876,8,1998182.5146280143,True
32.935062,0,1025.6627087721563,True
32.935062,1,26.9900789711516,True
32.935062,2,349100.5943957343,True
32.935062,3,464.3299648714832,True
32.935062,4,4.912925938294066,True
32.935062,5,16.811792047377594,True
32.935062,6,3303680.1975603714,True
32.935062,7,3794.9740940749393,True
32.935062,8,1637587.9313005637,True
37.586178,0,899.6964246544956,True
37.586178,1,23.944158891057626,True
37.586178,2,304907.2625697425,True
37.586178,3,616.9856271740567,True
37.586178,4,11.10519888269934,True
37.586178,5,10.578629217050661,True
37.586178,6,5097975.8663508035,True
37.586178,7,3325.453019586175,True
37.586178,8,1270555.812645412,True
40.918719,0,833.8529765934925,True
40.918719,1,22.996730723974128,True
40.918719,2,279369.5683591531,True
40.918719,3,273.62307706604565,True
40.918719,4,9.870637884823452,True
40.918719,5,7.192318296489475,True
40.918719,6,1671282.1823736632,True
40.918719,7,3054.6609692094303,True
40.918719,8,1121992.7562017292,True
43.327073,0,795.877136934465,True
43.327073,1,22.529599808784376,True
43.327073,2,265810.12449312786,True
43.327073,3,254.53860722137748,True
43.327073,4,10.68954389449317,True
43.327073,5,20.114969290219165,True
43.327073,6,1512932.2200914156,True
43.327073,7,2884.8900817211756,True
43.327073,8,1037884.9525330734,True
48.00515,0,694.5908912705535,True
48.00515,1,17.623542538059468,True
48.00515,2,239190.94522940472,True
48.00515,3,490.77363255389184,True
48.00515,4,0.34179300500980503,True
48.00515,5,24.54669019158473,True
48.00515,6,3101044.690619068,True
48.00515,7,2603.791798769587,True
48.00515,8,734203.8173029905,True
49.773832,0,675.2376208503063,True
49.773832,1,18.200989433681563,True
49.773832,2,232076.7455542934,True
49.773832,3,322.67789584539855,True
49.773832,4,11.069249672424064,True
49.773832,5,4.792366237182932,True
49.773832,6,1867435.6481886902,True
49.773832,7,2511.276533968112,True
49.773832,8,729361.4364104455,True
52.970321,0,660.5873480479789,True
52.970321,1,19.670125610876028,True
52.970321,2,218611.30535427385,True
52.970321,3,453.9954888350478,True
52.970321,4,8.985256938487396,True
52.970321,5,39.3760921424402,True
52.970321,6,3560554.876240949,True
52.970321,7,2359.748528447949,True
52.970321,8,741867.1554897602,True
56.446247,0,619.5116314197367,True
56.446247,1,18.528621561645693,True
56.446247,2,204582.88957395038,True
56.446247,3,69.26386731583786,True
56.446247,4,9.266198963686634,True
56.446247,5,38.44733578173276,True
56.446247,6,122037.4373118995,True
56.446247,7,2214.4490669817374,True
56.446247,8,655658.4183920326,True
59.347044,0,581.0035375132237,True
59.347044,1,16.180267410891116,True
59.347044,2,189825.8768171858,True
59.347044,3,103.6096363194906,True
59.347044,4,12.784075553717855,True
59.347044,5,9.249634458363687,True
59.347044,6,493075.9692771881,True
59.347044,7,2106.217700239075,True
59.347044,8,543718.5339833439,True
60.831778,0,549.3966103788405,True
60.831778,1,13.754656516570076,True
60.831778,2,190236.39689085327,True
60.831778,3,344.16519467989804,True
60.831778,4,6.449566308797117,True
60.831778,5,22.67325467375514,True
60.831778,6,1401861.7574061893,True
60.831778,7,2054.8155884742323,True
60.831778,8,451279.1508047257,True
65.112544,0,498.9573347254521,True
65.112544,1,12.166377174239358,True
65.112544,2,181092.98213321122,True
65.112544,3,270.28132725541144,True
65.112544,4,10.24730464926904,True
65.112544,5,29.116719724164852,True
65.112544,6,671279.8191120928,True
65.112544,7,1919.73223064165,True
65.112544,8,372215.34573980747,True
67.07981,0,492.61190266003433,True
67.07981,1,12.277452449192367,True
67.07981,2,172158.7895747352,True
67.07981,3,327.16195637245943,True
67.07981,4,8.960919628542285,True
67.07981,5,22.66990675181546,True
67.07981,6,1401673.9829353893,True
67.07981,7,1863.4354790534865,True
67.07981,8,364845.0050651619,True
69.546401,0,488.02814614197496,True
69.546401,1,13.562484739176032,True
69.546401,2,168385.8746736449,True
69.546401,3,282.8440487158443,True
69.546401,4,24.584314228803805,True
69.546401,5,2.768337425962386,True
69.546401,6,1523948.6406175713,True
69.546401,7,1797.3460875644225,True
69.546401,8,385045.0418252057,True
72.067157,0,499.63425895117587,True
72.067157,1,15.621053393881809,True
72.067157,2,162093.52260451586,True
72.067157,3,347.719039658648,True
72.067157,4,14.347145427251462,True
72.067157,5,50.29415981461227,True
72.067157,6,2294520.588333805,True
72.067157,7,1734.48383772691,True
72.067157,8,432695.89150412864,True
75.70469,0,467.9150069153001,True
75.70469,1,13.807208287836296,True
75.70469,2,147842.45555375225,True
75.70469,3,181.71647086249152,True
75.70469,4,11.628524543283447,True
75.70469,5,26.958973498025784,True
75.70469,6,773516.0051352035,True
75.70469,7,1651.1466046678388,True
75.70469,8,364279.6586695919,True
77.14484,0,426.25414817420943,True
77.14484,1,10.841146272797593,True
77.14484,2,149464.66921592667,True
77.14484,3,281.2830893458478,True
77.14484,4,10.546971096481172,True
77.14484,5,16.509042910506366,True
77.14484,6,931864.1009582964,True
77.14484,7,1620.3258165037314,True
77.14484,8,280096.433365645,True
79.337375,0,421.4386676253318,True
79.337375,1,10.534242188088191,True
