index,T,DEF_1_val,DEF_1_status,DEF_2_val,DEF_2_status,DEF_3_val,DEF_3_status,DEF_4_val,DEF_4_status,DEF_5_val,DEF_5_status,DEF_6_val,DEF_6_status,DEF_7_val,DEF_7_status,DEF_8_val,DEF_8_status,DEF_9_val,DEF_9_status,DEF_10_val,DEF_10_status,pss_in_window,pss_z_score,pss_A_val,pss_A_status,pss_B_val,pss_B_status,pss_C_val,pss_C_status,prime_pass_count,prime_ok,pss_ok,joint_pass
1,14.134725142,s=2.9033 ρ=0.0006,PASS,N(T)=0.4493,PASS,winding=0.0000 tight=10.2180,PASS,n=14 σ(n)=24 ≤ 33.71,PASS,|Z|=0.115200,PASS,pgc=-2.728388,PASS,E=6.011633 fc=69.2857,PASS,E=6.011633 M2=29.4032,PASS,C_φ=0.00692959,PASS,N_T=0.4493 σ_bnd=0.877553,PASS,True,5.903,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
2,21.022039639,s=2.9033 ρ=0.0006,PASS,N(T)=1.5699,PASS,winding=0.0000 tight=10.2180,PASS,n=21 σ(n)=32 ≤ 53.18,PASS,|Z|=0.173867,PASS,pgc=-2.728388,PASS,E=3.448835 fc=61.1527,PASS,E=3.448835 M2=29.4032,PASS,C_φ=0.00611663,PASS,N_T=1.5699 σ_bnd=0.828346,PASS,True,2.9051,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
3,25.01085758,s=2.9033 ρ=0.0006,PASS,N(T)=2.3933,PASS,winding=0.0000 tight=10.2180,PASS,n=25 σ(n)=31 ≤ 64.64,PASS,|Z|=0.189042,PASS,pgc=-2.728388,PASS,E=1.967686 fc=33.0825,PASS,E=1.967686 M2=29.4032,PASS,C_φ=0.00330882,PASS,N_T=2.3933 σ_bnd=0.810626,PASS,True,1.9404,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
4,30.424876126,s=2.9033 ρ=0.0006,PASS,N(T)=3.6708,PASS,winding=0.0000 tight=10.2180,PASS,n=30 σ(n)=72 ≤ 79.24,PASS,|Z|=0.171832,PASS,pgc=-2.728388,PASS,E=3.467582 fc=46.2712,PASS,E=3.467582 M2=29.4032,PASS,C_φ=0.00462796,PASS,N_T=3.6708 σ_bnd=0.792803,PASS,True,1.0492,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
5,32.935061588,s=2.9033 ρ=0.0006,PASS,N(T)=4.3171,PASS,winding=0.0000 tight=10.2180,PASS,n=32 σ(n)=63 ≤ 85.15,PASS,|Z|=0.213266,PASS,pgc=-2.728388,PASS,E=2.881760 fc=37.1419,PASS,E=2.881760 M2=29.4032,PASS,C_φ=0.00371484,PASS,N_T=4.3171 σ_bnd=0.786161,PASS,True,0.7454,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
6,37.586178159,s=2.9033 ρ=0.0006,PASS,N(T)=5.5934,PASS,winding=0.0000 tight=10.2180,PASS,n=37 σ(n)=38 ≤ 100.08,PASS,|Z|=0.219550,PASS,pgc=-2.728388,PASS,E=2.003109 fc=64.9080,PASS,E=2.003109 M2=29.4032,PASS,C_φ=0.00649293,PASS,N_T=5.5934 σ_bnd=0.775738,PASS,True,0.3074,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
7,40.918719012,s=2.9033 ρ=0.0006,PASS,N(T)=6.5650,PASS,winding=0.0000 tight=10.2180,PASS,n=40 σ(n)=90 ≤ 109.14,PASS,|Z|=0.194969,PASS,pgc=-2.728388,PASS,E=3.011545 fc=52.6645,PASS,E=3.011545 M2=29.4032,PASS,C_φ=0.00526766,PASS,N_T=6.5650 σ_bnd=0.769426,PASS,True,0.0452,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
8,43.327073281,s=2.9033 ρ=0.0006,PASS,N(T)=7.2942,PASS,winding=0.0000 tight=10.2180,PASS,n=43 σ(n)=44 ≤ 118.26,PASS,|Z|=0.228856,PASS,pgc=-2.728388,PASS,E=2.581229 fc=59.2944,PASS,E=2.581229 M2=29.4032,PASS,C_φ=0.00593118,PASS,N_T=7.2942 σ_bnd=0.765338,PASS,True,-0.0833,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
9,48.005150881,s=2.9033 ρ=0.0006,PASS,N(T)=8.7707,PASS,winding=0.0000 tight=10.2180,PASS,n=48 σ(n)=124 ≤ 133.59,PASS,|Z|=0.175998,PASS,pgc=-2.728388,PASS,E=4.029824 fc=70.2580,PASS,E=4.029824 M2=29.4032,PASS,C_φ=0.00702775,PASS,N_T=8.7707 σ_bnd=0.758311,PASS,True,-0.3281,E(½)=0.002675,PASS,E(½)=0.002675>E(0.6)=0.000000,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
