index,T,PROOF_1_val,PROOF_1_status,PROOF_2_val,PROOF_2_status,PROOF_3_val,PROOF_3_status,PROOF_4_val,PROOF_4_status,PROOF_5_val,PROOF_5_status,PROOF_6_val,PROOF_6_status,PROOF_7_val,PROOF_7_status,PROOF_8_val,PROOF_8_status,PROOF_9_val,PROOF_9_status,PROOF_10_val,PROOF_10_status,pss_in_window,pss_z_score,pss_A_val,pss_A_status,pss_B_val,pss_B_status,pss_C_val,pss_C_status,prime_pass_count,prime_ok,pss_ok,joint_pass
1,14.134725142,herr=0.271817,PASS,C_phi=0.001143,PASS,c9d=0.172509,PASS,li1=45891.6721,PASS,N_λ=18.537038,PASS,C_φ=0.001143,PASS,θ_RS=-1.7287 |Z|=0.0000,PASS,Q9=349.5386 R_abs=64.0414,PASS,Q6=343.6218 Q9=349.5386,PASS,N_φ=0.525026,PASS,True,+5.903,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+5.903σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
2,21.022039639,herr=0.215983,PASS,C_phi=0.000059,PASS,c9d=0.108941,PASS,li1=45891.6721,PASS,N_λ=3.869039,PASS,C_φ=0.000059,PASS,θ_RS=1.7914 |Z|=0.0000,PASS,Q9=19.0140 R_abs=11.7238,PASS,Q6=14.9695 Q9=19.0140,PASS,N_φ=0.141994,PASS,True,+2.905,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+2.905σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
3,25.01085758,herr=1.926858,PASS,C_phi=0.000023,PASS,c9d=0.005894,PASS,li1=45891.6721,PASS,N_λ=1.937617,PASS,C_φ=0.000023,PASS,θ_RS=4.3781 |Z|=0.0000,PASS,Q9=6.6649 R_abs=5.5069,PASS,Q6=3.7544 Q9=6.6649,PASS,N_φ=0.072418,PASS,True,+1.940,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+1.940σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
4,30.424876126,herr=1.835881,PASS,C_phi=0.000009,PASS,c9d=0.023697,PASS,li1=45891.6721,PASS,N_λ=0.755766,PASS,C_φ=0.000009,PASS,θ_RS=8.3914 |Z|=0.0000,PASS,Q9=2.2458 R_abs=2.1720,PASS,Q6=0.5712 Q9=2.2458,PASS,N_φ=0.026076,PASS,True,+1.049,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+1.049σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
5,32.935061588,herr=1.887114,PASS,C_phi=0.000006,PASS,c9d=0.026622,PASS,li1=45891.6721,PASS,N_λ=0.461689,PASS,C_φ=0.000006,PASS,θ_RS=10.4215 |Z|=0.0000,PASS,Q9=1.4691 R_abs=1.4535,PASS,Q6=0.2132 Q9=1.4691,PASS,N_φ=0.015087,PASS,True,+0.745,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+0.745σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
6,37.586178159,herr=0.584337,PASS,C_phi=0.000003,PASS,c9d=0.002468,PASS,li1=45891.6721,PASS,N_λ=0.162720,PASS,C_φ=0.000003,PASS,θ_RS=14.4311 |Z|=0.0000,PASS,Q9=0.7431 R_abs=0.7427,PASS,Q6=0.0265 Q9=0.7431,PASS,N_φ=0.004789,PASS,True,+0.307,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+0.307σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
7,40.918719012,herr=0.008666,PASS,C_phi=0.000002,PASS,c9d=0.017914,PASS,li1=45891.6721,PASS,N_λ=0.069253,PASS,C_φ=0.000002,PASS,θ_RS=17.4834 |Z|=0.0000,PASS,Q9=0.4829 R_abs=0.4829,PASS,Q6=0.0048 Q9=0.4829,PASS,N_φ=0.001890,PASS,True,+0.045,E(½)=0.002675>E(0.6)=0.000000,PASS,z=+0.045σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
8,43.327073281,herr=0.011961,PASS,C_phi=0.000001,PASS,c9d=0.005492,PASS,li1=45891.6721,PASS,N_λ=0.035321,PASS,C_φ=0.000001,PASS,θ_RS=19.7744 |Z|=0.0000,PASS,Q9=0.3610 R_abs=0.3610,PASS,Q6=0.0012 Q9=0.3610,PASS,N_φ=0.000913,PASS,True,-0.083,E(½)=0.002675>E(0.6)=0.000000,PASS,z=-0.083σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
9,48.005150881,herr=0.000546,PASS,C_phi=0.000000,PASS,c9d=0.008800,PASS,li1=45891.6721,PASS,N_λ=0.008353,PASS,C_φ=0.000000,PASS,θ_RS=24.4127 |Z|=0.0000,PASS,Q9=0.2141 R_abs=0.2141,PASS,Q6=0.0001 Q9=0.2141,PASS,N_φ=0.000194,PASS,True,-0.328,E(½)=0.002675>E(0.6)=0.000000,PASS,z=-0.328σ,PASS,σ*=0.5000,PASS,10,PASS,PASS,PASS
