T,h,C_phi,C_phi_nonneg,delta2_norm,delta2_Fk_min,delta2_Fk_max,proj_norm,psi_over_eT,in_cheb_band,BV_trailing_bound
2.0,0.5,1.8615080529433214,1,1.8615080529433214,-0.02207669894677622,1.567940289421701,28.375950232215295,0.817459582172013,0,0.1353352832366127
2.1470588235294117,0.5,2.09205421032393,1,2.09205421032393,-0.024542546834798173,1.7901639560098097,30.182349420356314,0.7866449107131354,0,0.11682726255605722
2.2941176470588234,0.5,2.354884566949451,1,2.354884566949451,-0.02701646693233073,2.0385974110604295,32.16729521602774,0.7898612899756321,0,0.10085033961527574
2.4411764705882355,0.5,2.654965130309151,1,2.654965130309151,-0.029494099758281322,2.3145868542536903,34.353145559061375,0.8905992379461632,0,0.08705836957907152
2.588235294117647,0.5,2.9978754000809573,1,2.9978754000809573,-0.03197100549109777,2.619004991009273,36.76543192905225,0.961566206041719,1,0.07515254527331507
2.735294117647059,0.5,3.3897580984227034,1,3.3897580984227034,-0.0344426747603066,2.952068233210486,39.43334565004413,0.8300654857452339,0,0.06487492343775071
2.8823529411764706,0.5,3.8372256809036145,1,3.8372256809036145,-0.0369045398329817,3.313127240452122,42.3902765860737,0.9140345747826433,0,0.056002836307773696
3.0294117647058822,0.5,4.347229130302793,1,4.347229130302793,-0.03935198616190405,3.700434530975805,45.6743958368021,0.9313802850352055,1,0.048344067450417576
3.1764705882352944,0.5,4.9269039418366845,1,4.9269039418366845,-0.041780364258208635,4.110895796132382,49.32926998208452,0.934860294556053,1,0.04173268733758947
3.3235294117647056,0.5,5.583417556158523,1,5.583417556158523,-0.04418500185055407,4.539814916062134,53.404491590413365,0.904570539292196,0,0.036025458432996586
3.4705882352941178,0.5,6.323848676820219,1,6.323848676820219,-0.0465612162911242,5.2288256892466265,57.956310144876674,1.0139316402299594,1,0.031098731907891756
3.6176470588235294,0.5,7.155127641761055,1,7.155127641761055,-0.062196243811975194,6.05396854336972,63.04825013298888,0.9722074578270267,1,0.026845768752053037
3.764705882352941,0.5,8.084053300145058,1,8.084053300145058,-0.0867015721480584,7.005536298362728,68.75170910667457,1.0124750380400078,1,0.023174427241061245
3.9117647058823533,0.5,9.117370773113777,1,9.117370773113777,-0.11166724449945775,8.100464416925483,75.14653729040147,0.9899632898948324,1,0.020005166658159858
4.0588235294117645,0.5,10.261842408009159,1,10.261842408009159,-0.13699155946842723,9.356209599556465,82.32160945728697,0.9231433327055726,1,0.01726932402073141
4.205882352941177,0.5,11.524170287466802,1,11.524170287466802,-0.16256761501842476,10.789591742990766,90.37540495229615,0.9919821452236602,1,0.014907626476151672
4.352941176470589,0.5,12.910536674763762,1,12.910536674763762,-0.18828389769650755,12.414914184473872,99.41660634680639,0.9663913939427157,1,0.012868907137631313
4.5,0.5,14.425430027522935,1,14.425430027522935,-0.21402492723392186,14.241122941616283,109.56470261797801,0.9939285884611984,1,0.011108996538242306
4.647058823529411,0.5,16.069340777724307,1,16.069340777724307,-0.2396719521484698,16.267769410970857,120.95052894759134,0.9905763879561443,1,0.009589765686147823
4.794117647058824,0.5,17.83487910326909,1,17.83487910326909,-0.265103691304887,18.47960112119526,133.71658240814284,0.9717625264559521,1,0.008278299988539628
4.9411764705882355,0.5,19.700937201324564,1,19.700937201324564,-0.2901971157650962,20.839749520811353,148.0168141801494,1.0123361966779791,1,0.007146186147096958
5.088235294117647,0.5,21.624750349515864,1,21.624750349515864,-0.33454807064018155,23.281737489362314,164.01541537157615,0.9669036998347424,1,0.006168896575342561
5.235294117647059,0.5,23.53215462675564,1,23.53215462675564,-0.5680112673019266,25.70090469588439,181.88389968879278,0.9854623425232251,1,0.005325258001113306
5.382352941176471,0.5,25.307006406944538,1,25.307006406944538,-0.8087849858893037,27.94633300660064,201.79557747426566,0.9722534604570263,1,0.004596992741258031
5.529411764705882,0.5,26.78155776971306,1,26.78155776971306,-1.0544597629559576,29.81489505949287,223.91637248300256,0.9952550298164244,1,0.003968322710141197
5.676470588235294,0.5,27.73041232430478,1,27.73041232430478,-1.302428046246206,31.049547122804142,248.39093881151013,1.0056003859559113,1,0.0034256275826776298
5.8235294117647065,0.5,27.871264920535168,1,27.871264920535168,-1.5499199000681756,31.34429536096235,275.3232841696119,0.9871742927375667,1,0.0029571497058978454
5.970588235294118,0.5,26.87566286178935,1,26.87566286178935,-1.794043921930438,30.358204541872453,304.7516749209477,1.0002830311540885,1,0.0025527393658642925
6.11764705882353,0.5,24.39227136599402,1,24.39227136599402,-2.340885547376274,27.740216323644177,336.618515813465,0.9967943308425298,1,0.0022036348910697777
6.264705882352941,0.5,20.083485865798252,1,20.083485865798252,-4.340485924853056,23.165284135533284,370.7371093893742,1.003094396985653,1,0.001902272828192155
6.411764705882353,0.5,13.673826869631057,1,13.673826869631057,-6.429211366213735,16.38041565671972,406.7585560328579,0.9963005825150294,1,0.001642124077605918
6.5588235294117645,0.5,5.005720890931798,1,5.005720890931798,-8.555881879060564,7.256816660484901,444.14331776811076,1.000163725894048,1,0.0014175524384774
6.705882352941177,0.5,-5.9044731684065255,0,-5.9044731684065255,-10.66320931810202,-3.956562425755372e-05,482.1428480241577,0.9864467805271265,1,0.001223692498780507
6.852941176470589,0.5,-18.819390981444258,0,-18.819390981444258,-17.59777021349487,-3.9571486297962366e-05,519.796897810697,0.9910652414109018,1,0.0010563442246835475
7.0,0.5,-33.25253414572171,0,-33.25253414572171,-32.55038324522911,-3.957618583672051e-05,555.9514192298957,1.0046177867675863,1,0.0009118819655545162
