T,T_label,is_near_zero,sigma,sigma_half,radius_initial,radius_final,radius_ratio,tightness,winding_number,inward_fraction,min_radius,n_primes
14.134725,gamma_1,True,0.4,False,0.7578582832551991,3.0420243526052504,4.0139751980264196,-3.0139751980264196,0.05486567212996401,0.4,0.7578582832551991,35
14.134725,gamma_1,True,0.45,False,0.7320428479728127,2.784829463949662,3.804189155951002,-2.804189155951002,0.05260471174824878,0.4,0.7320428479728127,35
14.134725,gamma_1,True,0.5,True,0.7071067811865476,2.555742777226851,3.614366097491292,-2.614366097491292,0.05055904427773565,0.4,0.7071067811865476,35
14.134725,gamma_1,True,0.55,False,0.6830201283771977,2.3511306745704226,3.442256789937545,-2.442256789937545,0.04870425281753187,0.4,0.6830201283771977,35
14.134725,gamma_1,True,0.6,False,0.6597539553864471,2.167883436635988,3.285896839172662,-2.285896839172662,0.047018203000687445,0.4,0.6597539553864471,35
17.5783825,mid_1_2,False,0.4,False,0.7578582832551991,0.6504748881852151,0.8583067607195052,0.14169323928049482,-0.020687496325831053,0.4857142857142857,0.06296828803971001,35
17.5783825,mid_1_2,False,0.45,False,0.7320428479728128,0.6069313477612494,0.8290926541280682,0.1709073458719318,-0.0288949954817719,0.4857142857142857,0.06693198484604827,35
17.5783825,mid_1_2,False,0.5,True,0.7071067811865476,0.5755034841084978,0.8138848324192065,0.1861151675807935,-0.03567590780016755,0.45714285714285713,0.14239581010593147,35
17.5783825,mid_1_2,False,0.55,False,0.6830201283771977,0.5524466711290311,0.8088292689727916,0.19117073102720838,-0.041032826286842156,0.42857142857142855,0.2075549056743645,35
17.5783825,mid_1_2,False,0.6,False,0.659753955386447,0.5350766368564069,0.8110245228359244,0.1889754771640756,-0.045089878674863706,0.4,0.26047665680490933,35
21.02204,gamma_2,True,0.4,False,0.7578582832551991,2.9275633308475904,3.862942974342039,-2.862942974342039,-0.16406319335675285,0.34285714285714286,0.6190936876203774,35
21.02204,gamma_2,True,0.45,False,0.7320428479728128,2.5646953425993595,3.503477084301231,-2.503477084301231,-0.16159264940727705,0.34285714285714286,0.5946162463589407,35
21.02204,gamma_2,True,0.5,True,0.7071067811865476,2.2590447456931537,3.194771717366937,-2.194771717366937,-0.15903479496581296,0.34285714285714286,0.5713827774947889,35
21.02204,gamma_2,True,0.55,False,0.6830201283771977,2.000477767451754,2.9288708843833526,-1.9288708843833526,-0.15639901000479492,0.34285714285714286,0.549315730679659,35
21.02204,gamma_2,True,0.6,False,0.6597539553864471,1.7807705294011413,2.699143392566802,-1.699143392566802,-0.15369550005016708,0.34285714285714286,0.5283425571543068,35
23.016449,mid_2_3,False,0.4,False,0.7578582832551991,0.33517237707616654,0.44226260302455717,0.5577373969754429,-0.391651044398893,0.4857142857142857,0.09159772912077398,35
23.016449,mid_2_3,False,0.45,False,0.7320428479728128,0.2779802688404744,0.37973223781949744,0.6202677621805026,-0.37078331724401226,0.4857142857142857,0.10801178258276507,35
23.016449,mid_2_3,False,0.5,True,0.7071067811865476,0.23707460024522736,0.3352741149609804,0.6647258850390196,-0.34891741020140626,0.45714285714285713,0.11942306786307239,35
