sigma,prime_index,prime,z_real,z_imag,radius,angle_rad,step_size,radius_delta
0.4,1,2,-0.7058386389384355,0.2759365747414693,0.7578582832551991,2.768925832619001,0.7578582832551991,0.7578582832551991
0.4,2,3,-1.3398929521793854,0.16096364575793437,1.349526738733129,3.0220338788515764,0.6443940149772542,0.5916684554779298
0.4,3,5,-1.7214436303169538,0.5220245994832086,1.7988545952423218,2.8471585737046703,0.5253055608807534,0.44932785650919294
0.4,4,7,-2.051259458227091,0.20257780104784923,2.061238251741773,3.0431540866815556,0.4591565499594341,0.2623836564994513
0.4,5,11,-2.353071168991523,-0.03356562029952748,2.3533105568975006,-3.127329020432968,0.38321537573562725,0.29207230515572746
0.4,6,13,-2.3078350831468644,0.3220136154144012,2.330192167937174,3.002957117704069,0.35844510923354356,-0.023118388960326364
0.4,7,17,-2.5335351221910862,0.09239094305888099,2.535219182188221,3.105141601730508,0.32197372452461703,0.20502701425104686
0.4,8,19,-2.7528746634986465,0.30856536996041595,2.770113986909491,3.029970146318589,0.30796301275837984,0.23489480472126978
0.4,9,23,-2.483622981320459,0.21421347120487805,2.4928438628579945,3.055555181776422,0.2853046602398198,-0.2772701240514963
0.4,10,29,-2.715241293209715,0.33242497478537825,2.7355148773516524,3.0197696476132068,0.2600403852888841,0.2426710144936579
0.4,11,31,-2.754635081451289,0.5825367412568432,2.8155574025184236,2.933188079483673,0.2531951150387752,0.08004252516677113
0.4,12,37,-2.585916675348678,0.4176710452330874,2.6194301200590293,2.9814580272991127,0.23589531212638193,-0.19612728245939426
0.4,13,41,-2.723661288959769,0.2379886861669703,2.734039032589233,3.054435792668767,0.22640523125235812,0.11460891253020389
0.4,14,43,-2.939238696702037,0.18442241434645432,2.9450188018252215,3.0789298405083736,0.22213276256695122,0.21097976923598827
0.4,15,47,-3.052579951970038,0.36637732604662143,3.0744880400174712,3.0221418542238525,0.21436844459374574,0.12946923819224976
0.4,16,53,-2.86684219146325,0.45148940435694385,2.902176223629502,2.98538895128803,0.2043100133433982,-0.17231181638796933
0.4,17,59,-2.775661222502648,0.27829419301418307,2.789577545072069,3.0416642995905563,0.19573081089255692,-0.11259867855743311
0.4,18,61,-2.773074694909886,0.08517336383261948,2.7743824115388493,3.1108878926763617,0.1931381494908833,-0.01519513353321944
0.4,19,67,-2.9529380587363834,0.03769416546046368,2.953178631380696,3.1288283769408745,0.186024471306991,0.17879621984184668
0.4,20,71,-3.1067849779939793,0.13448038075080568,3.1096941766508057,3.0983336302185083,0.18175930797425954,0.1565155452701097
0.4,21,73,-3.2107274004297763,0.28113073531126676,3.223011779408695,3.0542555686471347,0.1797508099412368,0.11331760275788927
0.4,22,79,-3.1272477685146898,0.43398020721555575,3.1572167214074747,3.0036994952057348,0.17416029974164132,-0.06579505800122032
0.4,23,83,-2.9682207184977534,0.4961657426746316,3.00940437261648,2.9759646807915154,0.17075316529253923,-0.1478123487909948
0.4,24,89,-2.832477838902586,0.40052515015494516,2.8606557122067144,3.001119464588967,0.16605195662293426,-0.14874866040976542
0.4,25,97,-2.873664794566789,0.24547000545846046,2.8841298297948312,3.0563789681212845,0.1604321140349801,0.023474117588116794
0.4,26,101,-2.9902407172718433,0.1390286625355706,2.99347098135874,3.0951319750813786,0.15785976446759006,0.10934115156390867
0.4,27,103,-3.1303891755671995,0.06909830359260684,3.1311516996255015,3.1195228467266567,0.15662645199472844,0.13768071826676165
0.4,28,107,-3.284204915752846,0.08076519381971013,3.2851978548008174,3.1170056011903586,0.15425757114783564,0.15404615517531584
0.4,29,109,-3.4286875795327383,0.13146255294654574,3.4312069189819043,3.103269480241606,0.15311911165941602,0.14600906418108694
0.4,30,113,-3.5286504099824625,0.24454026254572062,3.5371137465277154,3.0724019218084075,0.15092758488664562,0.10590682754581104
0.4,31,127,-3.413444262115955,0.33099617896605665,3.4294547964745745,3.0449264918573355,0.14403847399330405,-0.10765895005314086
0.4,32,131,-3.2741737419606083,0.36002097103502095,3.2939078299383744,3.032074813573956,0.14226284243957513,-0.13554696653620013
0.4,33,137,-3.147014516871386,0.30208140915335546,3.1614796452223635,3.0458960161333306,0.1397371151710626,-0.13242818471601092
0.4,34,139,-3.0349520041023594,0.21996341912481895,3.0429126791543015,3.069242421622862,0.13892937433975247,-0.11856696606806194
0.4,35,149,-3.0408374322643223,0.08496983219657409,3.0420243526052504,3.1136570176145235,0.13512182198447162,-0.0008883265490511327
