k,gamma,mu_abs,sigma_star,eq4_residual_at_half,eq4_residual_at_0_6,E_PSS_half,E_PSS_off,energy_ratio_half_vs_off,pass
1,14.134725142,0.6656591563,0.5,0.0,0.002675,0.002675,2.9085446664400643e-31,9.197039436475586e+27,True
2,21.022039639,0.4517631461,0.5,0.0,0.002675,0.002675,4.392220395181599e-22,6.09031368948279e+18,True
3,25.01085758,0.3829342431,0.5,0.0,0.0026749999999999994,0.002675,3.947911838685767e-19,6775733879838840.0,True
4,30.424876126,0.3193541702,0.5,0.0,0.0026749999999997887,0.002675,2.1125429131676351e-16,12662464669127.09,True
5,32.935061588,0.2976789998,0.5,0.0,0.002674999999998201,0.002675,1.798709945211511e-15,1487176966537.2288,True
6,37.586178159,0.2664253106,0.5,0.0,0.0026749999999605392,0.002675,3.946060054406613e-14,67789135571.1324,True
7,40.918719012,0.2477157867,0.5,0.0,0.0026749999997493583,0.002675,2.506416643199325e-13,10672607075.356339,True
8,43.327073281,0.2385532458,0.5,0.0,0.002674999999380203,0.002675,6.197966028496725e-13,4315932013.342776,True
9,48.005150881,0.2210857067,0.5,0.0,0.002674999996517902,0.002675,3.4820977348985543e-12,768215082.8767395,True
