x,theta_x,psi_x,li_x,theta_over_x,psi_over_x,li_over_x,psi_in_chebyshev_bounds
10.0,5.3471075307174685,7.832014180505469,5.120441185131346,0.5347107530717469,0.7832014180505469,0.5120441185131346,1
30.0,22.59039453011566,28.476498561565812,11.977536408060631,0.7530131510038554,0.9492166187188604,0.39925121360202104,1
50.0,40.960219431352954,49.48538079241837,17.423732500246416,0.819204388627059,0.9897076158483674,0.34847465000492833,1
70.0,57.32361527237508,66.54192381400044,22.317050456393666,0.8189087896053583,0.9505989116285777,0.3188150065199095,1
90.0,79.15367942056054,89.470600250854,26.885397958543695,0.879485326895117,0.9941177805650445,0.2987266439838188,1
110.0,102.34241662082587,112.65933745111934,31.230947166371926,0.9303856056438715,1.0241757950101757,0.28391770151247203,1
130.0,111.9139915259968,126.93139272208269,35.41034529964227,0.8608768578922831,0.9763953286314053,0.2723872715357098,1
150.0,131.64759001410224,146.66499121018813,39.45904103322857,0.8776506000940149,0.9777666080679209,0.26306027355485717,1
170.0,151.932859669489,169.51521022303643,43.40104521240144,0.8937227039381707,0.9971482954296261,0.2553002659553026,1
190.0,167.47203410109336,185.05438465464078,47.25355964166417,0.8814317584268071,0.973970445550741,0.24870294548244298,1
210.0,188.56350627150735,206.14585682505478,51.02943540086018,0.8979214584357493,0.9816469372621656,0.24299731143266753,1
230.0,210.18120819747918,227.7635587510266,54.73859071388314,0.9138313399890399,0.9902763423957679,0.23799387266905714,1
250.0,226.59350713646705,245.2744699786826,58.38888193736169,0.9063740285458682,0.9810978799147304,0.23355552774944674,1
270.0,248.83490157227368,268.20901159504916,61.98666595874754,0.9216107465639766,0.9933667096112931,0.22958024429165755,1
290.0,271.3448394663177,293.5521628331494,65.53717834053347,0.9356718602286817,1.0122488373556875,0.2259902701397706,1
310.0,282.751859822922,304.9591831897537,69.04479625309293,0.9121027736223289,0.9837393006121086,0.22272514920352557,1
330.0,299.9967576995186,322.2040810663503,72.51322654338092,0.9090810839379351,0.9763760032313645,0.21973705013145733,1
350.0,323.32335570739735,347.47658922328435,75.94564354721408,0.9237810163068496,0.9927902549236696,0.21698755299204023,1
370.0,340.9785080008735,368.0761804959269,79.34479220852432,0.9215635351374959,0.9948004878268295,0.21444538434736304,1
390.0,364.74923695839885,391.84690945345227,82.71306666154831,0.9352544537394842,1.0047356652652621,0.21208478631166233,1
410.0,382.7408498224354,409.8385223174888,86.05257108620422,0.9335142678595986,0.9996061519938751,0.20988431972244934,1
430.0,394.8213535760399,421.9190260710933,89.36516751397848,0.9181891943628835,0.9812070373746355,0.20782597096274064,1
450.0,425.2432914650086,452.340963960062,92.65251386556359,0.9449850921444636,1.0052021421334711,0.20589447525680799,1
470.0,449.7854292106546,476.88310170570804,95.91609456606987,0.9569902749162864,1.0146448972461872,0.20407679694908484,1
490.0,462.14539393114813,489.24306642620155,99.15724544361672,0.9431538651656084,0.998455237604493,0.20236172539513617,1
510.0,487.0074823413444,514.1051548363979,102.3771741708872,0.9549166320418518,1.0080493232086234,0.20073955719781805,1
530.0,499.5228138471627,530.4491277387052,105.57697719277687,0.9424958751833259,1.0008474108277456,0.19920184375995634,1
550.0,512.1206819284312,543.0469958199737,108.7576538553438,0.9311285125971476,0.9873581742181341,0.19774118882789782,1
570.0,531.1204072306244,562.046721122167,111.920118284766,0.9317901881239026,0.9860468791616965,0.1963510847101158,1
590.0,550.2006635266167,581.1269774181593,115.06520944179707,0.9325434975027402,0.9849609786748462,0.19502577871491028,1
610.0,575.7882432493246,606.7145571408672,118.19369968493095,0.9439151528677453,0.9946140280997823,0.19376016341791957,1
630.0,595.0595824818508,627.5953342858276,121.30630210561144,0.9445390198124617,0.9961830702949643,0.19254968588192292,1
650.0,620.9084088200512,653.444160624028,124.40367684536763,0.9552437058770019,1.0052987086523508,0.19139027206979636,1
670.0,640.3744633236819,672.9102151276586,127.48643656347643,0.9557827810801222,1.004343604668147,0.19027826352757676,1
690.0,659.9303747858097,692.4661265897864,130.55515119158906,0.9564208330229126,1.0035740965069369,0.18921036404578126,1
710.0,679.5848780231441,712.1206298271209,133.6103520864923,0.9571618000325974,1.0029868025734097,0.18818359448801733,1
730.0,692.7516658583987,726.3860299510436,136.65253567217368,0.9489748847375326,0.99504935609732,0.1871952543454434,1
750.0,712.5648055259513,746.1991696185962,139.6821666464074,0.9500864073679351,0.9949322261581283,0.18624288886187654,1
770.0,739.0952987585202,772.7296628511651,142.69968081427407,0.9598640243617146,1.0035450166898248,0.18532426079775854,1
790.0,752.4138060555251,786.04817014817,145.705487600679,0.9524225393107913,0.9949976837318608,0.18443732607680885,1
810.0,765.7904596513738,799.4248237440187,148.6999722855224,0.9454203205572516,0.9869442268444675,0.1835802126981758,1
830.0,799.3502318657776,832.9845959584226,151.68349799829818,0.9630725685129851,1.0035958987450875,0.18275120240758816,1
850.0,806.0824425722448,843.0841024948762,154.65640750324553,0.9483322853791115,0.991863649993972,0.18194871470970062,1
870.0,833.1008236514018,870.1024835740333,157.619024801506,0.957587153622301,1.0001177972115325,0.18117129287529424,1
890.0,860.2295584526238,897.2312183752553,160.57165657286254,0.9665500656771053,1.0081249644665788,0.18041759165490173,1
910.0,867.0397009027389,904.0413608253704,163.51459347640264,0.9527908801128999,0.9934520448630444,0.17968636645758532,1
930.0,887.5116386611684,924.5132985837998,166.44811132673658,0.9543135899582456,0.9941003210578493,0.17897646379218987,1
950.0,908.0545641761782,945.0562240988097,169.37247216012503,0.955846909659135,0.9947960253671682,0.17828681280013162,1
970.0,921.7883775752857,962.2240247024023,172.28792520294246,0.9502972964693667,0.9919835306210333,0.17761641773499223,1
990.0,942.441799815767,982.8774469428836,175.19470775327295,0.9519614139553202,0.9928055019625087,0.17696435126593227,1
1010.0,963.1619801404125,1003.5976272675291,178.09304598504335,0.9536257229112995,0.9936610170965635,0.1763297485000429,1
1030.0,983.9377664960487,1025.0665608037252,180.98315568291457,0.9552793849476201,0.9952102532075002,0.17571180163389763,1
1050.0,1011.7178800486807,1052.8466743563574,183.86524291513496,0.9635408381416007,1.002711118434626,0.1751097551572714,1
1070.0,1039.5856738475386,1080.7144681552154,186.7395046506854,0.971575396119195,1.0100135216403883,0.17452290154269665,1
1090.0,1046.5768507346597,1087.7056450423365,189.60612932629368,0.9601622483804217,0.9978950871948041,0.1739505773635722,1
1110.0,1081.5857196755487,1122.7145139832255,192.46529736824385,0.9744015492572511,1.011454517102005,0.17339215979121067,1
1130.0,1102.656967993506,1143.7857623011828,195.31718167334185,0.9758026265429256,1.0121997896470645,0.17284706342773615,1
1150.0,1102.656967993506,1143.7857623011828,198.1619480529068,0.9588321460813095,0.9945963150445067,0.17231473743731027,1
1170.0,1123.8142350750156,1164.9430293826924,200.99975564323057,0.9605249872436031,0.9956778028911901,0.1717946629429321,1
1190.0,1145.0331496494205,1186.1619439570973,203.8307572855726,0.9622127307978323,0.9967747428210901,0.17128635066014503,1
1210.0,1159.2082858935985,1200.3370802012753,206.65509987843,0.958023376771569,0.9920141158688226,0.17078933874250413,1
1230.0,1187.6363001407835,1228.7650944484603,209.47292470453488,0.9655579675941329,0.9989960117467157,0.170303190816695,1
1250.0,1209.0024251494863,1250.131219457163,212.28436773477645,0.967201940119589,1.0001049755657305,0.16982749418782117,1
1270.0,1216.1404981835306,1257.2692924912074,215.08955991102363,0.9575909434515989,0.9899758208592184,0.1693618581976564,1
1290.0,1244.7651792086967,1285.8939735163735,217.88862740962415,0.9649342474486021,0.9968170337336228,0.16890591272063887,1
1310.0,1280.6149635531217,1321.7437578607985,220.68169188718326,0.9775686744680319,1.008964700657098,0.16845930678410936,1
1330.0,1302.1764130446934,1343.3052073523702,223.4688707100671,0.9790800098080401,1.010003915302534,0.16802170730080235,1
1350.0,1302.1764130446934,1345.7031026251686,226.25027716894027,0.964575120773847,0.9968171130556804,0.16759279790291873,1
1370.0,1316.6127618840687,1363.7503693771882,229.02602067952193,0.9610312130540648,0.9954382258227651,0.1671722778682642,1
1390.0,1331.0680784432461,1378.2056859363656,231.79620697063638,0.9576029341318317,0.9915148819686084,0.16675986112995422,1
1410.0,1345.5622269298103,1392.6998344229298,234.5609382605345,0.9542994517232697,0.9877303790233545,0.1663552753620812,1
1430.0,1367.3508093233067,1414.4884168164263,237.3203134223748,0.9561893771491655,0.9891527390324659,0.16595826113452783,1
1450.0,1389.1672861846537,1436.3048936777732,240.07442813967504,0.9580464042652784,0.9905550990881195,0.16556857113081036,1
1470.0,1411.014186649631,1458.1517941427505,242.82337505247258,0.9598735963602932,0.9919399960154766,0.16518596942345073,1
1490.0,1447.5205555057823,1494.6581629989018,245.56724389486902,0.9714903057085787,1.0031262838918804,0.16481023080192553,1
1510.0,1462.1416518014241,1509.2792592945436,248.30612162457658,0.9683057296698173,0.9995226882745322,0.1644411401487262,1
1530.0,1476.790616116592,1523.9282236097115,251.0400925450324,0.9652226249128052,0.9960315186991578,0.1640784918594983,1
1550.0,1498.8111412050296,1545.948748698149,253.76923842059887,0.9669749298096965,0.9973862894826768,0.16372208930361218,1
1570.0,1520.8678031395918,1568.0054106327113,256.493638585327,0.9687056070952814,0.998729560912555,0.16337174432186433,1
1590.0,1542.958894851984,1590.0965023451035,259.2133700457203,0.9704143992779773,1.0000606932988072,0.16302727675831466,1
1610.0,1572.4786532259257,1619.6162607190452,261.9285075779014,0.9766948156682768,1.0059728327447486,0.16268851402354126,1
1630.0,1602.039359886683,1649.1769673798026,264.6391238195543,0.9828462330593147,1.0117650106624556,0.16235529068684312,1
1650.0,1609.4399804640543,1656.5775879571738,267.3452893569819,0.9754181699782147,1.0039864169437418,0.16202744809514052,1
1670.0,1639.1078837670864,1686.2454912602059,270.04707280759726,0.9815017268066385,1.0097278390779676,0.1617048340165253,1
1690.0,1639.1078837670864,1689.9590633269102,272.7445408981383,0.9698863217556725,0.9999757771165149,0.16138730230659074,1
1710.0,1668.8602172192413,1719.7113967790651,275.43775853887814,0.9759416474966324,1.005679179402962,0.16107471259583517,1
1730.0,1683.762700251981,1734.6138798118047,278.12678889407823,0.9732732371398733,1.0026669825501762,0.16076692999657702,1
1750.0,1706.148179791599,1756.9993593514228,280.81169344891913,0.9749418170237708,1.0039996339150987,0.1604638248279538,1
1770.0,1721.0897644212578,1771.9409439810815,283.49253207312074,0.9723670985430835,1.0010965785203851,0.16016527235769534,1
1790.0,1751.036204465944,1801.8873840257677,286.16936308145387,0.9782325164614212,1.0066409966624401,0.15987115255947143,1
1810.0,1758.5323018111199,1809.3834813709436,288.84224329132684,0.9715648076304529,0.999659381972897,0.15958134988471095,1
1830.0,1773.542175043682,1824.3933546035057,291.5112280776201,0.9691487295320667,0.996936259346178,0.15929575304787985,1
1850.0,1788.5761105685556,1843.188490244073,294.1763714249293,0.9667978976046246,0.996318102834634,0.1590142548242861,1
1870.0,1803.6370679687395,1858.2494476442569,296.8377259773661,0.9645118010528019,0.9937162821627042,0.15873675185955408,1
1890.0,1841.3263209009592,1895.9387005764765,299.4953430860558,0.9742467306354281,1.0031421696171834,0.15846314448997662,1
1910.0,1856.429742849048,1911.0421225245652,302.1492728544623,0.9719527449471455,1.0005456138872069,0.15819333657301693,1
1930.0,1863.986170818488,1918.5985504940054,304.7995641816608,0.9657959434292684,0.9940925132093292,0.1579272353272854,1
1950.0,1886.6938642796326,1941.30624395515,307.44626480367253,0.9675353150151962,0.9955416635667436,0.15766475118137052,1
1970.0,1894.2699616202558,1948.8823412957731,310.0894213329666,0.9615583561524141,0.9892803762922706,0.1574057976309475,1
1990.0,1917.0420003144327,1971.65437998995,312.7290792962293,0.9633376886002174,0.9907810954723367,0.15715029110363282,1
