x,pi_x,li_x,psi_x,abs_psi_err,classical_bound,rh_bound,pi_minus_li
50.0,15.0,17.423845068788832,49.48538079241837,0.5146192075816316,41.98032910883678,4.305741398101843,-2.4238450687888324
100.0,25.0,29.082279989200178,94.0453112293574,5.954688770642605,82.72251340719902,8.438232920522172,-4.0822799892001775
150.0,35.0,39.46010720762944,146.66499121018813,3.335008789811866,123.07363730798184,12.234644543632719,-4.4601072076294415
200.0,46.0,49.15230147492168,206.14585682505478,6.1458568250547785,163.18171775717775,15.796143690599243,-3.1523014749216784
250.0,53.0,58.391848546699606,245.2744699786826,4.725530021317411,203.11409039546206,19.179538353669493,-5.391848546699606
300.0,62.0,67.30036110068399,299.23233544216646,0.767664557833541,242.90931430998475,22.420571398156437,-5.300361100683986
350.0,70.0,75.95140966828882,347.47658922328435,2.52341077671565,282.59233774522534,25.543651812680043,-5.951409668288818
400.0,78.0,84.39377789877577,397.8308457341395,2.169154265860527,322.18059722976824,28.56644016071976,-6.393777898775767
450.0,87.0,92.66191781650748,452.340963960062,2.3409639600620267,361.68694939892515,31.502269934032196,-5.661917816507483
500.0,95.0,100.78130816331998,501.6521166497476,1.6521166497475974,401.1212552912618,34.361541278730755,-5.781308163319977
550.0,101.0,108.77146754233999,543.0469958199737,6.953004180026255,440.4913111203413,37.15257796707599,-7.771467542339991
600.0,109.0,116.647770849641,593.9074334152724,6.092566584727592,479.80343068354057,39.88218240282657,-7.647770849641006
650.0,118.0,124.42260533716923,653.444160624028,3.4441606240279725,519.0628282383709,42.55601041437488,-6.42260533716923
700.0,125.0,132.1061391610431,699.0042664135541,0.9957335864459083,558.2738804254723,45.17883321181645,-7.106139161043103
750.0,132.0,139.70685094197626,746.1991696185962,3.8008303814037845,597.4403114224567,47.75472582984456,-7.706850941976256
800.0,139.0,147.2319057578568,792.7290248269602,7.270975173039801,636.5653274810378,50.28720604576374,-8.231905757856794
850.0,146.0,154.68742898938999,843.0841024948762,6.91589750512378,675.6517170022572,52.77933896727719,-8.687428989389986
900.0,154.0,162.07871018956018,897.2312183752553,2.768781624744747,714.7019264960511,55.233817228692764,-8.078710189560184
950.0,161.0,169.41035777965058,945.0562240988097,4.943775901190293,753.7181192599119,57.65302348001067,-8.410357779650582
1000.0,168.0,176.68641841399008,996.6809122471755,3.3190877528245437,792.70222141479,60.03907977569543,-8.686418413990083
1050.0,176.0,183.91047045757563,1052.8466743563574,2.8466743563574255,831.6559585208078,62.39388710715743,-7.910470457575627
1100.0,184.0,191.08569816410696,1108.6975109766215,8.697510976621516,870.5808850589578,64.71915740749742,-7.085698164106958
1150.0,189.0,198.2149512406769,1143.7857623011828,6.2142376988172146,909.4784084310318,67.0164397288489,-9.214951240676896
1200.0,196.0,205.30079319205836,1193.2461703791953,6.753829620804709,948.3498086919008,69.28714185324499,-9.300793192058364
1250.0,204.0,212.3455409404386,1250.131219457163,0.13121945716306982,987.1962549198051,71.53254828524653,-8.34554094043861
1300.0,211.0,219.3512975831269,1300.2249550915367,0.22495509153668536,1026.0188189094638,73.75383534855008,-8.351297583126893
1350.0,217.0,226.31997969643868,1345.7031026251686,4.29689737483136,1064.8184867122634,75.95208394308035,-9.31997969643868
1400.0,222.0,233.25334026326072,1385.449198911031,14.55080108896891,1103.5961684294587,78.12829039597761,-11.253340263260725
1450.0,229.0,240.15298805785403,1436.3048936777732,13.69510632222682,1142.3527065759695,80.28337574735417,-11.152988057854031
1500.0,239.0,247.02040413928006,1509.2792592945436,9.279259294543635,1181.088883265638,82.41819374135703,-8.02040413928006
1550.0,244.0,253.85695596724764,1545.948748698149,4.051251301850925,1219.805426417864,84.53353773906393,-9.856955967247643
1600.0,251.0,260.6639095491728,1597.4723844933185,2.5276155066815136,1258.5030151462556,86.63014672786886,-9.663909549172786
1650.0,259.0,267.442439946322,1656.5775879571738,6.577587957173819,1297.1822844593573,88.70871056927041,-8.442439946321997
1700.0,266.0,274.19364040398364,1712.2677330959496,12.267733095949552,1335.8438293795089,90.76987460115606,-8.193640403983636
1750.0,272.0,280.9185303212657,1756.9993593514228,6.999359351422754,1374.4882085668985,92.81424369016086,-8.918530321265678
1800.0,278.0,287.61806223711534,1801.8873840257677,1.8873840257676875,1413.1159475207228,94.84238581325897,-9.618062237115339
1850.0,283.0,294.29312797810167,1843.188490244073,6.811509755927091,1451.7275414172054,96.85483523451798,-11.293127978101666
1900.0,290.0,300.94456408860003,1895.9387005764765,4.061299423523451,1490.32345763439,98.85209533221779,-10.944564088600032
1950.0,296.0,307.57315664392786,1941.30624395515,8.693756044850034,1528.904138005632,100.83464112278428,-11.57315664392786
