k,gamma,x0_b_gamma,x1_S_T,x2_phi,x3_mu_abs,x4_sigma_abs,x5_C_k_norm,x6_dist,x7_mu_sig,x8_ck_dist,norm_9D,E_PSS_sech2
1,14.134725142,3.0,1.0,4.23606797749979,0.6656591563,0.3284020966,0.2180727834,509.0,0.21860386254990713,110.9990467506,520.9898069491272,0.0026749999997033778
2,21.022039639,4.0,2.0,6.854101966249686,0.4517631461,0.2180440722,0.3141619784,508.0,0.09850427604552754,159.5942850272,532.5426504620128,0.002674999999863378
3,25.01085758,4.0,2.0,6.854101966249686,0.3829342431,0.1830708069,0.3657579802,507.0,0.07010408087395775,185.4392959614,539.9111316202516,0.0026749999999018375
4,30.424876126,4.0,2.0,6.854101966249686,0.3193541702,0.1509369066,0.4300955791,506.0,0.048202330559797904,217.62836302460002,550.8769328817812,0.0026749999999317268
5,32.935061588,5.0,4.0,11.090169943749476,0.2976789998,0.1417460959,0.4590761679,505.0,0.042194836053066884,231.8334647895,555.8201764075862,0.00267499999994068
6,37.586178159,5.0,4.0,11.090169943749476,0.2664253106,0.1329137922,0.507852219,504.0,0.035411598369908856,255.957518376,565.4154144511464,0.0026749999999524827
7,40.918719012,5.0,4.0,11.090169943749476,0.2477157867,0.123020643,0.5394388108,503.0,0.03047415536108485,271.3377218324,571.6620676402033,0.002674999999958922
8,43.327073281,5.0,4.0,11.090169943749476,0.2385532458,0.128615074,0.5612198245,502.0,0.03068154336150719,281.732351899,575.796404412584,0.0026749999999619053
9,48.005150881,5.0,4.0,11.090169943749476,0.2210857067,0.1248576628,0.6013981736,501.0,0.0276042446170483,301.3004849736,584.7626877843618,0.0026749999999672795
